scope,contest_type,year,district,target_margin_pct,raw_margin_pct,raw_error_pct,raw_abs_error_pct,calibrated_margin_pct,calibrated_error_pct,calibrated_abs_error_pct,needs_calibration,status
state_house,president,2020,89,-3.0,-55.682,-52.682,52.682,-3.0,-0.0,0.0,yes,ok
state_house,president,2020,41,0.8,-40.039,-40.839,40.839,0.8,0.0,0.0,yes,ok
state_senate,president,2020,24,-9.0,29.944,38.944,38.944,-9.0,-0.0,0.0,yes,ok
state_senate,president,2020,31,-13.0,-48.3,-35.3,35.3,-13.0,-0.0,0.0,yes,ok
state_house,president,2020,73,6.5,-20.231,-26.731,26.731,6.5,0.0,0.0,yes,ok
state_senate,president,2020,16,-17.0,-39.325,-22.325,22.325,-17.0,0.0,0.0,yes,ok
state_senate,president,2020,20,2.0,21.041,19.041,19.041,2.0,-0.0,0.0,yes,ok
state_senate,president,2020,12,6.0,-11.851,-17.851,17.851,6.0,-0.0,0.0,yes,ok
state_senate,president,2020,4,0.3,17.103,16.803,16.803,0.3,-0.0,0.0,yes,ok
state_house,president,2020,82,-10.0,-0.495,9.505,9.505,-10.0,0.0,0.0,yes,ok
state_house,president,2020,99,5.5,14.712,9.212,9.212,5.5,-0.0,0.0,yes,ok
congressional,president,2020,7,-7.0,-1.564,5.436,5.436,-7.0,0.0,0.0,yes,ok
congressional,president,2024,1,3.0,8.081,5.081,5.081,3.0,-0.0,0.0,yes,ok
congressional,president,2020,2,-2.0,-6.607,-4.607,4.607,-2.0,0.0,0.0,yes,ok
congressional,president,2020,10,-18.0,-19.211,-1.211,1.211,-18.0,-0.0,0.0,yes,ok
