county,precinct,office,district,party,candidate,votes
ACCOMACK,101 - CHINCOTEAGUE,U.S. Senate,,IND,Glenda Gail Parker,14
ACCOMACK,101 - CHINCOTEAGUE,U.S. Senate,,REP,"James Jim S. Gilmore, III",822
ACCOMACK,101 - CHINCOTEAGUE,U.S. Senate,,DEM,Mark R. Warner,819
ACCOMACK,101 - CHINCOTEAGUE,U.S. Senate,,LIB,William B. Redpath,7
ACCOMACK,201 - ATLANTIC,U.S. Senate,,IND,Glenda Gail Parker,3
ACCOMACK,201 - ATLANTIC,U.S. Senate,,REP,"James Jim S. Gilmore, III",261
ACCOMACK,201 - ATLANTIC,U.S. Senate,,DEM,Mark R. Warner,285
ACCOMACK,201 - ATLANTIC,U.S. Senate,,LIB,William B. Redpath,5
ACCOMACK,202 - GREENBACKVILLE,U.S. Senate,,IND,Glenda Gail Parker,4
ACCOMACK,202 - GREENBACKVILLE,U.S. Senate,,REP,"James Jim S. Gilmore, III",264
ACCOMACK,202 - GREENBACKVILLE,U.S. Senate,,DEM,Mark R. Warner,248
ACCOMACK,202 - GREENBACKVILLE,U.S. Senate,,LIB,William B. Redpath,1
ACCOMACK,203 - HALLWOOD,U.S. Senate,,IND,Glenda Gail Parker,5
ACCOMACK,203 - HALLWOOD,U.S. Senate,,REP,"James Jim S. Gilmore, III",149
ACCOMACK,203 - HALLWOOD,U.S. Senate,,DEM,Mark R. Warner,174
ACCOMACK,203 - HALLWOOD,U.S. Senate,,LIB,William B. Redpath,3
ACCOMACK,204 - SAXIS,U.S. Senate,,IND,Glenda Gail Parker,3
ACCOMACK,204 - SAXIS,U.S. Senate,,REP,"James Jim S. Gilmore, III",83
ACCOMACK,204 - SAXIS,U.S. Senate,,DEM,Mark R. Warner,95
ACCOMACK,204 - SAXIS,U.S. Senate,,LIB,William B. Redpath,1
ACCOMACK,205 - TANGIER,U.S. Senate,,IND,Glenda Gail Parker,2
ACCOMACK,205 - TANGIER,U.S. Senate,,REP,"James Jim S. Gilmore, III",166
ACCOMACK,205 - TANGIER,U.S. Senate,,DEM,Mark R. Warner,117
ACCOMACK,205 - TANGIER,U.S. Senate,,LIB,William B. Redpath,1
ACCOMACK,301 - NEW CHURCH,U.S. Senate,,IND,Glenda Gail Parker,10
ACCOMACK,301 - NEW CHURCH,U.S. Senate,,REP,"James Jim S. Gilmore, III",179
ACCOMACK,301 - NEW CHURCH,U.S. Senate,,DEM,Mark R. Warner,511
ACCOMACK,301 - NEW CHURCH,U.S. Senate,,LIB,William B. Redpath,9
ACCOMACK,302 - OAK HALL,U.S. Senate,,IND,Glenda Gail Parker,10
ACCOMACK,302 - OAK HALL,U.S. Senate,,REP,"James Jim S. Gilmore, III",221
ACCOMACK,302 - OAK HALL,U.S. Senate,,DEM,Mark R. Warner,511
ACCOMACK,302 - OAK HALL,U.S. Senate,,LIB,William B. Redpath,4
ACCOMACK,401 - BLOXOM,U.S. Senate,,IND,Glenda Gail Parker,9
ACCOMACK,401 - BLOXOM,U.S. Senate,,REP,"James Jim S. Gilmore, III",201
ACCOMACK,401 - BLOXOM,U.S. Senate,,DEM,Mark R. Warner,255
ACCOMACK,401 - BLOXOM,U.S. Senate,,LIB,William B. Redpath,6
ACCOMACK,402 - PARKSLEY,U.S. Senate,,IND,Glenda Gail Parker,10
ACCOMACK,402 - PARKSLEY,U.S. Senate,,REP,"James Jim S. Gilmore, III",336
ACCOMACK,402 - PARKSLEY,U.S. Senate,,DEM,Mark R. Warner,552
ACCOMACK,402 - PARKSLEY,U.S. Senate,,LIB,William B. Redpath,4
ACCOMACK,501 - MAPPSVILLE,U.S. Senate,,IND,Glenda Gail Parker,8
ACCOMACK,501 - MAPPSVILLE,U.S. Senate,,REP,"James Jim S. Gilmore, III",180
ACCOMACK,501 - MAPPSVILLE,U.S. Senate,,DEM,Mark R. Warner,489
ACCOMACK,501 - MAPPSVILLE,U.S. Senate,,LIB,William B. Redpath,1
ACCOMACK,502 - RUE,U.S. Senate,,IND,Glenda Gail Parker,5
ACCOMACK,502 - RUE,U.S. Senate,,REP,"James Jim S. Gilmore, III",95
ACCOMACK,502 - RUE,U.S. Senate,,DEM,Mark R. Warner,493
ACCOMACK,502 - RUE,U.S. Senate,,LIB,William B. Redpath,1
ACCOMACK,601 - ACCOMAC,U.S. Senate,,IND,Glenda Gail Parker,8
ACCOMACK,601 - ACCOMAC,U.S. Senate,,REP,"James Jim S. Gilmore, III",399
ACCOMACK,601 - ACCOMAC,U.S. Senate,,DEM,Mark R. Warner,802
ACCOMACK,601 - ACCOMAC,U.S. Senate,,LIB,William B. Redpath,5
ACCOMACK,701 - ONANCOCK,U.S. Senate,,IND,Glenda Gail Parker,10
ACCOMACK,701 - ONANCOCK,U.S. Senate,,REP,"James Jim S. Gilmore, III",475
ACCOMACK,701 - ONANCOCK,U.S. Senate,,DEM,Mark R. Warner,807
ACCOMACK,701 - ONANCOCK,U.S. Senate,,LIB,William B. Redpath,11
ACCOMACK,702 - ONLEY,U.S. Senate,,REP,"James Jim S. Gilmore, III",162
ACCOMACK,702 - ONLEY,U.S. Senate,,DEM,Mark R. Warner,231
ACCOMACK,702 - ONLEY,U.S. Senate,,LIB,William B. Redpath,2
ACCOMACK,801 - BOBTOWN,U.S. Senate,,OTH,All Others,1
ACCOMACK,801 - BOBTOWN,U.S. Senate,,IND,Glenda Gail Parker,2
ACCOMACK,801 - BOBTOWN,U.S. Senate,,REP,"James Jim S. Gilmore, III",164
ACCOMACK,801 - BOBTOWN,U.S. Senate,,DEM,Mark R. Warner,184
ACCOMACK,801 - BOBTOWN,U.S. Senate,,LIB,William B. Redpath,1
ACCOMACK,802 - KELLER,U.S. Senate,,IND,Glenda Gail Parker,3
ACCOMACK,802 - KELLER,U.S. Senate,,REP,"James Jim S. Gilmore, III",83
ACCOMACK,802 - KELLER,U.S. Senate,,DEM,Mark R. Warner,181
ACCOMACK,802 - KELLER,U.S. Senate,,LIB,William B. Redpath,1
ACCOMACK,803 - MELFA,U.S. Senate,,OTH,All Others,1
ACCOMACK,803 - MELFA,U.S. Senate,,IND,Glenda Gail Parker,11
ACCOMACK,803 - MELFA,U.S. Senate,,REP,"James Jim S. Gilmore, III",195
ACCOMACK,803 - MELFA,U.S. Senate,,DEM,Mark R. Warner,499
ACCOMACK,803 - MELFA,U.S. Senate,,LIB,William B. Redpath,4
ACCOMACK,804 - QUINBY,U.S. Senate,,IND,Glenda Gail Parker,2
ACCOMACK,804 - QUINBY,U.S. Senate,,REP,"James Jim S. Gilmore, III",88
ACCOMACK,804 - QUINBY,U.S. Senate,,DEM,Mark R. Warner,101
ACCOMACK,804 - QUINBY,U.S. Senate,,LIB,William B. Redpath,1
ACCOMACK,805 - WACHAPREAGUE,U.S. Senate,,IND,Glenda Gail Parker,3
ACCOMACK,805 - WACHAPREAGUE,U.S. Senate,,REP,"James Jim S. Gilmore, III",108
ACCOMACK,805 - WACHAPREAGUE,U.S. Senate,,DEM,Mark R. Warner,176
ACCOMACK,901 - PAINTER,U.S. Senate,,IND,Glenda Gail Parker,18
ACCOMACK,901 - PAINTER,U.S. Senate,,REP,"James Jim S. Gilmore, III",392
ACCOMACK,901 - PAINTER,U.S. Senate,,DEM,Mark R. Warner,1277
ACCOMACK,901 - PAINTER,U.S. Senate,,LIB,William B. Redpath,6
ACCOMACK,AB - CENTRAL ABSENTEE PRECINCT,U.S. Senate,,IND,Glenda Gail Parker,6
ACCOMACK,AB - CENTRAL ABSENTEE PRECINCT,U.S. Senate,,REP,"James Jim S. Gilmore, III",354
ACCOMACK,AB - CENTRAL ABSENTEE PRECINCT,U.S. Senate,,DEM,Mark R. Warner,781
ACCOMACK,AB - CENTRAL ABSENTEE PRECINCT,U.S. Senate,,LIB,William B. Redpath,7
ACCOMACK,PROVISIONAL VOTES,U.S. Senate,,REP,"James Jim S. Gilmore, III",2
ACCOMACK,PROVISIONAL VOTES,U.S. Senate,,DEM,Mark R. Warner,6
ALBEMARLE,101 - WOODBROOK,U.S. Senate,,OTH,All Others,2
ALBEMARLE,101 - WOODBROOK,U.S. Senate,,IND,Glenda Gail Parker,3
ALBEMARLE,101 - WOODBROOK,U.S. Senate,,REP,"James Jim S. Gilmore, III",613
ALBEMARLE,101 - WOODBROOK,U.S. Senate,,DEM,Mark R. Warner,1221
ALBEMARLE,101 - WOODBROOK,U.S. Senate,,LIB,William B. Redpath,11
ALBEMARLE,103 - BRANCHLANDS,U.S. Senate,,OTH,All Others,1
ALBEMARLE,103 - BRANCHLANDS,U.S. Senate,,IND,Glenda Gail Parker,8
ALBEMARLE,103 - BRANCHLANDS,U.S. Senate,,REP,"James Jim S. Gilmore, III",197
ALBEMARLE,103 - BRANCHLANDS,U.S. Senate,,DEM,Mark R. Warner,532
ALBEMARLE,103 - BRANCHLANDS,U.S. Senate,,LIB,William B. Redpath,4
ALBEMARLE,104 - AGNOR-HURT,U.S. Senate,,OTH,All Others,1
ALBEMARLE,104 - AGNOR-HURT,U.S. Senate,,IND,Glenda Gail Parker,8
ALBEMARLE,104 - AGNOR-HURT,U.S. Senate,,REP,"James Jim S. Gilmore, III",374
ALBEMARLE,104 - AGNOR-HURT,U.S. Senate,,DEM,Mark R. Warner,1203
ALBEMARLE,104 - AGNOR-HURT,U.S. Senate,,LIB,William B. Redpath,9
ALBEMARLE,105 - DUNLORA,U.S. Senate,,IND,Glenda Gail Parker,5
ALBEMARLE,105 - DUNLORA,U.S. Senate,,REP,"James Jim S. Gilmore, III",399
ALBEMARLE,105 - DUNLORA,U.S. Senate,,DEM,Mark R. Warner,985
ALBEMARLE,105 - DUNLORA,U.S. Senate,,LIB,William B. Redpath,9
ALBEMARLE,106 - NORTHSIDE,U.S. Senate,,OTH,All Others,1
ALBEMARLE,106 - NORTHSIDE,U.S. Senate,,IND,Glenda Gail Parker,2
ALBEMARLE,106 - NORTHSIDE,U.S. Senate,,REP,"James Jim S. Gilmore, III",521
ALBEMARLE,106 - NORTHSIDE,U.S. Senate,,DEM,Mark R. Warner,874
ALBEMARLE,106 - NORTHSIDE,U.S. Senate,,LIB,William B. Redpath,8
ALBEMARLE,201 - JACK JOUETT,U.S. Senate,,OTH,All Others,2
ALBEMARLE,201 - JACK JOUETT,U.S. Senate,,IND,Glenda Gail Parker,3
ALBEMARLE,201 - JACK JOUETT,U.S. Senate,,REP,"James Jim S. Gilmore, III",446
ALBEMARLE,201 - JACK JOUETT,U.S. Senate,,DEM,Mark R. Warner,946
ALBEMARLE,201 - JACK JOUETT,U.S. Senate,,LIB,William B. Redpath,11
ALBEMARLE,202 - UNIVERSITY HALL,U.S. Senate,,OTH,All Others,1
ALBEMARLE,202 - UNIVERSITY HALL,U.S. Senate,,IND,Glenda Gail Parker,6
ALBEMARLE,202 - UNIVERSITY HALL,U.S. Senate,,REP,"James Jim S. Gilmore, III",259
ALBEMARLE,202 - UNIVERSITY HALL,U.S. Senate,,DEM,Mark R. Warner,1016
ALBEMARLE,202 - UNIVERSITY HALL,U.S. Senate,,LIB,William B. Redpath,15
ALBEMARLE,203 - GEORGETOWN,U.S. Senate,,OTH,All Others,1
ALBEMARLE,203 - GEORGETOWN,U.S. Senate,,IND,Glenda Gail Parker,6
ALBEMARLE,203 - GEORGETOWN,U.S. Senate,,REP,"James Jim S. Gilmore, III",329
ALBEMARLE,203 - GEORGETOWN,U.S. Senate,,DEM,Mark R. Warner,1406
ALBEMARLE,203 - GEORGETOWN,U.S. Senate,,LIB,William B. Redpath,11
ALBEMARLE,204 - BELFIELD,U.S. Senate,,IND,Glenda Gail Parker,2
ALBEMARLE,204 - BELFIELD,U.S. Senate,,REP,"James Jim S. Gilmore, III",285
ALBEMARLE,204 - BELFIELD,U.S. Senate,,DEM,Mark R. Warner,517
ALBEMARLE,204 - BELFIELD,U.S. Senate,,LIB,William B. Redpath,8
ALBEMARLE,301 - IVY,U.S. Senate,,OTH,All Others,3
ALBEMARLE,301 - IVY,U.S. Senate,,IND,Glenda Gail Parker,9
ALBEMARLE,301 - IVY,U.S. Senate,,REP,"James Jim S. Gilmore, III",747
ALBEMARLE,301 - IVY,U.S. Senate,,DEM,Mark R. Warner,1888
ALBEMARLE,301 - IVY,U.S. Senate,,LIB,William B. Redpath,16
ALBEMARLE,302 - RED HILL,U.S. Senate,,IND,Glenda Gail Parker,11
ALBEMARLE,302 - RED HILL,U.S. Senate,,REP,"James Jim S. Gilmore, III",535
ALBEMARLE,302 - RED HILL,U.S. Senate,,DEM,Mark R. Warner,1272
ALBEMARLE,302 - RED HILL,U.S. Senate,,LIB,William B. Redpath,18
ALBEMARLE,304 - EAST IVY,U.S. Senate,,OTH,All Others,2
ALBEMARLE,304 - EAST IVY,U.S. Senate,,IND,Glenda Gail Parker,4
ALBEMARLE,304 - EAST IVY,U.S. Senate,,REP,"James Jim S. Gilmore, III",291
ALBEMARLE,304 - EAST IVY,U.S. Senate,,DEM,Mark R. Warner,855
