"county","precinct","office","district","party","candidate","votes"
"ACCOMACK COUNTY","##EV - CENTRAL ABSENTEE PRECINCT","U.S. House","2","DEM","Elaine G. Luria","2283"
"ACCOMACK COUNTY","##EV - CENTRAL ABSENTEE PRECINCT","U.S. House","2","REP","Jennifer Ann Kiggans","1484"
"ACCOMACK COUNTY","##EV - CENTRAL ABSENTEE PRECINCT","U.S. House","2","","Write-Ins","2"
"ACCOMACK COUNTY","##PE - CENTRAL ABSENTEE PRECINCT","U.S. House","2","DEM","Elaine G. Luria","15"
"ACCOMACK COUNTY","##PE - CENTRAL ABSENTEE PRECINCT","U.S. House","2","REP","Jennifer Ann Kiggans","5"
"ACCOMACK COUNTY","101 - CHINCOTEAGUE","U.S. House","2","DEM","Elaine G. Luria","368"
"ACCOMACK COUNTY","101 - CHINCOTEAGUE","U.S. House","2","REP","Jennifer Ann Kiggans","986"
"ACCOMACK COUNTY","101 - CHINCOTEAGUE","U.S. House","2","","Write-Ins","2"
"ACCOMACK COUNTY","201 - ATLANTIC","U.S. House","2","DEM","Elaine G. Luria","94"
"ACCOMACK COUNTY","201 - ATLANTIC","U.S. House","2","REP","Jennifer Ann Kiggans","387"
"ACCOMACK COUNTY","201 - ATLANTIC","U.S. House","2","","Write-Ins","1"
"ACCOMACK COUNTY","202 - GREENBACKVILLE","U.S. House","2","DEM","Elaine G. Luria","193"
"ACCOMACK COUNTY","202 - GREENBACKVILLE","U.S. House","2","REP","Jennifer Ann Kiggans","615"
"ACCOMACK COUNTY","202 - GREENBACKVILLE","U.S. House","2","","Write-Ins","1"
"ACCOMACK COUNTY","301 - NEW CHURCH","U.S. House","2","DEM","Elaine G. Luria","303"
"ACCOMACK COUNTY","301 - NEW CHURCH","U.S. House","2","REP","Jennifer Ann Kiggans","421"
"ACCOMACK COUNTY","401 - BLOXOM","U.S. House","2","DEM","Elaine G. Luria","84"
"ACCOMACK COUNTY","401 - BLOXOM","U.S. House","2","REP","Jennifer Ann Kiggans","335"
"ACCOMACK COUNTY","401 - BLOXOM","U.S. House","2","","Write-Ins","1"
"ACCOMACK COUNTY","402 - PARKSLEY","U.S. House","2","DEM","Elaine G. Luria","136"
"ACCOMACK COUNTY","402 - PARKSLEY","U.S. House","2","REP","Jennifer Ann Kiggans","338"
"ACCOMACK COUNTY","403 - SAXIS","U.S. House","2","DEM","Elaine G. Luria","36"
"ACCOMACK COUNTY","403 - SAXIS","U.S. House","2","REP","Jennifer Ann Kiggans","133"
"ACCOMACK COUNTY","403 - SAXIS","U.S. House","2","","Write-Ins","1"
"ACCOMACK COUNTY","501 - MAPPSVILLE","U.S. House","2","DEM","Elaine G. Luria","139"
"ACCOMACK COUNTY","501 - MAPPSVILLE","U.S. House","2","REP","Jennifer Ann Kiggans","163"
"ACCOMACK COUNTY","502 - RUE","U.S. House","2","DEM","Elaine G. Luria","123"
"ACCOMACK COUNTY","502 - RUE","U.S. House","2","REP","Jennifer Ann Kiggans","102"
"ACCOMACK COUNTY","601 - ACCOMAC","U.S. House","2","DEM","Elaine G. Luria","153"
"ACCOMACK COUNTY","601 - ACCOMAC","U.S. House","2","REP","Jennifer Ann Kiggans","421"
"ACCOMACK COUNTY","601 - ACCOMAC","U.S. House","2","","Write-Ins","1"
"ACCOMACK COUNTY","602 - TANGIER","U.S. House","2","DEM","Elaine G. Luria","25"
