county,precinct,office,district,party,candidate,votes
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,OTH,All Others,5
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,REP,Donald J. Trump,1188
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,IND,Evan McMullin,10
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,LIB,Gary Johnson,26
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,DEM,Hillary R. Clinton,444
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,GRN,Jill Stein,7
ACCOMACK COUNTY,201 - ATLANTIC,President,,OTH,All Others,1
ACCOMACK COUNTY,201 - ATLANTIC,President,,REP,Donald J. Trump,553
ACCOMACK COUNTY,201 - ATLANTIC,President,,IND,Evan McMullin,7
ACCOMACK COUNTY,201 - ATLANTIC,President,,LIB,Gary Johnson,13
ACCOMACK COUNTY,201 - ATLANTIC,President,,DEM,Hillary R. Clinton,175
ACCOMACK COUNTY,201 - ATLANTIC,President,,GRN,Jill Stein,1
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,OTH,All Others,3
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,REP,Donald J. Trump,697
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,IND,Evan McMullin,4
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,LIB,Gary Johnson,17
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,DEM,Hillary R. Clinton,302
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,GRN,Jill Stein,7
ACCOMACK COUNTY,301 - NEW CHURCH,President,,OTH,All Others,5
ACCOMACK COUNTY,301 - NEW CHURCH,President,,REP,Donald J. Trump,592
ACCOMACK COUNTY,301 - NEW CHURCH,President,,IND,Evan McMullin,4
ACCOMACK COUNTY,301 - NEW CHURCH,President,,LIB,Gary Johnson,21
ACCOMACK COUNTY,301 - NEW CHURCH,President,,DEM,Hillary R. Clinton,713
ACCOMACK COUNTY,301 - NEW CHURCH,President,,GRN,Jill Stein,3
ACCOMACK COUNTY,401 - BLOXOM,President,,REP,Donald J. Trump,342
ACCOMACK COUNTY,401 - BLOXOM,President,,IND,Evan McMullin,3
ACCOMACK COUNTY,401 - BLOXOM,President,,LIB,Gary Johnson,9
ACCOMACK COUNTY,401 - BLOXOM,President,,DEM,Hillary R. Clinton,141
ACCOMACK COUNTY,401 - BLOXOM,President,,GRN,Jill Stein,1
