"county","precinct","office","district","party","candidate","votes"
"ACCOMACK COUNTY","PROVISIONAL","U.S. House","2","IND","Robert E. Reid, Jr.","6"
"ALBEMARLE COUNTY","101 - WOODBROOK","U.S. House","5","DEM","Gloria Tinsley Witt","1511"
"ALBEMARLE COUNTY","101 - WOODBROOK","U.S. House","5","REP","John J. McGuire, III","776"
"ALBEMARLE COUNTY","101 - WOODBROOK","U.S. House","5","","Write-Ins","8"
"ALBEMARLE COUNTY","103 - BRANCHLANDS","U.S. House","5","DEM","Gloria Tinsley Witt","603"
"ALBEMARLE COUNTY","103 - BRANCHLANDS","U.S. House","5","REP","John J. McGuire, III","256"
"ALBEMARLE COUNTY","103 - BRANCHLANDS","U.S. House","5","","Write-Ins","1"
"ALBEMARLE COUNTY","104 - AGNOR-HURT","U.S. House","5","DEM","Gloria Tinsley Witt","1317"
"ALBEMARLE COUNTY","104 - AGNOR-HURT","U.S. House","5","REP","John J. McGuire, III","467"
"ALBEMARLE COUNTY","104 - AGNOR-HURT","U.S. House","5","","Write-Ins","4"
"ALBEMARLE COUNTY","105 - DUNLORA","U.S. House","5","DEM","Gloria Tinsley Witt","2262"
"ALBEMARLE COUNTY","105 - DUNLORA","U.S. House","5","REP","John J. McGuire, III","698"
"ALBEMARLE COUNTY","105 - DUNLORA","U.S. House","5","","Write-Ins","7"
"ALBEMARLE COUNTY","106 - NORTHSIDE","U.S. House","5","DEM","Gloria Tinsley Witt","1344"
"ALBEMARLE COUNTY","106 - NORTHSIDE","U.S. House","5","REP","John J. McGuire, III","961"
"ALBEMARLE COUNTY","106 - NORTHSIDE","U.S. House","5","","Write-Ins","9"
"ALBEMARLE COUNTY","201 - JACK JOUETT","U.S. House","5","DEM","Gloria Tinsley Witt","1806"
"ALBEMARLE COUNTY","201 - JACK JOUETT","U.S. House","5","REP","John J. McGuire, III","1033"
"ALBEMARLE COUNTY","201 - JACK JOUETT","U.S. House","5","","Write-Ins","11"
"ALBEMARLE COUNTY","202 - UNIVERSITY","U.S. House","5","DEM","Gloria Tinsley Witt","1128"
"ALBEMARLE COUNTY","202 - UNIVERSITY","U.S. House","5","REP","John J. McGuire, III","287"
