county,precinct,office,district,party,candidate,votes
ACCOMACK COUNTY,##AB - CENTRAL ABSENTEE PRECINCT,Governor,,REP,Glenn Allen Youngkin,195
ACCOMACK COUNTY,##AB - CENTRAL ABSENTEE PRECINCT,Governor,,,Princess Latece Teira Blanding,8
ACCOMACK COUNTY,##AB - CENTRAL ABSENTEE PRECINCT,Governor,,DEM,Terence Richard McAuliffe,436
ACCOMACK COUNTY,##EV - CENTRAL ABSENTEE PRECINCT,Governor,,REP,Glenn Allen Youngkin,1708
ACCOMACK COUNTY,##EV - CENTRAL ABSENTEE PRECINCT,Governor,,,Princess Latece Teira Blanding,12
ACCOMACK COUNTY,##EV - CENTRAL ABSENTEE PRECINCT,Governor,,DEM,Terence Richard McAuliffe,2230
ACCOMACK COUNTY,##PE - CENTRAL ABSENTEE PRECINCT,Governor,,REP,Glenn Allen Youngkin,14
ACCOMACK COUNTY,##PE - CENTRAL ABSENTEE PRECINCT,Governor,,DEM,Terence Richard McAuliffe,16
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,OTH,All Others,1
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,REP,Glenn Allen Youngkin,983
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,,Princess Latece Teira Blanding,8
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,DEM,Terence Richard McAuliffe,326
ACCOMACK COUNTY,201 - ATLANTIC,Governor,,REP,Glenn Allen Youngkin,418
ACCOMACK COUNTY,201 - ATLANTIC,Governor,,,Princess Latece Teira Blanding,2
ACCOMACK COUNTY,201 - ATLANTIC,Governor,,DEM,Terence Richard McAuliffe,62
ACCOMACK COUNTY,202 - GREENBACKVILLE,Governor,,REP,Glenn Allen Youngkin,687
ACCOMACK COUNTY,202 - GREENBACKVILLE,Governor,,,Princess Latece Teira Blanding,3
ACCOMACK COUNTY,202 - GREENBACKVILLE,Governor,,DEM,Terence Richard McAuliffe,151
ACCOMACK COUNTY,301 - NEW CHURCH,Governor,,REP,Glenn Allen Youngkin,424
ACCOMACK COUNTY,301 - NEW CHURCH,Governor,,,Princess Latece Teira Blanding,6
ACCOMACK COUNTY,301 - NEW CHURCH,Governor,,DEM,Terence Richard McAuliffe,218
ACCOMACK COUNTY,401 - BLOXOM,Governor,,REP,Glenn Allen Youngkin,282
ACCOMACK COUNTY,401 - BLOXOM,Governor,,,Princess Latece Teira Blanding,1
ACCOMACK COUNTY,401 - BLOXOM,Governor,,DEM,Terence Richard McAuliffe,65
ACCOMACK COUNTY,402 - PARKSLEY,Governor,,REP,Glenn Allen Youngkin,370
ACCOMACK COUNTY,402 - PARKSLEY,Governor,,DEM,Terence Richard McAuliffe,100
ACCOMACK COUNTY,403 - SAXIS,Governor,,REP,Glenn Allen Youngkin,129
ACCOMACK COUNTY,403 - SAXIS,Governor,,,Princess Latece Teira Blanding,1
ACCOMACK COUNTY,403 - SAXIS,Governor,,DEM,Terence Richard McAuliffe,21
ACCOMACK COUNTY,501 - MAPPSVILLE,Governor,,OTH,All Others,1
ACCOMACK COUNTY,501 - MAPPSVILLE,Governor,,REP,Glenn Allen Youngkin,158
ACCOMACK COUNTY,501 - MAPPSVILLE,Governor,,,Princess Latece Teira Blanding,5
ACCOMACK COUNTY,501 - MAPPSVILLE,Governor,,DEM,Terence Richard McAuliffe,112
ACCOMACK COUNTY,502 - RUE,Governor,,REP,Glenn Allen Youngkin,88
ACCOMACK COUNTY,502 - RUE,Governor,,,Princess Latece Teira Blanding,3
ACCOMACK COUNTY,502 - RUE,Governor,,DEM,Terence Richard McAuliffe,115
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,OTH,All Others,1
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,REP,Glenn Allen Youngkin,399
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,,Princess Latece Teira Blanding,4
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,DEM,Terence Richard McAuliffe,146
ACCOMACK COUNTY,602 - TANGIER,Governor,,OTH,All Others,1
ACCOMACK COUNTY,602 - TANGIER,Governor,,REP,Glenn Allen Youngkin,154
ACCOMACK COUNTY,602 - TANGIER,Governor,,,Princess Latece Teira Blanding,1
ACCOMACK COUNTY,602 - TANGIER,Governor,,DEM,Terence Richard McAuliffe,11
ACCOMACK COUNTY,701 - NANDUA,Governor,,REP,Glenn Allen Youngkin,530
ACCOMACK COUNTY,701 - NANDUA,Governor,,,Princess Latece Teira Blanding,3
ACCOMACK COUNTY,701 - NANDUA,Governor,,DEM,Terence Richard McAuliffe,222
ACCOMACK COUNTY,801 - BOBTOWN,Governor,,REP,Glenn Allen Youngkin,273
ACCOMACK COUNTY,801 - BOBTOWN,Governor,,DEM,Terence Richard McAuliffe,101
