County/City,Ward,Pct,"Ralph Shearer Northam","Earl Walker Jackson, Sr.","All Others","Total Votes Cast"
"Alexandria City",-,"205 - Douglas Macarthur School","1,171",454,18,"1,643"
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr",896,290,10,"1,196"
"Alexandria City",-,"207 - Temple Beth El Synagogue","1,244",471,15,"1,730"
"Alexandria City",-,"208 - Nova Arts Center",904,267,9,"1,180"
"Alexandria City",-,"209 - James K Polk School","1,270",335,7,"1,612"
"Alexandria City",-,"210 - St James Church",568,219,3,790
"Alexandria City",-,"302 - Patrick Henry Rec Center",779,167,4,950
"Alexandria City",-,"303 - Charles E Beatley Library",991,211,1,"1,203"
"Alexandria City",-,"304 - Samuel Tucker School","1,128",246,10,"1,384"
"Alexandria City",-,"305 - John Adams School","1,080",242,7,"1,329"
"Alexandria City",-,"306 - William Ramsay School","1,055",226,7,"1,288"
"Alexandria City",-,"307 - South Port",926,251,2,"1,179"
"Alexandria City",-,"308 - Cameron Station Community Ctr","1,035",419,10,"1,464"
"Alexandria City",-,"Ab - Central Absentee Precinct","2,715",769,18,"3,502"
"Alexandria City",-,Provisional,54,22,1,77
"Alleghany County",-,"101 - Arritt",200,164,0,364
"Alleghany County",-,"103 - Dameron",62,82,0,144
"Alleghany County",-,"201 - Humpback Bridge",127,128,0,255
"Alleghany County",-,"202 - Dolly Ann",177,151,0,328
"Alleghany County",-,"301 - Callaghan",106,118,0,224
"Alleghany County",-,"302 - Griffith",200,173,4,377
"Alleghany County",-,"401 - Low Moor",150,116,0,266
"Alleghany County",-,"402 - Jackson Heights",193,159,0,352
"Alleghany County",-,"501 - Iron Gate",109,68,1,178
"Alleghany County",-,"502 - Peters Switch",236,204,2,442
"Alleghany County",-,"601 - District 1",364,208,2,574
"Alleghany County",-,"701 - District 2",285,133,0,418
"Alleghany County",-,"Ab - Central Absentee Precinct",52,62,1,115
"Alleghany County",-,Provisional,0,0,0,0
"Amelia County",-,"101 - Number One",278,379,0,657
"Amelia County",-,"201 - Number Two",338,453,1,792
"Amelia County",-,"301 - Number Three",265,515,0,780
"Amelia County",-,"401 - Number Four",275,513,0,788
"Amelia County",-,"501 - Number Five",431,493,3,927
"Amelia County",-,"Ab - Central Absentee Precinct",91,117,0,208
"Amelia County",-,Provisional,1,0,0,1
"Amherst County",-,"101 - Wright Shop",357,219,1,577
"Amherst County",-,"102 - New Glasgow",290,370,0,660
"Amherst County",-,"103 - Coolwell",90,237,0,327
"Amherst County",-,"201 - Court House",609,700,1,"1,310"
"Amherst County",-,"202 - Temperance",200,286,1,487
"Amherst County",-,"301 - Monroe",213,306,3,522
"Amherst County",-,"302 - Elon",432,858,2,"1,292"
"Amherst County",-,"303 - Pleasant View",113,178,0,291
"Amherst County",-,"401 - Amelon",584,798,7,"1,389"
"Amherst County",-,"402 - Lonco",113,174,1,288
"Amherst County",-,"501 - Madison",623,710,3,"1,336"
"Amherst County",-,"Ab - Central Absentee Precinct",171,144,0,315
"Amherst County",-,Provisional,0,1,0,1
"Appomattox County",-,"101 - Vera",117,234,0,351
"Appomattox County",-,"102 - Pamplin",241,391,2,634
"Appomattox County",-,"201 - Chap",93,117,1,211
"Appomattox County",-,"202 - Spout Spring",250,558,2,810
"Appomattox County",-,"301 - Us 460",156,321,0,477
"Appomattox County",-,"302 - Stonewall",177,354,0,531
"Appomattox County",-,"401 - Courthouse",275,531,2,808
"Appomattox County",-,"501 - Oakville",264,439,7,710
"Appomattox County",-,"502 - Agee",115,141,1,257
"Appomattox County",-,"Ab - Central Absentee Precinct",69,105,1,175
"Appomattox County",-,Provisional,0,1,0,1
"Arlington County",-,"1 - Arlington",722,147,4,873
"Arlington County",-,"2 - Ashton Heights","1,067",249,10,"1,326"
"Arlington County",-,"3 - Aurora Hills",689,284,3,976
"Arlington County",-,"4 - Ballston",829,292,9,"1,130"
"Arlington County",-,"5 - Barcroft",889,235,7,"1,131"
"Arlington County",-,"6 - Crystal City",625,256,4,885
"Arlington County",-,"7 - Cherrydale","1,063",312,10,"1,385"
"Arlington County",-,"8 - Hume",928,363,9,"1,300"
"Arlington County",-,"9 - Columbia","1,127",221,11,"1,359"
"Arlington County",-,"10 - Wilson",887,286,14,"1,187"
"Arlington County",-,"11 - East Falls Church",757,273,3,"1,033"
"Arlington County",-,"12 - Fairlington","1,029",332,12,"1,373"
"Arlington County",-,"13 - Glen Carlyn",665,166,2,833
"Arlington County",-,"14 - Clarendon",647,230,5,882
"Arlington County",-,"15 - Lyon Park",882,226,5,"1,113"
"Arlington County",-,"16 - Lyon Village",950,278,8,"1,236"
"Arlington County",-,"17 - Overlee Knolls","1,164",343,8,"1,515"
"Arlington County",-,"18 - Park Lane","1,066",284,7,"1,357"
"Arlington County",-,"19 - Rosslyn","1,014",270,12,"1,296"
"Arlington County",-,"20 - Thrifton","1,059",416,8,"1,483"
"Arlington County",-,"21 - Virginia Highlands",984,407,7,"1,398"
"Arlington County",-,"22 - Abingdon","1,107",321,11,"1,439"
"Arlington County",-,"23 - Westover","1,035",310,7,"1,352"
"Arlington County",-,"24 - Woodlawn","1,323",305,12,"1,640"
"Arlington County",-,"25 - Arlington Forest",851,219,7,"1,077"
"Arlington County",-,"26 - Fillmore","1,140",274,5,"1,419"
"Arlington County",-,"27 - Jefferson","1,011",303,5,"1,319"
"Arlington County",-,"28 - Claremont","1,089",236,5,"1,330"
"Arlington County",-,"29 - Dominion Hills","1,187",328,4,"1,519"
"Arlington County",-,"30 - Glebe",883,158,3,"1,044"
"Arlington County",-,"31 - Lexington","1,164",330,11,"1,505"
"Arlington County",-,"32 - Oakridge",402,174,7,583
"Arlington County",-,"33 - Rock Spring","1,116",415,7,"1,538"
"Arlington County",-,"34 - Yorktown",999,338,4,"1,341"
"Arlington County",-,"35 - Madison","1,095",556,11,"1,662"
"Arlington County",-,"36 - Marshall","1,113",350,11,"1,474"
"Arlington County",-,"37 - Nottingham",981,355,8,"1,344"
"Arlington County",-,"38 - Arlington View",750,136,8,894
"Arlington County",-,"39 - Ashlawn",583,207,6,796
"Arlington County",-,"40 - Virginia Square",804,277,14,"1,095"
"Arlington County",-,"41 - Woodbury",748,223,4,975
"Arlington County",-,"42 - Shirlington",737,173,6,916
"Arlington County",-,"43 - Arlington Mill",589,95,2,686
"Arlington County",-,"44 - Dawson Terrace",666,171,6,843
"Arlington County",-,"45 - Buckingham",726,174,4,904
"Arlington County",-,"46 - Central",824,276,13,"1,113"
"Arlington County",-,"47 - Four Mile Run",669,160,4,833
"Arlington County",-,"48 - Courtlands",664,228,5,897
"Arlington County",-,"49 - Monroe",501,132,4,637
"Arlington County",-,"50 - Crystal Plaza",541,252,10,803
"Arlington County",-,"51 - Taylor",263,96,1,360
"Arlington County",-,"52 - Gunston",472,193,3,668
"Arlington County",-,"Ab - Central Absentee Precinct","5,980","1,187",40,"7,207"
"Arlington County",-,Provisional,59,21,0,80
"Augusta County",-,"101 - Jolivue",173,322,3,498
"Augusta County",-,"102 - Stuarts Draft Elementary",174,340,2,516
"Augusta County",-,"103 - Verona",274,630,2,906
"Augusta County",-,"201 - Crimora",263,734,1,998
"Augusta County",-,"202 - New Hope",190,505,1,696
"Augusta County",-,"203 - Weyers Cave",246,789,3,"1,038"
"Augusta County",-,"301 - Fort Defiance",482,"1,161",6,"1,649"
"Augusta County",-,"302 - North River",105,330,0,435
"Augusta County",-,"303 - Mount Solon",109,464,0,573
"Augusta County",-,"304 - Churchville Fire Station",116,354,0,470
"Augusta County",-,"401 - Buffalo Gap",176,424,0,600
"Augusta County",-,"402 - Churchville Elementary",164,416,5,585
"Augusta County",-,"403 - Craigsville",79,252,0,331
"Augusta County",-,"404 - Deerfield",42,140,0,182
"Augusta County",-,"405 - Cedar Green",258,494,1,753
"Augusta County",-,"501 - Greenville",231,630,0,861
"Augusta County",-,"502 - Middlebrook",144,383,0,527
"Augusta County",-,"503 - Spottswood",155,355,0,510
"Augusta County",-,"504 - White Hill",240,669,1,910
"Augusta County",-,"601 - Sherando",188,448,2,638
"Augusta County",-,"602 - Stuarts Draft Rescue",371,"1,013",5,"1,389"
"Augusta County",-,"603 - Lyndhurst",325,698,0,"1,023"
"Augusta County",-,"801 - Dooms",192,523,0,715
"Augusta County",-,"802 - Fishersville",461,920,6,"1,387"
"Augusta County",-,"803 - Wilson",334,626,2,962
"Augusta County",-,"Ab - Central Absentee Precinct",225,430,3,658
"Augusta County",-,Provisional,0,4,0,4
"Bath County",-,"101 - Warm Springs",93,108,0,201
"Bath County",-,"102 - Mountain Grove",17,29,0,46
"Bath County",-,"201 - Hot Springs",96,80,0,176
"Bath County",-,"301 - Fairview",62,116,0,178
"Bath County",-,"302 - Burnsville",13,27,0,40
"Bath County",-,"401 - Millboro",116,140,0,256
"Bath County",-,"501 - Healing Springs",119,111,2,232
"Bath County",-,"Ab - Central Absentee Precinct",30,28,0,58
"Bedford County",-,"101 - Goodview Elem School (CD 5)",292,714,1,"1,007"
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",159,311,0,470
"Bedford County",-,"103 - Chamblissburg Baptist Church (CD 5)",234,457,3,694
"Bedford County",-,"104 - Stewartsville Rescue Squad (CD 5)",229,394,2,625
"Bedford County",-,"201 - Bedford Christian Church (CD 5)",121,251,0,372
"Bedford County",-,"202 - Staunton River High School (CD 5)",174,298,1,473
"Bedford County",-,"203 - Moneta Elem School (CD 5)",365,681,1,"1,047"
"Bedford County",-,"204 - Body Camp Elem School (CD 5)",108,191,1,300
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",339,550,1,890
"Bedford County",-,"301 - New London Academy (CD 6)",422,"1,243",6,"1,671"
"Bedford County",-,"302 - Bedford Regional Water Auth (CD 5)",251,467,1,719
"Bedford County",-,"303 - Bethesda United Methodist Church (CD 5)",138,349,0,487
"Bedford County",-,"304 - Forest Youth Athletic Assoc (CD 6)",141,383,0,524
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",111,255,2,368
"Bedford County",-,"401 - Forest Elementary School (CD 6)",310,757,1,"1,068"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",194,545,0,739
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",442,972,2,"1,416"
"Bedford County",-,"404 - St. Paul Baptist Church (CD 6)",330,827,3,"1,160"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",119,181,1,301
"Bedford County",-,"503 - Sedalia Center (CD 6)",122,227,0,349
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",179,396,4,579
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",398,698,2,"1,098"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",387,"1,037",4,"1,428"
"Bedford County",-,"601 - Montvale Elem School (CD 6)",215,499,1,715
"Bedford County",-,"602 - Shady Grove Fire Department (CD 5)",247,494,0,741
"Bedford County",-,"603 - Thaxton Community Center (CD 5)",60,116,0,176
"Bedford County",-,"604 - Bedford Welcome Center (CD 5)",430,632,2,"1,064"
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)",261,845,1,"1,107"
"Bedford County",-,"702 - Liberty High School (CD 5)",206,413,1,620
"Bedford County",-,"703 - Thaxton Elem School (CD 5)",141,282,0,423
"Bedford County",-,"704 - Bedford Central Library (CD 5)",460,630,0,"1,090"
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",196,316,1,513
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",150,256,1,407
"Bedford County",-,"Provisional (CD 5)",0,1,1,2
"Bedford County",-,"Provisional (CD 6)",0,1,1,2
"Bland County",-,"101 - Bastian",56,157,1,214
"Bland County",-,"102 - Ceres",72,151,0,223
"Bland County",-,"201 - Davis",30,36,0,66
"Bland County",-,"202 - Seddon",132,282,4,418
"Bland County",-,"301 - Hollybrook",60,138,0,198
"Bland County",-,"302 - Mechanicsburg",27,73,0,100
"Bland County",-,"401 - Rocky Gap",123,364,1,488
"Bland County",-,"Ab - Central Absentee Precinct",24,50,0,74
"Bland County",-,Provisional,0,0,0,0
"Botetourt County",-,"101 - Amsterdam",420,654,2,"1,076"
"Botetourt County",-,"102 - Asbury",408,855,3,"1,266"
"Botetourt County",-,"201 - Blue Ridge",324,770,6,"1,100"
"Botetourt County",-,"202 - Rainbow Forest",385,764,4,"1,153"
"Botetourt County",-,"301 - Buchanan",274,389,1,664
"Botetourt County",-,"302 - Mill Creek",203,373,2,578
"Botetourt County",-,"303 - Roaring Run",96,128,0,224
"Botetourt County",-,"304 - Springwood",163,248,4,415
"Botetourt County",-,"402 - Courthouse",238,324,1,563
"Botetourt County",-,"403 - Eagle Rock",153,233,0,386
"Botetourt County",-,"404 - Glen Wilton",114,144,1,259
"Botetourt County",-,"405 - Oriskany",12,27,0,39
"Botetourt County",-,"406 - Town Hall",262,516,3,781
"Botetourt County",-,"501 - Coyner Springs",184,329,1,514
"Botetourt County",-,"502 - Cloverdale",465,810,5,"1,280"
"Botetourt County",-,"503 - Troutville",116,246,1,363
"Botetourt County",-,"Ab - Central Absentee Precinct",188,347,3,538
"Botetourt County",-,Provisional,1,3,0,4
"Bristol City",-,"1 - First Ward",235,423,0,658
"Bristol City",-,"2 - Second Ward",338,616,4,958
"Bristol City",-,"3 - Third Ward",226,294,1,521
"Bristol City",-,"4 - Fourth Ward",416,"1,160",3,"1,579"
"Bristol City",-,"Ab - Central Absentee Precinct",82,101,0,183
"Bristol City",-,Provisional,0,1,0,1
"Brunswick County",-,"101 - Brodnax",134,91,0,225
"Brunswick County",-,"102 - Rock Store",183,132,0,315
"Brunswick County",-,"103 - Tillman",175,196,0,371
"Brunswick County",-,"201 - Dromgoole",108,47,0,155
"Brunswick County",-,"202 - Edgerton",310,77,0,387
"Brunswick County",-,"203 - Fitzhugh",245,88,0,333
"Brunswick County",-,"301 - Alberta",52,38,0,90
"Brunswick County",-,"302 - Danieltown",258,157,1,416
"Brunswick County",-,"303 - Elmore",137,60,0,197
"Brunswick County",-,"304 - Seymour",111,63,1,175
"Brunswick County",-,"401 - Sturgeon",449,174,0,623
"Brunswick County",-,"402 - King's Store",204,46,0,250
"Brunswick County",-,"501 - Totaro",530,132,1,663
"Brunswick County",-,"Ab - Central Absentee Precinct",129,113,1,243
"Buchanan County",-,"102 - Blackey",51,136,0,187
"Buchanan County",-,"103 - Hurley",70,342,0,412
"Buchanan County",-,"201 - Grassy",30,28,0,58
"Buchanan County",-,"202 - Bull",70,174,1,245
"Buchanan County",-,"203 - Rocklick",57,211,0,268
"Buchanan County",-,"301 - Slate",108,251,0,359
"Buchanan County",-,"302 - North Grundy",87,213,0,300
"Buchanan County",-,"403 - South Grundy",142,366,0,508
"Buchanan County",-,"404 - Oakwood",10,27,0,37
"Buchanan County",-,"501 - Prater",137,129,0,266
"Buchanan County",-,"502 - Fox",60,30,0,90
"Buchanan County",-,"503 - Vansant",102,211,1,314
"Buchanan County",-,"601 - Council",73,108,0,181
"Buchanan County",-,"602 - Garden",113,190,0,303
"Buchanan County",-,"603 - Hurricane",110,94,0,204
"Buchanan County",-,"701 - Whitewood",142,218,3,363
"Buchanan County",-,"702 - Contrary",99,192,0,291
"Buchanan County",-,"Ab - Central Absentee Precinct",127,163,0,290
"Buchanan County",-,Provisional,0,1,1,2
"Buckingham County",-,"101 - New Canton",294,236,1,531
"Buckingham County",-,"102 - Georgia Creek",52,85,1,138
"Buckingham County",-,"201 - White Hall",198,153,0,351
"Buckingham County",-,"301 - Curdsville",184,226,1,411
"Buckingham County",-,"302 - New Store",106,188,1,295
"Buckingham County",-,"401 - Maysville",317,320,3,640
"Buckingham County",-,"501 - Wrights",110,130,1,241
"Buckingham County",-,"502 - Glenmore",230,137,0,367
"Buckingham County",-,"601 - Slate River",323,183,1,507
"Buckingham County",-,"701 - Gold Hill",177,190,0,367
"Buckingham County",-,"Ab - Central Absentee Precinct",92,86,1,179
"Buckingham County",-,Provisional,1,0,0,1
"Buena Vista City",-,"1 - First Ward",327,361,1,689
"Buena Vista City",-,"2 - Second Ward",235,296,1,532
"Campbell County",-,"101 - Brookville",486,961,1,"1,448"
"Campbell County",-,"102 - New London",337,843,2,"1,182"
"Campbell County",-,"201 - Walker",298,647,2,947
"Campbell County",-,"202 - Bedford Springs",364,909,0,"1,273"
"Campbell County",-,"301 - Evington",168,262,2,432
"Campbell County",-,"302 - Otter River",149,264,1,414
"Campbell County",-,"303 - Altavista",498,568,2,"1,068"
"Campbell County",-,"401 - Three Forks",241,578,0,819
"Campbell County",-,"402 - Court House",423,"1,003",4,"1,430"
"Campbell County",-,"501 - Spring Hill",324,971,2,"1,297"
"Campbell County",-,"502 - Yellow Branch",276,429,0,705
"Campbell County",-,"601 - Kings",261,551,2,814
"Campbell County",-,"602 - Concord",407,828,3,"1,238"
"Campbell County",-,"701 - Brookneal",250,386,1,637
"Campbell County",-,"702 - Gladys",317,530,2,849
"Campbell County",-,"703 - Morris Church",160,250,0,410
"Campbell County",-,"Ab - Central Absentee Precinct",171,284,6,461
"Campbell County",-,Provisional,4,4,8,16
"Caroline County",-,"101 - Bowling Green",337,411,4,752
"Caroline County",-,"102 - Sparta",290,281,0,571
"Caroline County",-,"201 - North Madison",277,223,3,503
"Caroline County",-,"202 - South Madison",381,310,3,694
"Caroline County",-,"301 - Port Royal",146,159,3,308
"Caroline County",-,"302 - Woodford",458,357,2,817
"Caroline County",-,"401 - Dawn",773,296,3,"1,072"
"Caroline County",-,"402 - Carmel Church",263,107,0,370
"Caroline County",-,"501 - West Mattaponi",447,243,3,693
"Caroline County",-,"502 - Milford",309,236,3,548
"Caroline County",-,"601 - Chilesburg",353,283,4,640
"Caroline County",-,"602 - Lake",201,233,5,439
"Caroline County",-,"Ab - Central Absentee Precinct",137,134,0,271
"Caroline County",-,Provisional,1,5,6,12
"Carroll County",-,"101 - Mt Bethel",96,163,0,259
"Carroll County",-,"102 - St Paul",106,323,0,429
"Carroll County",-,"103 - Lambsburg",73,168,0,241
"Carroll County",-,"105 - Fancy Gap",127,257,0,384
"Carroll County",-,"201 - Hillsville B",414,511,2,927
"Carroll County",-,"202 - Laurel Fork",114,192,0,306
"Carroll County",-,"203 - Gladesboro",159,283,2,444
"Carroll County",-,"301 - Hillsville C",404,561,1,966
"Carroll County",-,"302 - Sylvatus",122,211,0,333
"Carroll County",-,"303 - Dugspur",67,131,0,198
"Carroll County",-,"402 - Woodlawn D",247,404,0,651
"Carroll County",-,"403 - Oakland D",132,226,1,359
"Carroll County",-,"405 - Oakland A",123,220,0,343
"Carroll County",-,"406 - Woodlawn F",28,89,0,117
"Carroll County",-,"501 - Vaughan",52,155,2,209
"Carroll County",-,"502 - Gladeville",170,366,1,537
"Carroll County",-,"503 - Woodlawn E",109,196,1,306
"Carroll County",-,"504 - Laurel",100,208,2,310
"Carroll County",-,"Ab - Central Absentee Precinct",114,220,1,335
"Carroll County",-,Provisional,0,1,1,2
"Charles City County",-,"101 - Precinct 1-1",476,275,1,752
"Charles City County",-,"201 - Precinct 2-1",495,193,1,689
"Charles City County",-,"301 - Precinct 3-1",567,292,4,863
"Charles City County",-,"Ab - Central Absentee Precinct",144,44,0,188
"Charles City County",-,Provisional,1,1,2,4
"Charlotte County",-,"101 - County Seat",237,270,1,508
"Charlotte County",-,"201 - Red Oak Wylliesburg",259,330,1,590
"Charlotte County",-,"302 - Drakes Branch",177,225,1,403
"Charlotte County",-,"401 - Keysville",240,285,1,526
"Charlotte County",-,"501 - Cullen",108,171,1,280
"Charlotte County",-,"503 - Red House",119,78,0,197
"Charlotte County",-,"602 - Phenix",216,301,2,519
"Charlotte County",-,"701 - Bacon",132,102,0,234
"Charlotte County",-,"702 - Saxe",109,135,0,244
"Charlotte County",-,"Ab - Central Absentee Precinct",65,49,0,114
"Charlotte County",-,Provisional,0,1,1,2
"Charlottesville City",-,"101 - Recreation","1,340",282,4,"1,626"
"Charlottesville City",-,"102 - Clark","1,330",248,2,"1,580"
"Charlottesville City",-,"201 - Carver","1,063",158,4,"1,225"
"Charlottesville City",-,"202 - Walker","1,580",455,13,"2,048"
"Charlottesville City",-,"301 - Benjamin Tonsler",889,166,4,"1,059"
"Charlottesville City",-,"302 - Johnson","1,181",361,3,"1,545"
"Charlottesville City",-,"303 - Buford",539,95,4,638
"Charlottesville City",-,"401 - Venable",467,126,2,595
"Charlottesville City",-,"402 - Alumni Hall",740,254,3,997
"Charlottesville City",-,"Ab - Central Absentee Precinct",793,124,1,918
"Charlottesville City",-,Provisional,7,4,13,24
"Chesapeake City",-,"1 - Great Bridge",477,670,3,"1,150"
"Chesapeake City",-,"2 - Bethel",329,683,3,"1,015"
"Chesapeake City",-,"3 - Camelot","1,314",131,0,"1,445"
"Chesapeake City",-,"4 - Churchland",440,495,6,941
"Chesapeake City",-,"5 - Crestwood",965,126,2,"1,093"
"Chesapeake City",-,"6 - Deep Creek",904,729,4,"1,637"
"Chesapeake City",-,"7 - Greenbrier",648,735,3,"1,386"
"Chesapeake City",-,"8 - South Norfolk Recreation",565,409,2,976
"Chesapeake City",-,"9 - Bells Mill",748,959,7,"1,714"
"Chesapeake City",-,"10 - Oscar Smith",265,236,4,505
"Chesapeake City",-,"11 - Geneva Park",354,382,6,742
"Chesapeake City",-,"12 - Georgetown",867,167,1,"1,035"
"Chesapeake City",-,"13 - Gilmerton",539,500,2,"1,041"
"Chesapeake City",-,"14 - Grassfield",113,160,0,273
"Chesapeake City",-,"15 - B M Williams",531,361,2,894
"Chesapeake City",-,"16 - Hickory Grove",404,738,1,"1,143"
"Chesapeake City",-,"17 - Indian Creek",303,452,2,757
"Chesapeake City",-,"18 - Indian River",432,225,4,661
"Chesapeake City",-,"19 - Jolliff",315,517,1,833
"Chesapeake City",-,"20 - E W Chittum",659,659,5,"1,323"
"Chesapeake City",-,"21 - Fellowship",501,526,1,"1,028"
"Chesapeake City",-,"22 - Norfolk Highlands",276,336,2,614
"Chesapeake City",-,"23 - Oak Grove",558,430,3,991
"Chesapeake City",-,"24 - Oaklette",524,300,4,828
"Chesapeake City",-,"25 - St Julians",286,241,1,528
"Chesapeake City",-,"26 - Johnson Park",256,116,0,372
"Chesapeake City",-,"27 - Silverwood",712,670,5,"1,387"
"Chesapeake City",-,"28 - Sunray I",36,94,1,131
"Chesapeake City",-,"29 - Tanglewood",360,534,1,895
"Chesapeake City",-,"30 - South Norfolk",482,27,2,511
"Chesapeake City",-,"31 - Carver School",920,171,3,"1,094"
"Chesapeake City",-,"32 - Providence","1,118",112,5,"1,235"
"Chesapeake City",-,"33 - Westover",256,304,2,562
"Chesapeake City",-,"34 - Hickory Middle School",551,980,4,"1,535"
"Chesapeake City",-,"35 - Taylor Road",480,184,0,664
"Chesapeake City",-,"36 - Great Bridge Baptist Church",563,780,5,"1,348"
"Chesapeake City",-,"37 - Bridgetown",438,520,3,961
"Chesapeake City",-,"38 - Bailey Creek",413,638,2,"1,053"
"Chesapeake City",-,"39 - Lake Drummond",226,296,0,522
"Chesapeake City",-,"40 - River Birch",643,454,2,"1,099"
"Chesapeake City",-,"41 - John T West",923,669,3,"1,595"
"Chesapeake City",-,"42 - Parkways",512,368,1,881
"Chesapeake City",-,"43 - Pleasant Crossing",386,678,3,"1,067"
"Chesapeake City",-,"44 - Nansemond",450,319,3,772
"Chesapeake City",-,"45 - Sunray II",294,110,0,404
"Chesapeake City",-,"46 - Bells Mill II",505,483,0,988
"Chesapeake City",-,"47 - Green Sea",240,417,1,658
"Chesapeake City",-,"48 - Jolliff Middle School",986,131,1,"1,118"
"Chesapeake City",-,"49 - Waterway",844,927,7,"1,778"
"Chesapeake City",-,"50 - River Walk",673,474,1,"1,148"
"Chesapeake City",-,"51 - Coopers Way",459,903,5,"1,367"
"Chesapeake City",-,"52 - Shipyard Road",607,370,1,978
"Chesapeake City",-,"53 - Fairways",415,303,2,720
