district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
85,District 85,64766,38.94,49.37,5.98,0.19,1.94,0.08,0.73
86,District 86,63857,61.93,25.78,5.12,0.27,3.37,0.12,0.51
87,District 87,67432,29.26,58.02,5.68,0.23,2.11,0.02,1.04
88,District 88,63373,41.38,48.56,4.3,0.25,1.68,0.03,0.86
89,District 89,64184,59.56,30.09,4.39,0.19,2.57,0.1,0.34
90,District 90,69059,73.39,14.69,4.62,0.21,4.24,0.06,0.51
91,District 91,65407,38.86,49.26,6.6,0.07,2.3,0.03,0.53
92,District 92,66980,37.41,50.87,5.44,0.29,2.4,0.04,0.83
93,District 93,63193,37.11,47.03,7.35,0.13,4.08,0.04,1.23
94,District 94,61946,62.47,20.49,10.18,0.37,2.66,0.02,0.93
95,District 95,60552,47.56,32.79,9.66,0.13,6.15,0.0,0.61
96,District 96,62588,47.37,26.38,9.16,0.19,12.45,0.16,1.15
97,District 97,65230,61.14,20.36,8.46,0.08,5.06,0.01,1.21
98,District 98,66018,71.94,11.32,7.05,0.22,5.54,0.22,0.53
99,District 99,64789,78.97,9.11,5.81,0.06,2.96,0.07,0.55
100,District 100,63716,71.45,19.27,4.44,0.1,2.55,0.01,0.17
