County/City,Ward,Pct,"Timothy Michael Kaine","Corey Alan Stewart","Matthew Joseph Waters","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Accomack County",-,"101 - Chincoteague",487,932,16,0,"1,435"
"Accomack County",-,"201 - Atlantic",159,430,10,0,599
"Accomack County",-,"202 - Greenbackville",277,541,7,1,826
"Accomack County",-,"301 - New Church",515,447,10,0,972
"Accomack County",-,"401 - Bloxom",106,260,4,0,370
"Accomack County",-,"402 - Parksley",236,363,7,0,606
"Accomack County",-,"403 - Saxis",39,117,0,0,156
"Accomack County",-,"501 - Mappsville",299,180,4,1,484
"Accomack County",-,"502 - Rue",312,98,0,1,411
"Accomack County",-,"601 - Accomac",436,495,11,0,942
"Accomack County",-,"602 - Tangier",30,171,2,0,203
"Accomack County",-,"701 - Nandua",755,763,19,3,"1,540"
"Accomack County",-,"801 - Bobtown",214,311,3,1,529
"Accomack County",-,"802 - Melfa",358,308,8,0,674
"Accomack County",-,"803 - Wachapreague",155,285,10,0,450
"Accomack County",-,"901 - Painter",869,492,14,0,"1,375"
"Accomack County",-,"Ab - Central Absentee Precinct",748,412,10,1,"1,171"
"Accomack County",-,Provisional,2,0,0,0,2
"Albemarle County",-,"101 - Woodbrook","1,268",591,53,4,"1,916"
"Albemarle County",-,"103 - Branchlands",536,170,20,1,727
"Albemarle County",-,"104 - Agnor-hurt","1,115",343,30,1,"1,489"
"Albemarle County",-,"105 - Dunlora","1,641",493,51,1,"2,186"
"Albemarle County",-,"106 - Northside","1,367",798,60,3,"2,228"
"Albemarle County",-,"201 - Jack Jouett","1,490",718,47,8,"2,263"
"Albemarle County",-,"202 - University","1,933",308,77,6,"2,324"
"Albemarle County",-,"203 - Georgetown","1,356",289,56,3,"1,704"
"Albemarle County",-,"301 - Ivy","1,811",773,52,6,"2,642"
"Albemarle County",-,"302 - Red Hill","1,203",641,32,1,"1,877"
"Albemarle County",-,"304 - East Ivy",425,208,17,2,652
"Albemarle County",-,"305 - Country Green","1,194",451,31,2,"1,678"
"Albemarle County",-,"306 - Porters",601,344,19,1,965
"Albemarle County",-,"307 - Yellow Mountain",265,178,10,1,454
"Albemarle County",-,"401 - Scottsville",462,491,20,0,973
"Albemarle County",-,"402 - Monticello",468,437,15,1,921
"Albemarle County",-,"405 - Cale","1,504",461,41,8,"2,014"
"Albemarle County",-,"406 - Stone Robinson","1,021",925,38,5,"1,989"
