table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of the Resident Population for Counties in Virginia: April 1, 2020 to July 1, 2025",,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,
".Henrico County, Virginia","334,961","334,929","334,546","335,033","336,037","340,024","342,775"
".Henry County, Virginia","50,939","50,845","50,275","49,772","49,709","49,523","49,242"
".Highland County, Virginia","2,234","2,242","2,242","2,306","2,344","2,336","2,318"
".Isle of Wight County, Virginia","38,612","38,711","39,405","40,133","40,627","40,890","41,321"
".James City County, Virginia","78,253","78,486","80,028","81,458","82,369","82,896","83,326"
".King and Queen County, Virginia","6,603","6,585","6,666","6,712","6,739","6,726","6,743"
".King George County, Virginia","26,720","26,822","27,556","27,868","28,447","28,900","29,646"
".King William County, Virginia","17,810","17,916","18,248","18,518","19,048","19,279","19,617"
".Lancaster County, Virginia","10,918","10,899","10,938","10,835","10,879","10,971","10,995"
".Lee County, Virginia","22,173","22,110","22,016","21,853","21,773","21,777","21,642"
".Loudoun County, Virginia","420,951","422,693","428,857","432,672","436,786","443,749","449,749"
".Louisa County, Virginia","37,586","37,785","39,028","39,989","41,036","42,176","42,924"
".Lunenburg County, Virginia","11,937","11,949","12,006","12,016","12,058","12,078","12,058"
".Madison County, Virginia","13,842","13,862","13,964","14,003","14,108","14,224","14,237"
".Mathews County, Virginia","8,535","8,520","8,549","8,469","8,558","8,585","8,529"
".Mecklenburg County, Virginia","30,316","30,285","30,346","30,494","30,610","30,809","30,747"
".Middlesex County, Virginia","10,619","10,609","10,780","10,953","10,925","10,941","10,841"
".Montgomery County, Virginia","99,722","99,593","98,769","98,746","98,606","98,357","98,434"
".Nelson County, Virginia","14,769","14,737","14,840","14,687","14,652","14,817","14,920"
".New Kent County, Virginia","22,942","23,118","23,952","24,972","26,178","27,196","28,022"
".Northampton County, Virginia","12,282","12,217","12,072","11,969","12,043","12,021","11,879"
".Northumberland County, Virginia","11,835","11,838","12,053","12,262","12,410","12,412","12,557"
".Nottoway County, Virginia","15,644","15,642","15,574","15,558","15,581","15,690","15,796"
".Orange County, Virginia","36,185","36,396","37,219","38,015","38,572","39,193","40,083"
".Page County, Virginia","23,713","23,695","23,835","23,744","23,671","23,687","23,762"
".Patrick County, Virginia","17,601","17,583","17,647","17,559","17,468","17,395","17,424"
".Pittsylvania County, Virginia","60,499","60,369","60,066","59,862","59,652","59,505","59,490"
".Powhatan County, Virginia","30,341","30,453","31,250","31,592","32,102","32,362","32,591"
".Prince Edward County, Virginia","21,837","21,879","21,884","21,848","22,022","22,319","22,391"
".Prince George County, Virginia","43,010","43,076","42,972","43,086","43,088","43,742","43,936"
".Prince William County, Virginia","482,205","482,838","485,482","487,524","491,396","498,352","502,966"
".Pulaski County, Virginia","33,797","33,806","33,825","33,650","33,611","33,552","33,586"
".Rappahannock County, Virginia","7,351","7,322","7,435","7,444","7,448","7,443","7,439"
".Richmond County, Virginia","8,919","8,919","9,084","9,096","9,164","9,220","9,294"
".Roanoke County, Virginia","96,962","96,958","96,737","96,878","97,219","97,373","97,150"
".Rockbridge County, Virginia","22,669","22,668","22,666","22,600","22,433","22,457","22,663"
".Rockingham County, Virginia","83,769","83,780","84,536","85,494","86,900","88,319","89,316"
".Russell County, Virginia","25,787","25,761","25,585","25,449","25,501","25,430","25,332"
".Scott County, Virginia","21,574","21,595","21,489","21,506","21,409","21,388","21,200"
".Shenandoah County, Virginia","44,182","44,258","44,839","44,892","45,202","45,468","45,839"
".Smyth County, Virginia","29,794","29,780","29,610","29,398","29,166","29,133","28,882"
".Southampton County, Virginia","17,995","17,950","18,029","17,896","18,050","18,018","18,110"
".Spotsylvania County, Virginia","140,097","140,611","144,048","146,798","149,837","152,461","155,388"
".Stafford County, Virginia","156,937","157,763","161,625","163,226","165,794","168,788","170,803"
".Surry County, Virginia","6,555","6,548","6,532","6,503","6,591","6,593","6,603"
".Sussex County, Virginia","10,839","10,799","10,830","10,657","10,801","10,742","10,755"
".Tazewell County, Virginia","40,438","40,407","39,963","39,638","39,272","38,986","38,635"
".Warren County, Virginia","40,721","40,796","40,986","41,424","41,983","42,484","42,740"
".Washington County, Virginia","53,946","53,910","53,773","53,863","53,998","54,114","53,898"
".Westmoreland County, Virginia","18,480","18,513","18,779","18,712","18,978","19,338","19,715"
".Wise County, Virginia","36,126","36,072","35,700","35,341","35,194","35,035","34,824"
".Wythe County, Virginia","28,292","28,324","28,212","28,149","28,166","28,046","27,983"
".York County, Virginia","70,054","70,236","71,143","71,206","71,020","71,338","71,374"
".Alexandria city, Virginia","159,470","159,147","155,116","154,880","155,798","159,367","160,662"
".Bristol city, Virginia","17,242","17,321","17,098","16,906","16,709","16,454","16,418"
".Buena Vista city, Virginia","6,633","6,616","6,617","6,560","6,578","6,611","6,672"
".Charlottesville city, Virginia","46,518","46,433","45,723","45,104","44,832","44,609","44,388"
".Chesapeake city, Virginia","249,251","249,655","251,846","252,431","253,782","254,770","255,332"
".Colonial Heights city, Virginia","18,145","18,162","18,199","18,241","18,409","18,620","18,738"
".Covington city, Virginia","5,749","5,747","5,719","5,671","5,600","5,688","5,680"
".Danville city, Virginia","42,581","42,572","42,280","42,068","42,060","41,958","41,647"
".Emporia city, Virginia","5,753","5,697","5,630","5,524","5,481","5,410","5,447"
".Fairfax city, Virginia","24,146","24,174","24,363","24,657","25,070","26,038","26,772"
".Falls Church city, Virginia","14,657","14,677","14,517","14,520","14,808","15,046","15,159"
".Franklin city, Virginia","8,176","8,147","8,152","8,251","8,323","8,404","8,478"
".Fredericksburg city, Virginia","27,977","27,997","28,449","28,708","29,180","29,985","30,393"
".Galax city, Virginia","6,725","6,716","6,656","6,720","6,777","6,701","6,670"
".Hampton city, Virginia","137,160","137,279","137,771","137,889","137,043","137,399","137,315"
".Harrisonburg city, Virginia","51,808","51,698","51,451","51,011","50,976","50,792","50,839"
".Hopewell city, Virginia","23,031","23,012","23,081","22,857","22,911","23,064","23,261"
".Lexington city, Virginia","7,309","7,318","7,447","7,503","7,530","7,701","7,769"
".Lynchburg city, Virginia","79,014","78,995","79,177","79,278","79,769","80,316","81,347"
".Manassas city, Virginia","42,773","42,690","42,777","42,734","43,184","44,038","44,332"
".Manassas Park city, Virginia","17,217","17,161","17,092","16,628","16,316","16,428","16,560"
".Martinsville city, Virginia","13,482","13,478","13,536","13,658","13,726","13,789","13,849"
".Newport News city, Virginia","186,235","186,030","184,659","183,976","183,311","183,401","183,230"
".Norfolk city, Virginia","238,090","237,859","235,091","232,960","232,862","231,105","231,013"
".Norton city, Virginia","3,696","3,680","3,633","3,594","3,515","3,516","3,477"
".Petersburg city, Virginia","33,464","33,398","33,444","33,484","33,316","34,030","33,734"
".Poquoson city, Virginia","12,455","12,472","12,628","12,617","12,602","12,863","13,292"
".Portsmouth city, Virginia","97,944","97,991","97,833","97,076","97,030","96,845","96,777"
".Radford city, Virginia","16,066","16,117","16,487","16,710","16,969","17,239","17,243"
".Richmond city, Virginia","226,522","226,927","227,229","228,936","230,804","234,807","237,257"
".Roanoke city, Virginia","100,017","99,903","98,767","97,922","97,741","98,690","99,111"
".Salem city, Virginia","25,341","25,398","25,423","25,682","25,575","25,737","25,816"
".Staunton city, Virginia","25,750","25,810","25,707","25,924","25,855","26,260","26,801"
".Suffolk city, Virginia","94,431","94,818","96,426","98,626","100,927","103,007","104,699"
".Virginia Beach city, Virginia","459,417","459,626","458,644","454,721","453,402","453,763","453,737"
".Waynesboro city, Virginia","22,193","22,280","22,615","22,748","23,128","23,575","23,951"
".Williamsburg city, Virginia","15,417","15,459","15,459","15,703","16,046","15,944","15,861"
".Winchester city, Virginia","28,114","28,003","28,088","27,963","27,864","28,082","28,272"
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0466). ",,,,,,,
"The estimates are based on the 2020 Modified Age and Race Census (MARC) file and include changes from Count Question Resolution, the Post-Census Group Quarters Review, and geographic revisions. The estimates add births to, subtract deaths from, and add net migration to the April 1, 2020 estimates base. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2025 population estimates series are as of January 1, 2025.",,,,,,,
Suggested Citation:,,,,,,,
"Annual Estimates of the Resident Population for Counties in Virginia: April 1, 2020 to July 1, 2025 (CO-EST2025-POP-51)",,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,
Release Date: March 2026,,,,,,,
