table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of the Resident Population for Counties in Virginia: April 1, 2020 to July 1, 2025",,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,
,,2020,2021,2022,2023,2024,2025
Virginia,"8,631,419","8,637,303","8,660,007","8,681,038","8,732,034","8,819,642","8,880,107"
".Accomack County, Virginia","33,423","33,400","33,435","33,221","33,510","33,747","33,859"
".Albemarle County, Virginia","112,435","112,578","113,988","114,871","115,664","117,312","118,356"
".Alleghany County, Virginia","15,216","15,187","15,003","14,757","14,733","14,674","14,546"
".Amelia County, Virginia","13,262","13,268","13,313","13,418","13,583","13,707","13,632"
".Amherst County, Virginia","31,313","31,312","31,403","31,525","31,557","31,653","31,962"
".Appomattox County, Virginia","16,116","16,155","16,406","16,695","16,846","17,003","17,172"
".Arlington County, Virginia","238,647","238,825","233,485","233,476","234,369","239,687","243,931"
".Augusta County, Virginia","77,490","77,586","77,804","77,931","78,325","78,764","78,940"
".Bath County, Virginia","4,205","4,185","4,093","4,074","4,062","4,058","4,076"
".Bedford County, Virginia","79,496","79,590","80,311","80,832","81,765","82,467","83,059"
".Bland County, Virginia","6,272","6,255","6,180","6,151","6,228","6,186","6,151"
".Botetourt County, Virginia","33,588","33,636","34,003","34,088","34,138","34,057","34,144"
".Brunswick County, Virginia","15,849","15,824","15,965","15,846","15,786","15,763","15,727"
".Buchanan County, Virginia","20,343","20,247","19,883","19,318","18,981","18,723","18,492"
".Buckingham County, Virginia","16,828","16,826","16,953","16,979","16,985","17,111","17,137"
".Campbell County, Virginia","55,654","55,598","55,326","55,034","55,308","55,563","55,629"
".Caroline County, Virginia","30,880","30,922","31,412","31,973","32,745","33,586","34,413"
".Carroll County, Virginia","29,154","29,146","29,105","29,097","29,197","29,211","29,299"
".Charles City County, Virginia","6,772","6,747","6,614","6,582","6,652","6,582","6,623"
".Charlotte County, Virginia","11,530","11,538","11,499","11,422","11,408","11,323","11,401"
".Chesterfield County, Virginia","364,084","365,330","371,042","378,739","385,138","391,243","397,148"
".Clarke County, Virginia","14,789","14,817","14,947","15,311","15,399","15,631","15,609"
".Craig County, Virginia","4,893","4,876","4,890","4,855","4,822","4,822","4,800"
".Culpeper County, Virginia","52,548","52,764","53,778","54,315","55,263","56,756","57,666"
".Cumberland County, Virginia","9,690","9,680","9,721","9,758","9,914","10,203","10,352"
".Dickenson County, Virginia","14,128","14,075","13,865","13,711","13,576","13,388","13,236"
".Dinwiddie County, Virginia","27,934","27,886","27,999","28,137","28,476","28,787","28,896"
".Essex County, Virginia","10,600","10,597","10,570","10,635","10,590","10,677","10,654"
".Fairfax County, Virginia","1,150,294","1,148,598","1,142,546","1,138,853","1,143,456","1,159,806","1,167,873"
".Fauquier County, Virginia","72,971","73,012","74,079","74,689","75,256","75,865","76,503"
".Floyd County, Virginia","15,473","15,469","15,513","15,616","15,713","15,713","15,789"
".Fluvanna County, Virginia","27,248","27,289","27,803","28,126","28,493","28,789","28,975"
".Franklin County, Virginia","54,457","54,478","55,037","55,054","55,475","55,612","55,526"
".Frederick County, Virginia","91,445","91,891","94,000","94,855","96,248","98,180","99,955"
".Giles County, Virginia","16,792","16,786","16,578","16,434","16,523","16,636","16,564"
".Gloucester County, Virginia","38,714","38,723","39,191","39,554","40,016","40,067","40,097"
".Goochland County, Virginia","24,744","24,866","25,551","26,212","27,272","28,263","29,187"
".Grayson County, Virginia","15,336","15,282","15,349","15,320","15,259","15,333","15,230"
".Greene County, Virginia","20,548","20,601","20,998","21,021","21,355","21,702","21,958"
".Greensville County, Virginia","11,394","11,387","11,423","11,217","11,175","11,175","11,181"
".Halifax County, Virginia","34,035","33,939","33,798","33,612","33,470","33,554","33,447"
".Hanover County, Virginia","109,982","110,211","111,827","112,955","114,263","115,553","116,423"
