County/City,Ward,Pct,"Robert F. McDonnell","Robert Creigh Deeds","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",-,"101 - Chincoteague (CD 2)",757,286,0,"1,043"
"Accomack County",-,"201 - Atlantic (CD 2)",233,82,0,315
"Accomack County",-,"202 - Greenbackville (CD 2)",249,102,0,351
"Accomack County",-,"203 - Hallwood (CD 2)",148,54,0,202
"Accomack County",-,"204 - Saxis (CD 2)",75,13,0,88
"Accomack County",-,"205 - Tangier (CD 2)",215,4,1,220
"Accomack County",-,"301 - New Church (CD 2)",145,133,0,278
"Accomack County",-,"302 - Oak Hall (CD 2)",214,165,0,379
"Accomack County",-,"401 - Bloxom (CD 2)",203,68,0,271
"Accomack County",-,"402 - Parksley (CD 2)",351,182,0,533
"Accomack County",-,"501 - Mappsville (CD 2)",178,164,0,342
"Accomack County",-,"502 - Rue (CD 2)",116,163,0,279
"Accomack County",-,"601 - Accomac (CD 2)",461,332,0,793
"Accomack County",-,"701 - Onancock (CD 2)",549,363,0,912
"Accomack County",-,"702 - Onley (CD 2)",192,89,0,281
"Accomack County",-,"801 - Bobtown (CD 2)",170,88,0,258
"Accomack County",-,"802 - Keller (CD 2)",79,71,1,151
"Accomack County",-,"803 - Melfa (CD 2)",195,172,0,367
"Accomack County",-,"804 - Quinby (CD 2)",98,33,0,131
"Accomack County",-,"805 - Wachapreague (CD 2)",141,58,0,199
"Accomack County",-,"901 - Painter (CD 2)",451,502,0,953
"Accomack County",-,"Ab - Central Absentee Precinct (CD 2)",179,124,0,303
"Accomack County",-,"Provisional Votes (CD 2)",1,1,0,2
"Albemarle County",-,"101 - Woodbrook (CD 5)",760,635,2,"1,397"
"Albemarle County",-,"103 - Branchlands (CD 5)",190,250,0,440
"Albemarle County",-,"104 - Agnor-hurt (CD 5)",358,533,3,894
"Albemarle County",-,"105 - Dunlora (CD 5)",479,568,0,"1,047"
"Albemarle County",-,"106 - Northside (CD 5)",615,427,0,"1,042"
"Albemarle County",-,"201 - Jack Jouett (CD 5)",521,540,3,"1,064"
"Albemarle County",-,"202 - University Hall (CD 5)",137,304,0,441
"Albemarle County",-,"203 - Georgetown (CD 5)",322,588,1,911
"Albemarle County",-,"204 - Belfield (CD 5)",348,309,0,657
"Albemarle County",-,"301 - Ivy (CD 5)",977,"1,092",5,"2,074"
"Albemarle County",-,"302 - Red Hill (CD 5)",602,699,1,"1,302"
"Albemarle County",-,"304 - East Ivy (CD 5)",320,324,0,644
"Albemarle County",-,"305 - Country Green (CD 5)",445,486,2,933
"Albemarle County",-,"401 - Scottsville (CD 5)",420,296,1,717
"Albemarle County",-,"402 - Monticello (CD 5)",386,218,3,607
"Albemarle County",-,"403 - Porters (CD 5)",247,358,0,605
"Albemarle County",-,"405 - Cale (CD 5)",656,"1,024",1,"1,681"
"Albemarle County",-,"406 - Stone Robinson (CD 5)",967,507,0,"1,474"
"Albemarle County",-,"501 - Keswick (CD 5)",321,343,0,664
"Albemarle County",-,"502 - Stony Point (CD 5)",388,339,0,727
"Albemarle County",-,"503 - Hollymead (CD 5)","1,302",980,0,"2,282"
"Albemarle County",-,"504 - Free Bridge (CD 5)",685,783,1,"1,469"
"Albemarle County",-,"505 - Burnley (CD 5)",376,283,0,659
"Albemarle County",-,"601 - Crozet (CD 5)",865,872,3,"1,740"
"Albemarle County",-,"602 - Free Union (CD 5)",363,325,0,688
"Albemarle County",-,"603 - Earlysville (CD 5)",908,674,2,"1,584"
"Albemarle County",-,"604 - Brownsville (CD 5)",767,661,3,"1,431"
"Albemarle County",-,"605 - Yellow Mountain (CD 5)",166,160,0,326
"Albemarle County",-,"Ab - Central Absentee Precinct (CD 5)",872,848,4,"1,724"
"Albemarle County",-,"Provisional Votes (CD 5)",4,7,0,11
"Alexandria City",-,"101 - Ladrey Senior Building (CD 8)",420,521,5,946
"Alexandria City",-,"102 - City Hall (CD 8)",599,664,2,"1,265"
"Alexandria City",-,"103 - Lyles Crouch School (CD 8)",533,614,2,"1,149"
"Alexandria City",-,"104 - Durant Center (CD 8)",473,964,1,"1,438"
"Alexandria City",-,"105 - Lee Center (CD 8)",575,969,3,"1,547"
"Alexandria City",-,"106 - Cora Kelly Center (CD 8)",399,"1,199",3,"1,601"
"Alexandria City",-,"107 - Mt Vernon Recreation Center (CD 8)",469,"1,070",4,"1,543"
"Alexandria City",-,"108 - George Washington Middle Sch (CD 8)",361,929,3,"1,293"
"Alexandria City",-,"109 - Fire Department Headquarters (CD 8)",552,781,2,"1,335"
"Alexandria City",-,"201 - Maury School (CD 8)",502,954,5,"1,461"
"Alexandria City",-,"202 - George Mason School (CD 8)",638,899,2,"1,539"
"Alexandria City",-,"203 - Agudas Achim Synagogue (CD 8)",424,906,2,"1,332"
"Alexandria City",-,"204 - Blessed Sacrament Church (CD 8)",561,776,3,"1,340"
"Alexandria City",-,"205 - Douglas Macarthur School (CD 8)",642,900,7,"1,549"
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr (CD 8)",406,676,0,"1,082"
"Alexandria City",-,"207 - Temple Beth El Synagogue (CD 8)",634,878,4,"1,516"
"Alexandria City",-,"208 - Nova Arts Center (CD 8)",387,564,2,953
"Alexandria City",-,"209 - James K Polk School (CD 8)",477,867,2,"1,346"
"Alexandria City",-,"210 - St James Church (CD 8)",287,445,1,733
"Alexandria City",-,"302 - Patrick Henry Rec Center (CD 8)",280,576,3,859
"Alexandria City",-,"303 - Charles E Beatley Library (CD 8)",344,727,0,"1,071"
"Alexandria City",-,"304 - Samuel Tucker School (CD 8)",312,748,3,"1,063"
"Alexandria City",-,"305 - John Adams School (CD 8)",300,753,2,"1,055"
"Alexandria City",-,"306 - William Ramsay School (CD 8)",271,664,4,939
"Alexandria City",-,"307 - South Port (CD 8)",376,663,0,"1,039"
"Alexandria City",-,"308 - Cameron Station Community Ctr (CD 8)",646,779,3,"1,428"
"Alexandria City",-,"Ab - Central Absentee Precinct (CD 8)","1,171","1,602",3,"2,776"
"Alexandria City",-,"Provisional Votes (CD 8)",11,20,0,31
"Alleghany County",-,"101 - Arritt (CD 9)",183,281,0,464
"Alleghany County",-,"103 - Dameron (CD 9)",112,88,0,200
"Alleghany County",-,"201 - Humpback Bridge (CD 6)",130,162,0,292
"Alleghany County",-,"202 - Dolly Ann (CD 6)",180,283,1,464
"Alleghany County",-,"301 - Callaghan (CD 6)",120,157,0,277
"Alleghany County",-,"302 - Griffith (CD 6)",227,370,1,598
"Alleghany County",-,"401 - Low Moor (CD 9)",189,277,0,466
"Alleghany County",-,"402 - Jackson Heights (CD 9)",154,225,0,379
"Alleghany County",-,"501 - Iron Gate (CD 9)",92,119,1,212
"Alleghany County",-,"502 - Peters Switch (CD 9)",221,316,0,537
"Alleghany County",-,"601 - District 1 (CD 9)",212,452,0,664
"Alleghany County",-,"701 - District 2 (CD 9)",130,347,0,477
"Alleghany County",-,"Ab - Central Absentee Precinct (CD 6)",29,42,0,71
"Alleghany County",-,"Ab - Central Absentee Precinct (CD 9)",38,70,0,108
"Alleghany County",-,"Provisional Votes (CD 6)",0,1,0,1
"Alleghany County",-,"Provisional Votes (CD 9)",0,0,0,0
"Amelia County",-,"101 - Number One (CD 4)",440,184,0,624
"Amelia County",-,"201 - Number Two (CD 4)",565,241,1,807
"Amelia County",-,"301 - Number Three (CD 4)",589,146,0,735
"Amelia County",-,"401 - Number Four (CD 4)",618,210,1,829
"Amelia County",-,"501 - Number Five (CD 4)",505,335,0,840
"Amelia County",-,"Ab - Central Absentee Precinct (CD 4)",161,52,0,213
"Amelia County",-,"Provisional Votes (CD 4)",0,0,0,0
"Amherst County",-,"101 - Wright Shop (CD 6)",265,348,0,613
"Amherst County",-,"102 - New Glasgow (CD 6)",412,243,0,655
"Amherst County",-,"103 - Coolwell (CD 6)",238,77,0,315
"Amherst County",-,"201 - Court House (CD 6)",887,434,0,"1,321"
"Amherst County",-,"202 - Temperance (CD 6)",366,161,0,527
"Amherst County",-,"301 - Monroe (CD 6)",381,158,2,541
"Amherst County",-,"302 - Elon (CD 6)",959,278,1,"1,238"
"Amherst County",-,"303 - Pleasant View (CD 6)",235,79,0,314
"Amherst County",-,"401 - Amelon (CD 6)",949,406,1,"1,356"
"Amherst County",-,"402 - Lonco (CD 6)",209,76,0,285
"Amherst County",-,"501 - Madison (CD 6)",886,456,0,"1,342"
"Amherst County",-,"Ab - Central Absentee Precinct (CD 6)",189,111,0,300
"Amherst County",-,"Provisional Votes (CD 6)",0,0,0,0
"Appomattox County",-,"101 - Vera (CD 5)",239,64,0,303
"Appomattox County",-,"102 - Pamplin (CD 5)",401,157,0,558
"Appomattox County",-,"201 - Chap (CD 5)",213,89,1,303
"Appomattox County",-,"202 - Spout Spring (CD 5)",456,119,0,575
"Appomattox County",-,"301 - 460 (CD 5)",408,117,0,525
"Appomattox County",-,"302 - Stonewall (CD 5)",371,120,0,491
"Appomattox County",-,"401 - Courthouse (CD 5)",536,190,0,726
"Appomattox County",-,"501 - Oakville (CD 5)",474,175,0,649
"Appomattox County",-,"502 - Agee (CD 5)",163,91,0,254
"Appomattox County",-,"Ab - Central Absentee Precinct (CD 5)",136,50,0,186
"Appomattox County",-,"Provisional Votes (CD 5)",0,0,0,0
"Arlington County",-,"1 - Arlington (CD 8)",193,502,3,698
"Arlington County",-,"2 - Ashton Heights (CD 8)",322,880,3,"1,205"
"Arlington County",-,"3 - Aurora Hills (CD 8)",368,515,1,884
"Arlington County",-,"4 - Ballston (CD 8)",315,594,3,912
"Arlington County",-,"5 - Barcroft (CD 8)",318,628,1,947
"Arlington County",-,"6 - Crystal City (CD 8)",342,434,0,776
"Arlington County",-,"7 - Cherrydale (CD 8)",431,836,1,"1,268"
"Arlington County",-,"8 - Hume (CD 8)",483,673,4,"1,160"
"Arlington County",-,"9 - Columbia (CD 8)",266,791,4,"1,061"
"Arlington County",-,"10 - Wilson (CD 8)",371,714,3,"1,088"
"Arlington County",-,"11 - East Falls Church (CD 8)",349,612,0,961
"Arlington County",-,"12 - Fairlington (CD 8)",496,790,4,"1,290"
"Arlington County",-,"13 - Glen Carlyn (CD 8)",200,475,2,677
"Arlington County",-,"14 - Clarendon (CD 8)",289,500,3,792
"Arlington County",-,"15 - Lyon Park (CD 8)",330,701,2,"1,033"
"Arlington County",-,"16 - Lyon Village (CD 8)",363,840,2,"1,205"
"Arlington County",-,"17 - Overlee Knolls (CD 8)",459,853,4,"1,316"
"Arlington County",-,"18 - Park Lane (CD 8)",361,857,5,"1,223"
"Arlington County",-,"19 - Rosslyn (CD 8)",334,658,6,998
"Arlington County",-,"20 - Thrifton (CD 8)",614,857,1,"1,472"
"Arlington County",-,"21 - Virginia Highlands (CD 8)",434,648,0,"1,082"
"Arlington County",-,"22 - Abingdon (CD 8)",455,851,2,"1,308"
"Arlington County",-,"23 - Westover (CD 8)",255,615,5,875
"Arlington County",-,"24 - Woodlawn (CD 8)",381,"1,067",6,"1,454"
"Arlington County",-,"25 - Arlington Forest (CD 8)",321,651,3,975
"Arlington County",-,"26 - Fillmore (CD 8)",317,806,3,"1,126"
"Arlington County",-,"27 - Jefferson (CD 8)",395,812,2,"1,209"
"Arlington County",-,"28 - Claremont (CD 8)",332,711,3,"1,046"
"Arlington County",-,"29 - Dominion Hills (CD 8)",422,896,1,"1,319"
"Arlington County",-,"30 - Glebe (CD 8)",136,635,4,775
"Arlington County",-,"31 - Lexington (CD 8)",436,914,4,"1,354"
"Arlington County",-,"32 - Oakridge (CD 8)",435,567,3,"1,005"
"Arlington County",-,"33 - Rock Spring (CD 8)",563,911,1,"1,475"
"Arlington County",-,"34 - Yorktown (CD 8)",446,755,0,"1,201"
"Arlington County",-,"35 - Madison (CD 8)",715,877,2,"1,594"
"Arlington County",-,"36 - Marshall (CD 8)",511,990,7,"1,508"
"Arlington County",-,"37 - Nottingham (CD 8)",427,794,3,"1,224"
"Arlington County",-,"38 - Arlington View (CD 8)",163,539,4,706
"Arlington County",-,"39 - Ashlawn (CD 8)",252,453,4,709
"Arlington County",-,"40 - Virginia Square (CD 8)",373,625,3,"1,001"
"Arlington County",-,"41 - Woodbury (CD 8)",307,547,2,856
"Arlington County",-,"42 - Shirlington (CD 8)",270,481,3,754
"Arlington County",-,"43 - Arlington Mill (CD 8)",130,352,1,483
"Arlington County",-,"44 - Dawson Terrace (CD 8)",255,518,3,776
"Arlington County",-,"45 - Buckingham (CD 8)",345,775,2,"1,122"
"Arlington County",-,"46 - Central (CD 8)",349,660,4,"1,013"
"Arlington County",-,"47 - Four Mile Run (CD 8)",184,438,0,622
"Arlington County",-,"48 - Courtlands (CD 8)",283,477,3,763
"Arlington County",-,"49 - Monroe (CD 8)",177,349,3,529
"Arlington County",-,"50 - Crystal Plaza (CD 8)",295,354,2,651
"Arlington County",-,"51 - Taylor (CD 8)",97,199,0,296
"Arlington County",-,"Ab - Central Absentee Precinct (CD 8)","1,645","2,949",6,"4,600"
"Arlington County",-,"Provisional Votes (CD 8)",15,23,0,38
"Augusta County",-,"101 - Jolivue (CD 6)",467,175,0,642
"Augusta County",-,"102 - Expo (CD 6)",390,104,1,495
"Augusta County",-,"103 - Verona (CD 6)",809,239,0,"1,048"
"Augusta County",-,"201 - Crimora (CD 6)",774,195,1,970
"Augusta County",-,"202 - New Hope (CD 6)",651,196,2,849
"Augusta County",-,"203 - Weyers Cave (CD 6)",860,192,1,"1,053"
"Augusta County",-,"301 - Fort Defiance (CD 6)","1,015",313,1,"1,329"
"Augusta County",-,"302 - North River (CD 6)",297,85,0,382
"Augusta County",-,"303 - Mount Solon (CD 6)",495,106,1,602
"Augusta County",-,"304 - Churchville Fire Station (CD 6)",380,116,2,498
"Augusta County",-,"401 - Buffalo Gap (CD 6)",475,140,0,615
"Augusta County",-,"402 - Churchville Library (CD 6)",466,148,0,614
"Augusta County",-,"403 - Craigsville (CD 6)",269,98,0,367
"Augusta County",-,"404 - Deerfield (CD 6)",140,49,1,190
"Augusta County",-,"405 - Cedar Green (CD 6)",477,167,0,644
"Augusta County",-,"501 - Greenville (CD 6)",719,185,1,905
"Augusta County",-,"502 - Middlebrook (CD 6)",414,136,0,550
"Augusta County",-,"503 - Spottswood (CD 6)",388,127,0,515
"Augusta County",-,"504 - White Hill (CD 6)",725,165,0,890
"Augusta County",-,"601 - Sherando (CD 6)",536,140,0,676
"Augusta County",-,"602 - Stuarts Draft (CD 6)","1,181",330,1,"1,512"
"Augusta County",-,"603 - Lyndhurst (CD 6)",604,169,0,773
"Augusta County",-,"801 - Dooms (CD 6)",670,165,0,835
"Augusta County",-,"802 - Fishersville (CD 6)","1,238",395,3,"1,636"
"Augusta County",-,"803 - Wilson (CD 6)",693,246,1,940
"Augusta County",-,"Ab - Central Absentee Precinct (CD 6)",528,175,0,703
"Augusta County",-,"Provisional Votes (CD 6)",0,2,0,2
"Bath County",-,"101 - Warm Springs (CD 6)",93,175,0,268
"Bath County",-,"102 - Mountain Grove (CD 6)",33,23,0,56
"Bath County",-,"201 - Hot Springs (CD 6)",95,221,1,317
"Bath County",-,"301 - Fairview (CD 6)",102,152,0,254
"Bath County",-,"302 - Burnsville (CD 6)",32,40,0,72
"Bath County",-,"401 - Millboro (CD 6)",149,261,0,410
"Bath County",-,"501 - Healing Springs (CD 6)",122,243,0,365
"Bath County",-,"Ab - Central Absentee Precinct (CD 6)",40,44,0,84
"Bath County",-,"Provisional Votes (CD 6)",0,0,0,0
"Bedford County",-,"101 - Goodview Elem School (CD 5)","1,071",383,1,"1,455"
"Bedford County",-,"102 - Hardy Fire & Rescue Bldg (CD 5)",326,122,0,448
"Bedford County",-,"103 - Chamblissburg First Aid Bldg (CD 5)",261,107,0,368
"Bedford County",-,"202 - Staunton River High School (CD 5)",439,144,1,584
"Bedford County",-,"203 - Moneta Elem School (CD 5)",938,339,1,"1,278"
"Bedford County",-,"204 - Body Camp Elem School (CD 5)",107,59,0,166
"Bedford County",-,"205 - Saunders Vol Fire Dept (CD 5)",678,219,0,897
"Bedford County",-,"301 - New London Academy (CD 6)","1,294",229,0,"1,523"
"Bedford County",-,"302 - Bedford County Psa (CD 5)",446,160,1,607
"Bedford County",-,"303 - Bethesda Methodist Church (CD 5)",313,102,0,415
"Bedford County",-,"304 - Forest Youth Athletic Assoc (CD 6)",405,89,0,494
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",291,81,0,372
"Bedford County",-,"401 - Forest Elem School (CD 6)","1,087",201,0,"1,288"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)","1,341",320,3,"1,664"
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)","1,022",264,0,"1,286"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",200,94,0,294
