County/City,Ward,Pct,"Mark Robert Warner","Edward Walter Gillespie","Robert Christopher Sarvis","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Richmond City",-,"207 - Two Hundred Seven (CD 3)",698,266,72,0,"1,036"
"Richmond City",-,"208 - Two Hundred Eight (CD 3)",738,273,42,1,"1,054"
"Richmond City",-,"213 - Two Hundred Thirteen (CD 3)",633,50,36,0,719
"Richmond City",-,"301 - Three Hundred One (CD 3)",418,27,5,1,451
"Richmond City",-,"302 - Three Hundred Two (CD 3)",584,61,14,0,659
"Richmond City",-,"303 - Three Hundred Three (CD 3)",442,17,7,0,466
"Richmond City",-,"304 - Three Hundred Four (CD 3)",650,16,10,0,676
"Richmond City",-,"305 - Three Hundred Five (CD 3)",498,32,14,2,546
"Richmond City",-,"306 - Three Hundred Six (CD 3)",408,17,6,1,432
"Richmond City",-,"307 - Three Hundred Seven (CD 3)",604,160,27,2,793
"Richmond City",-,"308 - Three Hundred Eight (CD 3)",659,190,50,1,900
"Richmond City",-,"309 - Three Hundred Nine (CD 7)",414,242,20,1,677
"Richmond City",-,"310 - Three Hundred Ten (CD 3)",178,5,2,0,185
"Richmond City",-,"402 - Four Hundred Two (CD 3)","1,018",437,65,1,"1,521"
"Richmond City",-,"404 - Four Hundred Four (CD 3)",775,234,48,0,"1,057"
"Richmond City",-,"409 - Four Hundred Nine (CD 7)","1,000",722,55,0,"1,777"
"Richmond City",-,"410 - Four Hundred Ten (CD 7)",635,297,27,1,960
"Richmond City",-,"412 - Four Hundred Twelve (CD 3)",217,81,10,0,308
"Richmond City",-,"412 - Four Hundred Twelve (CD 7)",331,99,24,0,454
"Richmond City",-,"413 - Four Hundred Thirteen (CD 7)",610,390,33,0,"1,033"
"Richmond City",-,"414 - Four Hundred Fourteen (CD 7)",597,482,39,0,"1,118"
"Richmond City",-,"501 - Five Hundred One (CD 3)",819,138,67,0,"1,024"
"Richmond City",-,"503 - Five Hundred Three (CD 3)",921,101,30,0,"1,052"
"Richmond City",-,"504 - Five Hundred Four (CD 3)",834,110,53,1,998
"Richmond City",-,"505 - Five Hundred Five (CD 3)",253,42,38,0,333
"Richmond City",-,"508 - Five Hundred Eight (CD 3)",460,95,23,2,580
"Richmond City",-,"509 - Five Hundred Nine (CD 3)",566,39,19,0,624
"Richmond City",-,"510 - Five Hundred Ten (CD 3)",688,38,27,1,754
"Richmond City",-,"602 - Six Hundred Two (CD 3)",353,8,6,0,367
"Richmond City",-,"603 - Six Hundred Three (CD 3)",543,26,4,0,573
"Richmond City",-,"604 - Six Hundred Four (CD 3)",429,11,8,1,449
"Richmond City",-,"606 - Six Hundred Six (CD 3)",776,27,10,1,814
"Richmond City",-,"607 - Six Hundred Seven (CD 3)",296,91,22,0,409
"Richmond City",-,"609 - Six Hundred Nine (CD 3)",422,39,10,2,473
"Richmond City",-,"610 - Six Hundred Ten (CD 3)",443,5,4,0,452
"Richmond City",-,"701 - Seven Hundred One (CD 3)",463,11,9,0,483
"Richmond City",-,"702 - Seven Hundred Two (CD 3)",473,26,19,1,519
"Richmond City",-,"703 - Seven Hundred Three (CD 3)",499,20,8,0,527
"Richmond City",-,"705 - Seven Hundred Five (CD 3)",473,43,26,1,543
"Richmond City",-,"706 - Seven Hundred Six (CD 3)",846,59,26,0,931
"Richmond City",-,"707 - Seven Hundred Seven (CD 3)","1,012",172,64,1,"1,249"
"Richmond City",-,"708 - Seven Hundred Eight (CD 3)",499,109,34,1,643
"Richmond City",-,"802 - Eight Hundred Two (CD 3)",488,11,8,0,507
"Richmond City",-,"806 - Eight Hundred Six (CD 3)",644,59,8,1,712
"Richmond City",-,"810 - Eight Hundred Ten (CD 3)",518,36,11,0,565
"Richmond City",-,"811 - Eight Hundred Eleven (CD 3)",574,48,11,0,633
"Richmond City",-,"812 - Eight Hundred Twelve (CD 3)",924,137,17,0,"1,078"
"Richmond City",-,"814 - Eight Hundred Fourteen (CD 3)",565,26,5,1,597
"Richmond City",-,"902 - Nine Hundred Two (CD 3)",260,21,1,0,282
"Richmond City",-,"903 - Nine Hundred Three (CD 3)",649,73,8,1,731
"Richmond City",-,"908 - Nine Hundred Eight (CD 3)",422,38,7,1,468
"Richmond City",-,"908 - Nine Hundred Eight (CD 7)",202,26,3,0,231
"Richmond City",-,"909 - Nine Hundred Nine (CD 3)",762,70,21,0,853
"Richmond City",-,"910 - Nine Hundred Ten (CD 3)",638,58,7,1,704
"Richmond City",-,"911 - Nine Hundred Eleven (CD 3)",683,31,8,0,722
"Richmond City",-,"Ab - Central Absentee Precinct (CD 3)","1,075",156,25,1,"1,257"
"Richmond City",-,"Ab - Central Absentee Precinct (CD 7)",254,265,6,1,526
"Richmond City",-,"Provisional (CD 3)",7,0,0,0,7
"Richmond City",-,"Provisional (CD 7)",3,2,1,0,6
"Roanoke County",-,"101 - Catawba (CD 9)",109,228,7,0,344
"Roanoke County",-,"102 - Mason Valley (CD 9)",102,224,15,0,341
"Roanoke County",-,"103 - Glenvar (CD 9)",277,550,19,1,847
"Roanoke County",-,"104 - Northside (CD 9)",270,335,23,0,628
"Roanoke County",-,"105 - Peters Creek (CD 9)",523,812,33,0,"1,368"
"Roanoke County",-,"106 - Green Hill (CD 9)",546,815,32,0,"1,393"
"Roanoke County",-,"107 - Bennett Springs (CD 9)",135,317,13,0,465
"Roanoke County",-,"108 - Wildwood (CD 9)",222,418,26,1,667
"Roanoke County",-,"201 - Plantation (CD 6)",342,456,29,0,827
"Roanoke County",-,"202 - Burlington (CD 6)",218,272,11,1,502
"Roanoke County",-,"203 - Mountain View (CD 6)",503,822,32,0,"1,357"
"Roanoke County",-,"204 - Botetourt Springs (CD 9)",493,605,10,1,"1,109"
"Roanoke County",-,"205 - Orchards (CD 6)",567,"1,038",29,0,"1,634"
"Roanoke County",-,"206 - Hollins (CD 6)",173,253,19,0,445
"Roanoke County",-,"301 - Bent Mountain (CD 9)",138,212,22,0,372
"Roanoke County",-,"302 - Poages Mill (CD 6)",471,978,36,3,"1,488"
"Roanoke County",-,"303 - Windsor Hills (CD 6)",330,482,32,1,845
"Roanoke County",-,"304 - Oak Grove (CD 6)",588,948,41,2,"1,579"
"Roanoke County",-,"305 - Castle Rock (CD 6)",681,974,40,1,"1,696"
"Roanoke County",-,"306 - Garst Mill (CD 6)",316,356,19,1,692
"Roanoke County",-,"402 - Bonsack (CD 6)",91,206,14,0,311
"Roanoke County",-,"403 - North Vinton (CD 6)",269,481,26,2,778
"Roanoke County",-,"404 - South Vinton (CD 6)",407,516,28,1,952
"Roanoke County",-,"405 - Lindenwood (CD 6)",598,"1,088",58,0,"1,744"
"Roanoke County",-,"406 - Mount Pleasant (CD 6)",377,720,36,2,"1,135"
"Roanoke County",-,"501 - Cotton Hill (CD 6)",309,480,20,1,810
"Roanoke County",-,"502 - Penn Forest (CD 6)",299,412,12,0,723
"Roanoke County",-,"503 - Cave Spring (CD 6)",388,556,19,2,965
"Roanoke County",-,"504 - Ogden (CD 6)",288,304,23,0,615
"Roanoke County",-,"505 - Clearbrook (CD 6)",206,398,12,2,618
"Roanoke County",-,"506 - Mount Vernon (CD 6)",310,354,23,2,689
"Roanoke County",-,"507 - Hunting Hills (CD 6)",513,794,33,2,"1,342"
"Roanoke County",-,"Ab - Central Absentee Precinct (CD 6)",408,630,22,0,"1,060"
"Roanoke County",-,"Ab - Central Absentee Precinct (CD 9)",136,128,3,0,267
"Roanoke County",-,"Provisional (CD 6)",2,2,0,0,4
"Roanoke County",-,"Provisional (CD 9)",0,2,0,0,2
"Roanoke City",-,"1 - Highland 1",240,92,23,0,355
"Roanoke City",-,"2 - Highland 2",379,155,30,1,565
"Roanoke City",-,"5 - Jefferson 1",220,196,28,0,444
"Roanoke City",-,"7 - Jefferson-riverdale",219,248,31,1,499
"Roanoke City",-,"8 - Jefferson 2",243,177,21,0,441
"Roanoke City",-,"9 - Tinker",338,389,38,0,765
"Roanoke City",-,"10 - Williamson Road 1",224,201,22,1,448
"Roanoke City",-,"11 - Williamson Road 2",179,196,14,1,390
"Roanoke City",-,"12 - Williamson Road 3",195,66,8,0,269
"Roanoke City",-,"13 - Williamson Road 4",296,142,24,0,462
"Roanoke City",-,"14 - Williamson Road 5",217,175,26,0,418
"Roanoke City",-,"15 - Williamson Road 6",191,230,17,0,438
"Roanoke City",-,"16 - Lincoln Terrace",292,28,7,0,327
"Roanoke City",-,"17 - Monterey",297,396,32,1,726
"Roanoke City",-,"18 - Peters Creek",961,286,14,1,"1,262"
"Roanoke City",-,"19 - Melrose",334,6,5,0,345
"Roanoke City",-,"20 - Eureka Park",506,19,7,1,533
"Roanoke City",-,"21 - Villa Heights",714,47,9,1,771
"Roanoke City",-,"22 - Washington Heights",779,250,28,1,"1,058"
"Roanoke City",-,"23 - Westside",411,64,14,0,489
"Roanoke City",-,"24 - Raleigh Court 1",418,179,28,0,625
"Roanoke City",-,"26 - Raleigh Court 2",301,218,32,1,552
"Roanoke City",-,"27 - Raleigh Court 3",377,181,27,0,585
"Roanoke City",-,"28 - Raleigh Court 4",292,206,18,0,516
"Roanoke City",-,"29 - Raleigh Court 5",302,200,17,0,519
"Roanoke City",-,"30 - Wasena",267,159,24,1,451
"Roanoke City",-,"31 - Fishburn Park",303,319,28,0,650
"Roanoke City",-,"32 - Grandin Court",320,264,18,0,602
"Roanoke City",-,"33 - South Roanoke 1",411,464,23,1,899
"Roanoke City",-,"34 - South Roanoke 2",480,577,30,1,"1,088"
"Roanoke City",-,"35 - Lee-hi",713,745,29,2,"1,489"
"Roanoke City",-,"37 - Garden City",302,500,30,3,835
"Roanoke City",-,"Ab - Central Absentee Precinct",584,336,18,1,939
"Roanoke City",-,Provisional,6,3,0,0,9
"Rockbridge County",-,"101 - Airport",272,334,10,1,617
"Rockbridge County",-,"102 - Ben Salem",176,240,11,0,427
"Rockbridge County",-,"103 - Plank Road",79,130,3,0,212
"Rockbridge County",-,"104 - Effinger",92,163,4,0,259
"Rockbridge County",-,"201 - Collierstown",189,223,5,0,417
"Rockbridge County",-,"202 - Highland Belle",329,412,11,0,752
"Rockbridge County",-,"203 - Vo-tech",105,99,7,0,211
"Rockbridge County",-,"301 - Maury River",166,160,15,0,341
"Rockbridge County",-,"302 - Natural Bridge",139,180,9,0,328
"Rockbridge County",-,"303 - Falling Spring",53,125,9,0,187
"Rockbridge County",-,"401 - Fairfield",159,243,5,0,407
"Rockbridge County",-,"402 - Mountain View",191,324,13,0,528
"Rockbridge County",-,"403 - Vesuvius",48,120,2,0,170
"Rockbridge County",-,"501 - Goshen",68,138,10,0,216
"Rockbridge County",-,"502 - Meadowview",170,172,14,0,356
"Rockbridge County",-,"503 - Rockbridge Baths",122,152,10,0,284
"Rockbridge County",-,"504 - Rockbridge",198,266,12,0,476
"Rockbridge County",-,"Ab - Central Absentee Precinct",156,214,3,0,373
"Rockbridge County",-,Provisional,1,1,0,0,2
"Rockingham County",-,"101 - Broadway",257,653,22,2,934
"Rockingham County",-,"102 - Timberville",116,294,9,1,420
"Rockingham County",-,"103 - Fulks Run",70,382,9,0,461
"Rockingham County",-,"104 - Bergton",31,169,5,1,206
"Rockingham County",-,"105 - Lacey Spring",67,358,11,0,436
"Rockingham County",-,"106 - Tenth Legion",71,276,17,0,364
"Rockingham County",-,"107 - Plains",95,336,17,0,448
"Rockingham County",-,"108 - Little North Mountain",60,217,5,0,282
"Rockingham County",-,"201 - Singers Glen",134,470,14,0,618
"Rockingham County",-,"202 - Edom",249,682,27,1,959
"Rockingham County",-,"203 - Dayton",135,334,13,0,482
"Rockingham County",-,"204 - Mt Clinton",174,560,19,1,754
"Rockingham County",-,"205 - Silver Lake",253,683,26,1,963
"Rockingham County",-,"301 - Keezletown",141,371,13,1,526
"Rockingham County",-,"302 - Port Republic",166,535,12,0,713
"Rockingham County",-,"303 - Melrose",101,308,10,0,419
"Rockingham County",-,"304 - Grottoes",151,435,17,0,603
"Rockingham County",-,"305 - Massanetta Springs",748,"1,349",55,1,"2,153"
"Rockingham County",-,"306 - Cross Keys",63,223,9,0,295
"Rockingham County",-,"401 - Bridgewater",529,973,35,0,"1,537"
"Rockingham County",-,"402 - Montezuma",191,594,18,0,803
"Rockingham County",-,"403 - Mt Crawford",40,91,3,1,135
"Rockingham County",-,"404 - North River",109,477,21,0,607
"Rockingham County",-,"405 - Ottobine",120,636,19,0,775
"Rockingham County",-,"501 - Elkton",223,565,26,1,815
"Rockingham County",-,"502 - Swift Run",158,733,26,2,919
"Rockingham County",-,"503 - Mcgaheysville",220,618,29,3,870
"Rockingham County",-,"504 - South Fork",73,344,15,1,433
"Rockingham County",-,"505 - Stony Run",330,530,27,1,888
"Rockingham County",-,"Ab - Central Absentee Precinct",246,543,11,1,801
"Rockingham County",-,Provisional,2,5,0,0,7
"Russell County",-,"101 - Moccasin",122,294,6,0,422
"Russell County",-,"102 - Copper Creek",125,185,4,1,315
"Russell County",-,"103 - South Castlewood",110,165,8,1,284
"Russell County",-,"201 - North Castlewood",273,474,10,0,757
"Russell County",-,"202 - Dante",63,88,3,0,154
"Russell County",-,"301 - Cooks Mill",59,64,1,0,124
"Russell County",-,"302 - Daugherty",73,136,0,0,209
"Russell County",-,"303 - New Garden",147,202,5,0,354
"Russell County",-,"304 - Cleveland",143,151,6,0,300
"Russell County",-,"401 - Drill",34,26,1,0,61
"Russell County",-,"402 - Swords Creek",165,413,8,0,586
"Russell County",-,"403 - Honaker",145,163,6,0,314
"Russell County",-,"501 - West Lebanon",450,594,20,0,"1,064"
"Russell County",-,"601 - East Lebanon",160,368,17,1,546
"Russell County",-,"602 - Elk Garden",212,457,9,0,678
"Russell County",-,"Ab - Central Absentee Precinct",159,167,4,1,331
"Russell County",-,Provisional,2,0,0,0,2
"Salem City",-,"1 - North Salem No 2",403,487,30,1,921
"Salem City",-,"2 - Conehurst",152,191,16,0,359
"Salem City",-,"3 - Beverly Heights",163,310,6,0,479
"Salem City",-,"4 - West Salem",264,428,25,0,717
"Salem City",-,"5 - North Salem No 1",371,426,29,1,827
"Salem City",-,"6 - South Salem No 1",188,201,14,0,403
"Salem City",-,"7 - South Salem No 2",237,335,35,0,607
"Salem City",-,"8 - East Salem",97,154,9,0,260
"Salem City",-,"9 - South Side Hills",313,564,23,0,900
"Salem City",-,"10 - Hidden Valley",408,617,19,0,"1,044"
"Salem City",-,"Ab - Central Absentee Precinct",154,201,4,0,359
"Scott County",-,"101 - Weber City",97,280,2,0,379
"Scott County",-,"102 - Yuma",126,324,11,0,461
"Scott County",-,"202 - Weber City East",80,237,1,0,318
"Scott County",-,"203 - Hiltons",109,355,3,0,467
"Scott County",-,"204 - Clark's",25,93,1,0,119
"Scott County",-,"301 - Nickelsville",69,251,5,1,326
"Scott County",-,"302 - Snowflake",70,204,2,0,276
"Scott County",-,"303 - Twin Springs",64,166,2,0,232
"Scott County",-,"304 - Copper Creek",23,44,2,0,69
"Scott County",-,"401 - Gate City",247,629,18,1,895
"Scott County",-,"501 - Dungannon",56,114,2,0,172
"Scott County",-,"502 - Fort Blackmore",57,112,2,0,171
"Scott County",-,"503 - Manville",24,88,1,0,113
"Scott County",-,"504 - Rye Cove",87,182,3,1,273
"Scott County",-,"601 - Clinchport",47,115,3,0,165
"Scott County",-,"602 - Duffield-pattonsville",108,309,5,1,423
"Scott County",-,"603 - Fairview",33,55,3,0,91
"Scott County",-,"Ab - Central Absentee Precinct",84,141,4,0,229
"Scott County",-,Provisional,0,0,0,0,0
"Shenandoah County",-,"101 - Orkney Springs",186,368,12,2,568
"Shenandoah County",-,"103 - New Market",324,908,33,1,"1,266"
"Shenandoah County",-,"201 - Conicville",197,661,24,2,884
"Shenandoah County",-,"202 - Mt Jackson",200,534,11,0,745
"Shenandoah County",-,"302 - Edinburg",203,600,23,2,828
"Shenandoah County",-,"303 - St Luke",187,605,22,0,814
"Shenandoah County",-,"304 - Fort Valley",114,346,11,0,471
"Shenandoah County",-,"401 - Woodstock",589,"1,075",31,3,"1,698"
"Shenandoah County",-,"501 - Cedar Creek",24,43,3,0,70
"Shenandoah County",-,"503 - Toms Brook",329,783,19,0,"1,131"
"Shenandoah County",-,"504 - Lebanon Church",166,503,14,0,683
"Shenandoah County",-,"601 - Strasburg",504,924,29,1,"1,458"
"Shenandoah County",-,"Ab - Central Absentee Precinct",193,269,6,0,468
"Shenandoah County",-,Provisional,3,5,0,0,8
"Smyth County",-,"101 - Saltville",276,480,10,1,767
"Smyth County",-,"201 - Seven Mile Ford",174,407,18,0,599
"Smyth County",-,"202 - Rich Valley",103,147,3,0,253
"Smyth County",-,"301 - Chilhowie",259,585,14,0,858
"Smyth County",-,"302 - St Clair",73,154,6,1,234
"Smyth County",-,"401 - East Park",234,351,11,0,596
"Smyth County",-,"402 - West Park",119,152,3,0,274
"Smyth County",-,"501 - Atkins",176,384,27,0,587
"Smyth County",-,"502 - Wassona",260,245,8,2,515
"Smyth County",-,"601 - Royal Oak East",205,340,15,2,562
"Smyth County",-,"602 - Royal Oak West",106,207,4,0,317
"Smyth County",-,"701 - Adwolfe",138,446,11,0,595
"Smyth County",-,"702 - Sugar Grove",133,226,8,0,367
"Smyth County",-,"703 - Konnarock",17,38,2,0,57
"Smyth County",-,"Ab - Central Absentee Precinct",130,132,8,0,270
"Smyth County",-,Provisional,2,2,0,0,4
"Southampton County",-,"101 - Berlin",82,251,12,0,345
"Southampton County",-,"102 - Ivor",239,279,7,0,525
"Southampton County",-,"201 - Boykins",356,173,4,1,534
"Southampton County",-,"202 - Branchville",71,83,3,0,157
"Southampton County",-,"301 - Capron",227,181,11,0,419
"Southampton County",-,"302 - Sebrell",178,202,5,0,385
"Southampton County",-,"401 - Drewryville",164,107,5,0,276
"Southampton County",-,"501 - Hunterdale",234,378,14,0,626
"Southampton County",-,"502 - Forks-of-the-river",123,137,5,0,265
"Southampton County",-,"601 - Courtland",276,291,5,1,573
"Southampton County",-,"602 - Sedley",48,177,4,0,229
"Southampton County",-,"701 - Blackwater River",184,79,5,0,268
"Southampton County",-,"702 - Newsoms",159,211,5,1,376
"Southampton County",-,"Ab - Central Absentee Precinct",36,45,3,0,84
"Southampton County",-,Provisional,0,0,0,0,0
"Spotsylvania County",-,"101 - Partlow (CD 7)",248,583,25,0,856
"Spotsylvania County",-,"102 - Blaydes Corner (CD 7)",265,572,19,1,857
"Spotsylvania County",-,"103 - Travelers Rest (CD 7)",503,726,36,2,"1,267"
"Spotsylvania County",-,"104 - Massaponax (CD 1)",0,1,0,0,1
"Spotsylvania County",-,"104 - Massaponax (CD 7)",426,699,24,3,"1,152"
"Spotsylvania County",-,"201 - Wilderness School (CD 7)",367,687,20,2,"1,076"
"Spotsylvania County",-,"202 - Wilderness Fire (CD 7)",331,654,37,1,"1,023"
"Spotsylvania County",-,"203 - Ni River / Elys Ford (CD 7)",277,716,25,1,"1,019"
"Spotsylvania County",-,"204 - Chancellor (CD 7)",542,715,35,1,"1,293"
"Spotsylvania County",-,"301 - Plank Road (CD 1)",490,791,20,1,"1,302"
"Spotsylvania County",-,"302 - Hazel Run (CD 1)",596,829,36,2,"1,463"
"Spotsylvania County",-,"303 - Riverbend (CD 1)",592,"1,092",26,1,"1,711"
"Spotsylvania County",-,"303 - Riverbend (CD 7)",2,8,0,0,10
"Spotsylvania County",-,"401 - Summit (CD 1)",538,695,41,0,"1,274"
"Spotsylvania County",-,"401 - Summit (CD 7)",2,10,0,0,12
"Spotsylvania County",-,"402 - Parkside (CD 1)",269,391,7,0,667
"Spotsylvania County",-,"402 - Parkside (CD 7)",278,240,11,0,529
"Spotsylvania County",-,"403 - Lee Hill (CD 1)",115,130,4,0,249
"Spotsylvania County",-,"403 - Lee Hill (CD 7)",595,836,37,1,"1,469"
"Spotsylvania County",-,"501 - Belmont (CD 7)",232,542,25,0,799
"Spotsylvania County",-,"502 - Brokenburg (CD 7)",197,480,22,0,699
"Spotsylvania County",-,"503 - Post Oak (CD 7)",221,570,16,0,807
"Spotsylvania County",-,"504 - Courthouse (CD 7)",473,710,23,1,"1,207"
"Spotsylvania County",-,"505 - Brock (CD 7)",423,893,19,0,"1,335"
"Spotsylvania County",-,"601 - Salem (CD 7)",559,753,39,2,"1,353"
"Spotsylvania County",-,"602 - Smith Station (CD 7)",750,951,41,1,"1,743"
"Spotsylvania County",-,"603 - Piedmont (CD 7)",330,492,22,3,847
"Spotsylvania County",-,"701 - Battlefield (CD 1)",458,606,19,0,"1,083"
"Spotsylvania County",-,"702 - Brents Mill (CD 1)",255,378,14,0,647
"Spotsylvania County",-,"702 - Brents Mill (CD 7)",282,320,23,1,626
"Spotsylvania County",-,"703 - Fairview (CD 7)",298,297,17,2,614
"Spotsylvania County",-,"704 - Gayle (CD 7)",751,980,20,0,"1,751"
"Spotsylvania County",-,"Ab - Central Absentee Precinct (CD 1)",209,301,11,0,521
"Spotsylvania County",-,"Ab - Central Absentee Precinct (CD 7)",506,797,18,0,"1,321"
"Spotsylvania County",-,"Provisional (CD 7)",1,0,0,0,1
"Stafford County",-,"101 - Hartwood",534,"1,359",51,0,"1,944"
"Stafford County",-,"102 - Rocky Run",429,519,15,1,964
"Stafford County",-,"103 - Simpson",357,680,21,1,"1,059"
"Stafford County",-,"104 - College",520,888,30,2,"1,440"
"Stafford County",-,"201 - Rock Hill",413,683,21,1,"1,118"
"Stafford County",-,"202 - Roseville",566,862,39,0,"1,467"
"Stafford County",-,"203 - Ruby",248,712,23,3,986
"Stafford County",-,"204 - Stefaniga",561,"1,020",19,3,"1,603"
"Stafford County",-,"301 - Griffis",408,313,20,2,743
"Stafford County",-,"302 - Widewater",600,566,31,0,"1,197"
"Stafford County",-,"303 - Harbour",319,591,25,1,936
"Stafford County",-,"304 - Barrett",265,259,13,0,537
"Stafford County",-,"401 - Aquia",199,136,7,0,342
"Stafford County",-,"402 - Courthouse",786,646,34,1,"1,467"
"Stafford County",-,"403 - Brooke",548,983,31,0,"1,562"
"Stafford County",-,"404 - Government Island",427,748,24,0,"1,199"
"Stafford County",-,"501 - Grafton",572,"1,048",40,1,"1,661"
"Stafford County",-,"502 - Falmouth",515,711,24,2,"1,252"
"Stafford County",-,"503 - Drew",380,576,25,2,983
"Stafford County",-,"504 - Gayle",582,546,9,0,"1,137"
"Stafford County",-,"601 - Ferry Farm",429,785,34,3,"1,251"
"Stafford County",-,"602 - Chatham",563,796,33,0,"1,392"
"Stafford County",-,"603 - White Oak",424,900,48,2,"1,374"
"Stafford County",-,"604 - England Run",248,171,10,3,432
"Stafford County",-,"701 - Woodlands",683,893,20,0,"1,596"
"Stafford County",-,"702 - Whitson",522,544,27,1,"1,094"
"Stafford County",-,"703 - Hampton",684,997,26,4,"1,711"
"Stafford County",-,"Ab - Central Absentee Precinct",645,850,28,1,"1,524"
"Stafford County",-,Provisional,9,8,1,0,18
"Staunton City",-,"101 - Ward No 1",464,510,36,2,"1,012"
"Staunton City",-,"201 - Ward Two",534,728,31,2,"1,295"
"Staunton City",-,"301 - Ward No 3",536,590,51,1,"1,178"
"Staunton City",-,"401 - Ward No 4",545,588,22,0,"1,155"
"Staunton City",-,"501 - Ward No 5",775,474,33,2,"1,284"
"Staunton City",-,"Ab - Central Absentee Precinct",156,155,2,0,313
"Suffolk City",-,"101 - Belleharbour",445,154,12,0,611
"Suffolk City",-,"102 - Driver",755,"1,118",47,3,"1,923"
"Suffolk City",-,"104 - Bennetts Creek",501,511,20,0,"1,032"
"Suffolk City",-,"201 - Ebenezer",350,668,18,0,"1,036"
"Suffolk City",-,"202 - Chuckatuck",420,515,12,0,947
"Suffolk City",-,"203 - Kings Fork",689,376,13,2,"1,080"
"Suffolk City",-,"204 - Hillpoint",518,314,11,0,843
"Suffolk City",-,"301 - White Marsh",240,110,5,0,355
"Suffolk City",-,"302 - John F Kennedy",933,113,15,0,"1,061"
"Suffolk City",-,"304 - Nansemond River",724,362,26,0,"1,112"
"Suffolk City",-,"305 - Shoulders Hill",267,165,7,0,439
"Suffolk City",-,"401 - Airport",325,316,15,0,656
"Suffolk City",-,"402 - Whaleyville",194,477,14,0,685
"Suffolk City",-,"403 - Southside",353,27,5,0,385
"Suffolk City",-,"404 - Booker T Washington",597,37,5,1,640
"Suffolk City",-,"405 - Pittmantown",142,132,5,1,280
"Suffolk City",-,"501 - Kilbys Mill",572,792,33,3,"1,400"
"Suffolk City",-,"502 - Holland",581,670,22,2,"1,275"
"Suffolk City",-,"504 - Lake Cohoon",493,815,23,0,"1,331"
"Suffolk City",-,"601 - Lakeside",609,465,27,1,"1,102"
"Suffolk City",-,"602 - Olde Towne",173,108,7,1,289
"Suffolk City",-,"603 - Elephants Fork/westhaven",158,172,8,0,338
"Suffolk City",-,"604 - Wilroy",337,366,17,0,720
"Suffolk City",-,"605 - Hollywood",375,13,6,0,394
"Suffolk City",-,"702 - Harbourview",571,571,20,1,"1,163"
"Suffolk City",-,"704 - Burbage Grant",739,337,26,0,"1,102"
"Suffolk City",-,"706 - Huntersville",700,102,2,0,804
"Suffolk City",-,"Ab - Central Absentee Precinct",764,395,14,2,"1,175"
"Suffolk City",-,Provisional,8,1,0,0,9
"Surry County",-,"101 - Surry",251,297,19,0,567
"Surry County",-,"201 - Bacons Castle",336,146,6,0,488
"Surry County",-,"301 - Dendron",154,115,9,0,278
"Surry County",-,"302 - Walls Bridge",163,81,4,0,248
"Surry County",-,"401 - Carsley",321,159,11,0,491
"Surry County",-,"501 - Claremont",180,139,8,0,327
"Surry County",-,"502 - Spring Grove",140,25,4,0,169
"Surry County",-,Provisional,0,1,0,0,1
"Sussex County",-,"101 - Waverly",337,113,3,0,453
"Sussex County",-,"201 - Stony Creek",297,122,5,0,424
"Sussex County",-,"202 - Little Mill",56,33,2,0,91
"Sussex County",-,"301 - Courthouse",143,246,3,0,392
"Sussex County",-,"302 - Wakefield",19,96,2,0,117
"Sussex County",-,"401 - Mars Hill",256,162,6,0,424
"Sussex County",-,"402 - West Wakefield",49,10,0,0,59
"Sussex County",-,"501 - Henry",228,133,4,0,365
"Sussex County",-,"502 - Yale",117,39,3,0,159
"Sussex County",-,"601 - Blackwater",132,198,4,0,334
"Sussex County",-,"602 - Newville",76,89,4,0,169
"Sussex County",-,Provisional,0,0,0,0,0
"Tazewell County",-,"101 - Abbs Valley",66,77,2,0,145
"Tazewell County",-,"102 - Tip Top",58,146,9,0,213
"Tazewell County",-,"103 - Boissevain",56,42,1,0,99
"Tazewell County",-,"104 - Falls Mills",46,154,1,0,201
"Tazewell County",-,"106 - Pocahontas",51,63,3,0,117
"Tazewell County",-,"107 - Amonate",13,35,1,0,49
"Tazewell County",-,"109 - Bishop",29,62,2,0,93
"Tazewell County",-,"110 - Adria",61,175,0,0,236
"Tazewell County",-,"111 - Gap Store",72,139,5,1,217
"Tazewell County",-,"112 - Bandy",31,62,1,0,94
"Tazewell County",-,"203 - Burkes Garden",34,53,1,0,88
"Tazewell County",-,"204 - Clear Fork",54,219,7,0,280
"Tazewell County",-,"207 - Freestone",31,76,1,1,109
"Tazewell County",-,"209 - Jeffersonville",419,889,19,1,"1,328"
"Tazewell County",-,"214 - Thompson Valley",71,226,4,0,301
"Tazewell County",-,"301 - Cedar Bluff",240,842,9,0,"1,091"
"Tazewell County",-,"302 - Baptist Valley",62,137,1,0,200
"Tazewell County",-,"303 - Wardell",90,331,3,1,425
"Tazewell County",-,"305 - Pounding Mill",64,274,4,0,342
"Tazewell County",-,"401 - Richlands",303,872,13,1,"1,189"
"Tazewell County",-,"402 - Jewell Ridge",43,75,2,0,120
"Tazewell County",-,"404 - Raven",80,244,3,0,327
"Tazewell County",-,"501 - Springville",127,509,11,0,647
"Tazewell County",-,"502 - Graham",336,"1,037",13,2,"1,388"
"Tazewell County",-,"Ab - Central Absentee Precinct",136,231,3,4,374
