County/City,Ward,Pct,"Mark Robert Warner","Edward Walter Gillespie","Robert Christopher Sarvis","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Norfolk City",-,"Provisional (CD 2)",5,3,1,0,9
"Norfolk City",-,"Provisional (CD 3)",8,0,0,0,8
"Northampton County",-,"101 - Precinct 1-1",389,385,14,0,788
"Northampton County",-,"201 - Precinct 2-1",375,158,24,1,558
"Northampton County",-,"301 - Precinct 3-1",380,199,18,0,597
"Northampton County",-,"401 - Precinct 4-1",344,322,33,0,699
"Northampton County",-,"501 - Precinct 5-1",286,375,32,0,693
"Northampton County",-,"Ab - Central Absentee Precinct",114,112,6,0,232
"Northampton County",-,Provisional,2,2,0,0,4
"Northumberland County",-,"101 - 1a",309,414,25,0,748
"Northumberland County",-,"201 - 2a",320,552,23,0,895
"Northumberland County",-,"301 - 3a",311,158,13,0,482
"Northumberland County",-,"302 - 3b",186,54,1,0,241
"Northumberland County",-,"401 - 4a",433,784,21,0,"1,238"
"Northumberland County",-,"501 - 5a",384,748,11,0,"1,143"
"Northumberland County",-,"Ab - Central Absentee Precinct",142,227,5,1,375
"Northumberland County",-,Provisional,4,2,0,0,6
"Norton City",-,"1 - East Ward",293,462,26,0,781
"Norton City",-,Provisional,1,0,0,0,1
"Nottoway County",-,"101 - Precinct 1-1",179,244,12,0,435
"Nottoway County",-,"102 - Precinct 1-2",119,170,12,0,301
"Nottoway County",-,"201 - Precinct 2-1",216,283,11,2,512
"Nottoway County",-,"202 - Precinct 2-2",69,190,3,0,262
"Nottoway County",-,"301 - Precinct 3-1",278,118,4,0,400
"Nottoway County",-,"302 - Precinct 3-2",126,158,4,1,289
"Nottoway County",-,"401 - Precinct 4-1",256,64,5,0,325
"Nottoway County",-,"402 - Precinct 4-2",133,213,8,0,354
"Nottoway County",-,"501 - Precinct 5-1",358,418,16,0,792
"Nottoway County",-,"Ab - Central Absentee Precinct",61,84,4,0,149
"Nottoway County",-,Provisional,1,0,0,0,1
"Orange County",-,"101 - One West",386,605,39,0,"1,030"
"Orange County",-,"102 - One East",403,464,31,0,898
"Orange County",-,"201 - Two West",313,540,17,0,870
"Orange County",-,"202 - Two East",228,490,22,1,741
"Orange County",-,"301 - Three West",476,561,31,2,"1,070"
"Orange County",-,"302 - Three East",140,225,13,1,379
"Orange County",-,"401 - Four West",244,645,24,0,913
"Orange County",-,"402 - Four East",281,478,15,1,775
"Orange County",-,"501 - Five South",477,677,18,0,"1,172"
"Orange County",-,"502 - Five North",476,828,25,2,"1,331"
"Orange County",-,"Ab - Central Absentee Precinct",202,296,12,2,512
"Orange County",-,Provisional,3,5,0,0,8
"Page County",-,"101 - West Luray",380,747,23,0,"1,150"
"Page County",-,"201 - East Luray",368,814,18,1,"1,201"
"Page County",-,"301 - Marksville",336,773,23,0,"1,132"
"Page County",-,"401 - Newport",208,637,17,0,862
"Page County",-,"501 - Shenandoah",242,738,20,1,"1,001"
"Page County",-,"Ab - Central Absentee Precinct",119,172,0,0,291
"Page County",-,Provisional,1,2,0,0,3
"Patrick County",-,"101 - Ararat",92,164,6,0,262
"Patrick County",-,"102 - Claudville",72,197,5,0,274
"Patrick County",-,"103 - Willis Gap",84,181,3,0,268
"Patrick County",-,"201 - Dry Pond",45,117,5,0,167
"Patrick County",-,"202 - Patrick Springs",155,372,10,0,537
"Patrick County",-,"203 - Russell Creek",133,242,7,0,382
"Patrick County",-,"301 - Critz/stella",170,335,15,0,520
"Patrick County",-,"302 - Liberty",68,267,2,0,337
"Patrick County",-,"401 - Meadows Of Dan",156,240,11,1,408
"Patrick County",-,"402 - Stuart Administration",174,323,17,1,515
"Patrick County",-,"501 - Stuart Community",72,140,5,0,217
"Patrick County",-,"502 - Elamsville",104,223,10,0,337
"Patrick County",-,"503 - Woolwine",132,269,20,0,421
"Patrick County",-,"Ab - Central Absentee Precinct",81,158,1,0,240
"Petersburg City",-,"101 - First Ward First Precinct",590,72,11,0,673
"Petersburg City",-,"201 - Second Ward First Precinct","1,085",109,14,0,"1,208"
"Petersburg City",-,"301 - Third Ward First Precinct","1,101",282,24,1,"1,408"
"Petersburg City",-,"401 - Fourth Ward First Precinct",748,108,13,0,869
"Petersburg City",-,"501 - Fifth Ward First Precinct",680,40,13,3,736
"Petersburg City",-,"601 - Sixth Ward First Precinct",763,13,4,2,782
"Petersburg City",-,"701 - Seventh Ward First Precinct","1,008",95,6,1,"1,110"
"Petersburg City",-,"Ab - Central Absentee Precinct",818,124,12,1,955
"Petersburg City",-,Provisional,7,0,0,0,7
"Pittsylvania County",-,"103 - Twin Springs",283,"1,162",17,1,"1,463"
"Pittsylvania County",-,"105 - Chatham",184,383,14,1,582
"Pittsylvania County",-,"106 - Tunstall",180,394,7,0,581
"Pittsylvania County",-,"108 - West Blairs",133,238,7,0,378
"Pittsylvania County",-,"201 - Callands",156,354,6,0,516
"Pittsylvania County",-,"202- Bearskin",67,92,1,1,161
"Pittsylvania County",-,"204 - Sandy Level",115,209,4,1,329
"Pittsylvania County",-,"206 - Climax",86,297,8,0,391
"Pittsylvania County",-,"207 - Gretna",319,621,23,0,963
"Pittsylvania County",-,"301 - Central",335,169,4,0,508
"Pittsylvania County",-,"305 - Riceville",253,166,0,2,421
"Pittsylvania County",-,"307 - East Blairs",465,118,4,0,587
"Pittsylvania County",-,"308 - Mt Airy",162,94,2,0,258
"Pittsylvania County",-,"309 - East Gretna",158,146,4,0,308
"Pittsylvania County",-,"402 - Keeling",118,404,5,0,527
"Pittsylvania County",-,"404 - Kentuck",289,714,12,2,"1,017"
"Pittsylvania County",-,"405 - Ringgold",382,657,9,0,"1,048"
"Pittsylvania County",-,"501 - Hurt",302,479,20,0,801
"Pittsylvania County",-,"502 - Motley Sycamore",321,525,17,0,863
"Pittsylvania County",-,"503 - Renan",179,262,5,0,446
"Pittsylvania County",-,"603 - Stony Mill",199,418,7,1,625
"Pittsylvania County",-,"604 - Swansonville",235,294,4,0,533
"Pittsylvania County",-,"605 - Whitmell",180,310,10,0,500
"Pittsylvania County",-,"606 - Brosville",290,242,6,0,538
"Pittsylvania County",-,"607 - Dry Fork",79,208,0,0,287
"Pittsylvania County",-,"702 - Bachelors Hall",165,626,17,1,809
"Pittsylvania County",-,"703 - Ferry Road",63,106,4,0,173
"Pittsylvania County",-,"704 - Mt Hermon",372,800,15,4,"1,191"
"Pittsylvania County",-,"705 - Mt Cross",129,392,5,1,527
"Pittsylvania County",-,"Ab - Central Absentee Precinct",356,397,13,1,767
"Pittsylvania County",-,Provisional,3,1,0,0,4
"Poquoson City",-,"1 - Central",305,884,28,0,"1,217"
"Poquoson City",-,"2 - Eastern",324,989,31,0,"1,344"
"Poquoson City",-,"3 - Western",385,"1,071",38,1,"1,495"
"Poquoson City",-,"Ab - Central Absentee Precinct",63,183,2,0,248
"Poquoson City",-,Provisional,0,1,0,0,1
"Portsmouth City",-,"1 - One",513,225,26,0,764
"Portsmouth City",-,"5 - Five",522,8,3,0,533
"Portsmouth City",-,"7- Seven",418,97,20,0,535
"Portsmouth City",-,"9 - Nine",613,109,18,0,740
"Portsmouth City",-,"10 - Ten",286,142,18,1,447
"Portsmouth City",-,"11 - Eleven",550,11,4,0,565
"Portsmouth City",-,"13 - Thirteen",344,3,6,0,353
"Portsmouth City",-,"14 - Fourteen",655,12,5,0,672
"Portsmouth City",-,"16 - Sixteen",334,165,32,2,533
"Portsmouth City",-,"17 - Seventeen",437,190,18,3,648
"Portsmouth City",-,"19 - Nineteen",207,133,12,0,352
"Portsmouth City",-,"20 - Twenty",405,121,9,0,535
"Portsmouth City",-,"21 - Twenty-one",437,8,2,0,447
"Portsmouth City",-,"22 - Twenty-two",312,215,25,0,552
"Portsmouth City",-,"23 - Twenty-three",260,342,27,1,630
"Portsmouth City",-,"24 - Twenty-four",369,184,18,0,571
"Portsmouth City",-,"25 - Twenty-five",459,312,24,1,796
"Portsmouth City",-,"26 - Twenty-six",856,10,4,0,870
"Portsmouth City",-,"27 - Twenty-seven",821,17,5,0,843
"Portsmouth City",-,"28 - Twenty Eight","1,283",24,4,1,"1,312"
"Portsmouth City",-,"29 - Twenty- Nine",195,330,23,0,548
"Portsmouth City",-,"30 - Thirty",173,338,23,0,534
"Portsmouth City",-,"31 - Thirty-one",555,333,22,0,910
"Portsmouth City",-,"32 - Thirty-two",326,390,16,2,734
"Portsmouth City",-,"33- Thirty-three",211,359,25,0,595
"Portsmouth City",-,"34- Thirty-four",395,443,28,0,866
"Portsmouth City",-,"35 - Thirty-five",456,490,31,1,978
"Portsmouth City",-,"36 - Thirty-six",960,734,34,3,"1,731"
"Portsmouth City",-,"37 - Thirty-seven",856,385,33,0,"1,274"
"Portsmouth City",-,"38 - Thirty-eight",985,117,17,1,"1,120"
"Portsmouth City",-,"39 - Thirty-nine","1,144",347,32,1,"1,524"
"Portsmouth City",-,"Ab - Central Absentee Precinct",758,162,10,0,930
"Portsmouth City",-,Provisional,6,4,0,0,10
"Powhatan County",-,"101 - Subletts",280,833,52,0,"1,165"
"Powhatan County",-,"102 - Manakin",224,581,28,0,833
"Powhatan County",-,"103 - Flat Rock",134,432,34,0,600
"Powhatan County",-,"201 - Powhatan Station",156,622,29,0,807
"Powhatan County",-,"202 - Graceland",243,759,37,0,"1,039"
"Powhatan County",-,"301 - Bethesda",211,596,43,1,851
"Powhatan County",-,"302 - Lee's Landing",183,479,24,0,686
"Powhatan County",-,"401 - Powhatan Courthouse",271,990,65,0,"1,326"
"Powhatan County",-,"402 - Mt Zion",121,337,11,0,469
"Powhatan County",-,"501 - Smith Cross Roads",339,380,18,0,737
"Powhatan County",-,"502 - Pineville",170,238,17,0,425
"Powhatan County",-,"503 - Tobaccoville",71,252,10,0,333
"Powhatan County",-,"Ab - Central Absentee Precinct",121,285,7,0,413
"Powhatan County",-,Provisional,1,1,0,0,2
"Prince Edward County",-,"101 - Farmville",297,274,10,0,581
"Prince Edward County",-,"201 - Lockett",358,383,20,0,761
"Prince Edward County",-,"301 - Leigh",235,167,8,0,410
"Prince Edward County",-,"302 - Mt Pleasant",144,89,3,0,236
"Prince Edward County",-,"401 - Hampden",283,215,17,0,515
"Prince Edward County",-,"501 - Darlington Hts",120,214,4,0,338
"Prince Edward County",-,"502 - Buffalo Hts",86,134,5,1,226
"Prince Edward County",-,"601 - Prospect",442,298,24,0,764
"Prince Edward County",-,"701 - West End",305,278,18,0,601
"Prince Edward County",-,"801 - Center",188,53,9,0,250
"Prince Edward County",-,"Ab - Central Absentee Precinct",91,87,4,0,182
"Prince Edward County",-,Provisional,1,2,0,0,3
"Prince George County",-,"101 - Richard Bland (CD 4)",227,398,17,0,642
"Prince George County",-,"102 - Templeton (CD 4)",459,"1,048",39,1,"1,547"
"Prince George County",-,"103 - Union Branch (CD 4)",470,476,32,0,978
"Prince George County",-,"104 - Rives (CD 3)",331,231,17,1,580
"Prince George County",-,"104 - Rives (CD 4)",17,4,2,0,23
"Prince George County",-,"105 - Harrison (CD 3)",92,246,1,1,340
"Prince George County",-,"201 - Bland (CD 3)",463,894,43,1,"1,401"
"Prince George County",-,"202 - Black Water (CD 3)",313,587,34,0,934
"Prince George County",-,"203 - Brandon (CD 3)",128,267,10,1,406
"Prince George County",-,"204 - Courts Bldg (CD 4)",592,563,25,0,"1,180"
"Prince George County",-,"205 - Jefferson Park (CD 4)",431,198,12,1,642
"Prince George County",-,"Ab - Central Absentee Precinct (CD 3)",84,108,7,0,199
"Prince George County",-,"Ab - Central Absentee Precinct (CD 4)",93,112,3,0,208
"Prince George County",-,"Provisional (CD 3)",0,0,1,0,1
"Prince William County",-,"101 - Brentsville (CD 1)",259,771,22,1,"1,053"
"Prince William County",-,"102 - Cedar Point (CD 1)",628,892,50,3,"1,573"
"Prince William County",-,"103 - Glenkirk (CD 1)",444,665,14,0,"1,123"
"Prince William County",-,"104 - Nokesville (CD 1)",317,723,28,0,"1,068"
"Prince William County",-,"105 - Limestone (CD 1)",579,761,29,0,"1,369"
"Prince William County",-,"106 - Westgate (CD 1)",331,191,28,0,550
"Prince William County",-,"107 - Marsteller (CD 1)",765,875,30,1,"1,671"
"Prince William County",-,"108 - Victory (CD 1)",654,765,37,2,"1,458"
"Prince William County",-,"109 - Piney Branch (CD 1)",465,453,35,1,954
"Prince William County",-,"110 - Buckland Mills (CD 1)",117,196,6,1,320
"Prince William County",-,"110 - Buckland Mills (CD 10)",262,278,16,1,557
"Prince William County",-,"111 - Bristow Run (CD 1)",682,912,36,1,"1,631"
"Prince William County",-,"112 - Burke-nickens (CD 1)",20,28,1,0,49
"Prince William County",-,"112 - Burke-nickens (CD 10)",458,538,28,0,"1,024"
"Prince William County",-,"201 - Saunders (CD 11)",532,287,16,0,835
"Prince William County",-,"202 - Marshall (CD 1)",519,881,53,3,"1,456"
"Prince William County",-,"203 - Bennett (CD 1)",537,778,30,1,"1,346"
"Prince William County",-,"204 - Ellis (CD 1)",412,474,22,0,908
"Prince William County",-,"205 - Buckhall (CD 10)",490,691,28,0,"1,209"
"Prince William County",-,"206 - Coles (CD 1)",400,629,29,0,"1,058"
"Prince William County",-,"207 - Spriggs (CD 1)",670,559,19,0,"1,248"
"Prince William County",-,"208 - Hylton (CD 1)",305,612,16,0,933
"Prince William County",-,"209 - Independent Hill (CD 1)",284,619,19,1,923
"Prince William County",-,"210 - Penn (CD 1)",457,694,24,1,"1,176"
"Prince William County",-,"210 - Penn (CD 11)",31,36,0,0,67
"Prince William County",-,"211 - Signal Hill (CD 10)",330,476,19,1,826
"Prince William County",-,"212 - Yorkshire (CD 10)",516,523,38,1,"1,078"
"Prince William County",-,"213 - Saratoga (CD 1)",338,207,16,0,561
"Prince William County",-,"214 - Lucasville (CD 1)",253,503,18,2,776
"Prince William County",-,"215 - Rosa Parks (CD 11)",545,342,17,0,904
"Prince William County",-,"301 - Dumfries (CD 11)",459,218,11,1,689
"Prince William County",-,"302 - Potomac (CD 11)",840,217,12,1,"1,070"
"Prince William County",-,"303 - Graham Park (CD 11)",288,136,12,1,437
"Prince William County",-,"304 - Quantico (CD 1)",54,66,4,0,124
"Prince William County",-,"305 - Pattie (CD 1)",539,597,19,2,"1,157"
"Prince William County",-,"306 - Washington-reid (CD 1)",683,679,21,1,"1,384"
"Prince William County",-,"307 - Henderson (CD 1)",518,617,22,4,"1,161"
"Prince William County",-,"308 - Montclair (CD 1)",334,421,10,0,765
"Prince William County",-,"309 - Ashland (CD 1)",426,445,20,1,892
"Prince William County",-,"310 - Forest Park (CD 1)",554,334,9,0,897
"Prince William County",-,"311 - Swans Creek (CD 11)",872,384,15,1,"1,272"
"Prince William County",-,"312 - Triangle (CD 1)",120,78,5,1,204
"Prince William County",-,"312 - Triangle (CD 11)",476,352,10,1,839
"Prince William County",-,"313 - Cardinal (CD 1)",382,288,14,0,684
"Prince William County",-,"314 - Cabin Branch (CD 1)",423,384,13,1,821
"Prince William County",-,"401 - Evergreen (CD 10)",442,863,45,2,"1,352"
"Prince William County",-,"402 - Battlefield (CD 10)",431,871,26,2,"1,330"
"Prince William County",-,"403 - Bull Run (CD 10)",382,482,15,0,879
"Prince William County",-,"404 - Ashton (CD 1)",459,319,29,0,807
"Prince William County",-,"405 - Stonewall (CD 1)",594,433,25,0,"1,052"
"Prince William County",-,"406 - Alvey (CD 10)",392,480,3,0,875
"Prince William County",-,"407 - Heritage Hunt (CD 10)",876,"1,184",16,0,"2,076"
"Prince William County",-,"408 - Sudley (CD 1)",315,386,24,1,726
"Prince William County",-,"409 - Haymarket (CD 10)",444,550,23,0,"1,017"
"Prince William County",-,"410 - Mountain View (CD 10)",514,875,39,1,"1,429"
"Prince William County",-,"411 - Mullen (CD 1)",474,222,15,1,712
"Prince William County",-,"412 - Catharpin (CD 10)",262,585,21,0,868
