block_geoid20,total_population_2020,voting_age_population_2020
510010902011000,10,10
510010902011001,0,0
510010902011002,0,0
510010902011003,0,0
510010902011004,0,0
510010902011005,10,8
510010902011006,11,10
510010902011007,15,9
510010902011008,12,8
510010902011009,7,7
510010902011010,16,8
510010902011011,12,5
510010902011012,0,0
510010902011013,0,0
510010902011014,13,8
510010902011015,13,13
510010902011016,29,24
510010902011017,27,17
510010902011018,0,0
510010902011019,0,0
510010902011020,45,33
510010902011021,0,0
510010902011022,2,1
510010902011023,0,0
510010902011024,0,0
510010902011025,143,115
510010902011026,0,0
510010902011027,45,45
510010902011028,22,9
510010902011029,46,27
510010902011030,0,0
510010902011031,6,1
510010902011032,52,43
510010902011033,71,57
510010902011034,98,81
510010902011035,4,2
510010902011036,4,4
510010902011037,0,0
510010902011038,38,36
510010902011039,221,169
510010902011040,19,16
510010902011041,27,22
510010902011042,68,53
510010902011043,34,28
510010902011044,14,10
510010902011045,0,0
510010902011046,21,19
510010902011047,22,10
510010902011048,6,6
510010902011049,0,0
510010902011050,0,0
510010902011051,12,12
510010902011052,0,0
510010902011053,65,54
510010902011054,3,3
510010902011055,30,25
510010902011056,71,58
510010902011057,1,0
510010902011058,97,71
510010902011059,6,4
510010902011060,23,22
510010902011061,25,12
510010902011062,14,10
510010902011063,9,9
510010902012000,0,0
510010902012001,103,89
510010902012002,39,30
510010902012003,13,5
510010902012004,164,159
510010902012005,0,0
510010902012006,0,0
510010902012007,0,0
510010902012008,23,19
510010902012009,6,5
510010902012010,45,39
510010902012011,18,18
510010902012012,17,12
510010902012013,158,140
510010902012014,14,14
510010902012015,30,29
510010902012016,25,23
510010902012017,40,35
510010902012018,11,4
510010902012019,13,13
510010902012020,32,29
510010902012021,1,1
510010902012022,9,7
510010902012023,13,10
510010902012024,5,5
510010902012025,18,17
510010902012026,0,0
510010902012027,16,15
510010902012028,21,20
510010902012029,10,9
510010902012030,6,5
510010902012031,1,0
510010902012032,33,33
510010902012033,41,38
510010902012034,22,22
510010902012035,28,28
510010902012036,19,18
510010902012037,0,0
510010902012038,0,0
510010902012039,4,2
510010902012040,0,0
510010902012041,0,0
510010902012042,0,0
510010902012043,66,59
510010902012044,0,0
510010902012045,0,0
510010902012046,0,0
510010902012047,46,37
510010902012048,22,17
510010902012049,0,0
510010902012050,0,0
510010902012051,34,29
510010902012052,19,15
510010902012053,49,41
510010902012054,49,48
510010902012055,52,48
510010902012056,38,36
510010902012057,16,10
510010902012058,0,0
510010902012059,0,0
510010902012060,152,127
510010902012061,154,125
510010902012062,74,59
510010902012063,92,76
510010902012064,35,26
510010902012065,38,34
510010902012066,12,10
510010902012067,21,18
510010902012068,26,15
510010902012069,22,21
510010902012070,25,16
510010902012071,6,3
510010902012072,28,22
510010902012073,6,0
510010902012074,123,111
510010902012075,18,16
510010902012076,0,0
510010902012077,22,20
510010902012078,4,4
510010902012079,0,0
510010902012080,0,0
510010902012081,0,0
510010902012082,3,3
510010902012083,0,0
510010902012084,29,18
510010902012085,12,10
510010902012086,0,0
510010902012087,28,23
510010902012088,6,4
510010902012089,5,4
510010902012090,6,5
510010902012091,42,42
510010902012092,35,31
510010902012093,9,9
510010902012094,10,10
510010902012095,9,9
510010902012096,6,6
510010902012097,4,1
510010902021000,7,3
510010902021001,4,4
510010902021002,0,0
510010902021003,4,0
510010902021004,0,0
510010902021005,0,0
510010902021006,0,0
510010902021007,6,2
510010902021008,0,0
510010902021009,0,0
510010902021010,27,25
510010902021011,0,0
510010902021012,0,0
510010902021013,2,2
510010902021014,0,0
510010902021015,0,0
510010902021016,44,35
510010902021017,0,0
510010902021018,10,10
510010902021019,16,13
510010902021020,52,42
510010902021021,0,0
510010902021022,10,7
510010902021023,0,0
510010902021024,0,0
510010902021025,0,0
510010902021026,4,3
510010902021027,0,0
510010902021028,0,0
510010902021029,0,0
510010902021030,0,0
510010902021031,0,0
510010902021032,5,5
510010902021033,0,0
510010902021034,0,0
510010902021035,14,14
510010902021036,0,0
510010902021037,0,0
510010902021038,0,0
510010902021039,10,7
510010902021040,17,14
510010902021041,6,5
510010902021042,0,0
510010902021043,0,0
510010902021044,6,3
510010902021045,16,10
510010902021046,5,4
510010902021047,6,4
510010902021048,5,5
510010902021049,128,104
510010902021050,5,3
510010902021051,0,0
510010902021052,4,2
510010902021053,6,4
510010902021054,8,7
510010902021055,22,19
510010902021056,58,39
510010902021057,10,8
510010902021058,71,61
510010902021059,5,4
510010902021060,7,0
510010902021061,126,80
510010902021062,40,24
510010902021063,44,36
510010902021064,12,9
510010902021065,18,14
510010902021066,78,65
510010902021067,5,4
510010902021068,0,0
510010902022000,49,33
510010902022001,12,9
510010902022002,7,4
510010902022003,6,5
510010902022004,14,14
510010902022005,26,19
510010902022006,42,37
510010902022007,0,0
510010902022008,4,3
510010902022009,9,7
510010902022010,0,0
510010902022011,0,0
510010902022012,0,0
510010902022013,0,0
510010902022014,0,0
510010902022015,39,25
510010902022016,0,0
510010902022017,18,12
510010902022018,144,118
510010902022019,0,0
510010902022020,102,93
510010902022021,76,65
510010902022022,81,56
510010902022023,11,9
510010902022024,50,45
510010902022025,0,0
510010902022026,1,1
510010902022027,26,21
510010902022028,19,14
510010902022029,6,4
510010902022030,18,5
510010902022031,0,0
510010902022032,0,0
510010902022033,15,9
510010902022034,8,8
510010902022035,31,26
510010902022036,20,17
510010902022037,60,46
510010902022038,0,0
510010902022039,29,22
510010902022040,10,10
510010902022041,0,0
510010902022042,30,27
510010902022043,11,8
510010902022044,40,37
510010902022045,31,26
510010902022046,15,14
510010902022047,23,12
510010902022048,31,20
510010902022049,0,0
510010902022050,0,0
510010902022051,0,0
510010902022052,0,0
510010902022053,9,8
510010902023000,79,66
510010902023001,0,0
510010902023002,48,37
510010902023003,21,18
510010902023004,24,12
510010902023005,29,26
510010902023006,18,15
510010902023007,38,26
510010902023008,0,0
510010902023009,0,0
510010902023010,15,15
510010902023011,42,40
510010902023012,23,14
510010902023013,29,25
510010902023014,0,0
510010902023015,0,0
510010902023016,36,30
510010902023017,17,17
510010902023018,12,11
510010902023019,96,88
510010902023020,11,8
510010902023021,20,10
510010902023022,0,0
510010902023023,135,110
510010902023024,10,7
510010902023025,10,10
510010902023026,26,22
510010902023027,86,70
510010902023028,22,19
510010902023029,0,0
510010902023030,0,0
510010902023031,0,0
510010902023032,0,0
510010902023033,34,31
510010902023034,34,25
510010902023035,5,2
510010902023036,67,51
510010902023037,13,5
510010902023038,0,0
510010903001000,0,0
510010903001001,28,24
510010903001002,0,0
510010903001003,0,0
510010903001004,0,0
510010903001005,11,10
510010903001006,145,131
510010903001007,0,0
510010903001008,0,0
510010903001009,0,0
510010903001010,0,0
510010903001011,0,0
510010903001012,0,0
510010903001013,25,17
510010903001014,65,53
510010903001015,0,0
510010903001016,0,0
510010903001017,0,0
510010903001018,0,0
510010903001019,0,0
510010903001020,1,1
510010903001021,0,0
510010903001022,0,0
510010903001023,8,8
510010903001024,1,1
510010903001025,18,18
510010903001026,20,17
510010903001027,19,16
510010903001028,4,4
510010903001029,0,0
510010903001030,0,0
510010903001031,0,0
510010903001032,0,0
510010903001033,0,0
510010903001034,11,9
510010903001035,30,20
510010903001036,14,13
510010903001037,7,6
510010903001038,24,23
510010903001039,43,38
510010903001040,32,31
510010903001041,3,0
510010903001042,0,0
510010903001043,11,11
510010903001044,7,2
510010903001045,9,8
510010903002000,18,9
510010903002001,7,7
510010903002002,32,30
510010903002003,3,3
510010903002004,0,0
510010903002005,0,0
510010903002006,5,4
510010903002007,2,2
510010903002008,11,7
510010903002009,75,62
510010903002010,4,4
510010903002011,3,2
510010903002012,0,0
510010903002013,5,3
510010903002014,25,24
510010903002015,28,25
510010903002016,2,0
510010903002017,17,14
510010903002018,7,7
510010903002019,28,17
510010903002020,14,12
510010903002021,35,25
510010903002022,7,4
510010903002023,6,5
510010903002024,39,29
510010903002025,12,12
510010903002026,0,0
510010903002027,4,2
510010903002028,0,0
510010903002029,13,7
510010903002030,0,0
510010903002031,0,0
510010903002032,12,9
510010903002033,7,4
510010903002034,0,0
510010903002035,16,15
510010903002036,0,0
510010903002037,0,0
510010903002038,19,7
510010903002039,0,0
510010903002040,0,0
510010903002041,20,16
510010903002042,0,0
510010903002043,0,0
510010903002044,0,0
510010903002045,6,4
510010903002046,0,0
510010903002047,10,9
510010903002048,10,9
510010903002049,5,5
510010903002050,0,0
510010903002051,0,0
510010903002052,0,0
510010903002053,63,55
510010903002054,18,14
510010903002055,20,12
510010903002056,45,41
510010903002057,9,8
510010903002058,0,0
510010903002059,0,0
510010903002060,8,7
510010903003000,0,0
510010903003001,5,5
510010903003002,0,0
510010903003003,0,0
510010903003004,0,0
510010903003005,0,0
510010903003006,2,1
510010903003007,1,0
510010903003008,0,0
510010903003009,0,0
510010903003010,0,0
510010903003011,0,0
510010903003012,7,7
510010903003013,0,0
510010903003014,0,0
510010903003015,0,0
510010903003016,0,0
510010903003017,0,0
510010903003018,14,9
510010903003019,4,1
510010903003020,0,0
510010903003021,0,0
510010903003022,13,12
510010903003023,26,26
510010903003024,17,11
510010903003025,10,8
510010903003026,14,14
510010903003027,9,6
510010903003028,10,9
510010903003029,0,0
510010903003030,11,11
510010903003031,28,28
510010903003032,0,0
510010903003033,0,0
510010903003034,0,0
510010903003035,0,0
510010903003036,0,0
