block_geoid20,total_population_2020,voting_age_population_2020
510670207022049,15,11
510670208011000,0,0
510670208011001,77,63
510670208011002,0,0
510670208011003,20,12
510670208011004,0,0
510670208011005,21,20
510670208011006,10,8
510670208011007,36,32
510670208011008,24,8
510670208011009,97,86
510670208011010,37,31
510670208011011,15,14
510670208011012,112,99
510670208011013,0,0
510670208011014,0,0
510670208011015,93,69
510670208011016,23,23
510670208011017,85,78
510670208011018,0,0
510670208011019,21,14
510670208011020,36,25
510670208011021,52,43
510670208011022,9,5
510670208011023,38,32
510670208011024,13,9
510670208012000,98,68
510670208012001,32,23
510670208012002,14,7
510670208012003,54,44
510670208012004,51,37
510670208012005,81,67
510670208012006,54,43
510670208012007,11,2
510670208012008,0,0
510670208012009,9,5
510670208012010,27,25
510670208012011,17,10
510670208012012,13,4
510670208012013,32,27
510670208012014,0,0
510670208012015,44,36
510670208012016,86,73
510670208012017,9,7
510670208012018,5,2
510670208012019,195,157
510670208012020,9,6
510670208012021,199,183
510670208012022,0,0
510670208012023,31,30
510670208012024,101,83
510670208012025,43,29
510670208012026,21,21
510670208012027,20,17
510670208012028,0,0
510670208013000,430,323
510670208013001,0,0
510670208013002,16,11
510670208013003,116,104
510670208013004,21,15
510670208013005,10,9
510670208013006,42,35
510670208013007,143,98
510670208013008,140,136
510670208013009,0,0
510670208013010,0,0
510670208013011,0,0
510670208013012,46,38
510670208013013,0,0
510670208013014,0,0
510670208013015,0,0
510670208013016,65,48
510670208013017,21,21
510670208013018,12,6
510670208013019,31,20
510670208013020,0,0
510670208021000,23,20
510670208021001,203,175
510670208021002,40,32
510670208021003,80,68
510670208021004,0,0
510670208021005,53,52
510670208021006,11,3
510670208021007,309,253
510670208021008,25,18
510670208021009,41,28
510670208021010,0,0
510670208021011,9,6
510670208021012,185,126
510670208021013,0,0
510670208021014,0,0
510670208021015,20,16
510670208021016,386,262
510670208021017,3,1
510670208021018,23,22
510670208022000,67,49
510670208022001,163,143
510670208022002,12,8
510670208022003,16,12
510670208022004,0,0
510670208022005,95,87
510670208022006,25,24
510670208022007,16,16
510670208022008,125,88
510670208022009,64,45
510670208022010,76,61
510670208022011,12,9
510670208022012,18,9
510670208022013,47,38
510670208022014,284,234
510670208022015,32,28
510670208022016,0,0
510670208022017,0,0
510670208022018,0,0
510670208022019,0,0
510670208022020,45,43
510670208022021,24,16
510670208022022,29,24
510670208022023,106,68
510670208022024,0,0
510670208022025,0,0
510670208022026,20,15
510670208022027,57,42
510670208022028,0,0
510670208022029,0,0
510670208022030,16,9
510670208022031,0,0
510670208022032,0,0
510670208022033,358,272
510670208022034,4,4
510670208022035,278,220
510670208022036,0,0
510670208022037,0,0
510670208022038,0,0
510670209011000,71,56
510670209011001,37,32
510670209011002,8,8
510670209011003,87,66
510670209011004,6,6
510670209011005,2,2
510670209011006,16,10
510670209011007,23,20
510670209011008,178,140
510670209011009,17,14
510670209011010,0,0
510670209011011,0,0
510670209011012,23,20
510670209011013,11,11
510670209011014,0,0
510670209011015,4,3
510670209011016,0,0
510670209011017,10,9
510670209011018,16,8
510670209011019,11,8
510670209011020,0,0
510670209011021,18,18
510670209011022,5,3
510670209011023,10,10
510670209011024,28,20
510670209011025,0,0
510670209011026,0,0
510670209011027,0,0
510670209011028,43,25
510670209011029,0,0
510670209011030,0,0
510670209011031,0,0
510670209011032,93,73
510670209011033,33,26
510670209011034,0,0
510670209011035,10,1
510670209011036,15,11
510670209011037,47,43
510670209011038,66,52
510670209011039,8,7
510670209011040,0,0
510670209011041,0,0
510670209011042,24,18
510670209011043,11,10
510670209011044,45,33
510670209011045,5,5
510670209011046,11,9
510670209011047,8,5
510670209011048,7,7
510670209011049,44,40
510670209011050,26,22
510670209011051,12,10
510670209011052,10,10
510670209011053,11,9
510670209011054,0,0
510670209011055,9,9
510670209011056,24,16
510670209011057,0,0
510670209011058,22,22
510670209011059,9,6
510670209011060,10,8
510670209011061,0,0
510670209011062,6,5
510670209011063,13,5
510670209011064,0,0
510670209011065,58,44
510670209011066,0,0
510670209011067,22,16
510670209012000,106,80
510670209012001,59,48
510670209012002,86,65
510670209012003,135,94
510670209012004,127,91
510670209012005,30,23
510670209012006,20,10
510670209012007,34,28
510670209012008,10,8
510670209012009,354,263
510670209012010,0,0
510670209012011,54,45
510670209012012,12,8
510670209012013,56,51
510670209012014,0,0
510670209012015,97,76
510670209012016,15,14
510670209012017,13,9
510670209012018,46,41
510670209012019,0,0
510670209012020,57,51
510670209012021,63,53
510670209012022,92,73
510670209012023,0,0
510670209012024,25,22
510670209012025,79,66
510670209012026,8,4
510670209012027,36,33
510670209012028,0,0
510670209012029,13,10
510670209012030,0,0
510670209012031,31,23
510670209012032,48,42
510670209012033,0,0
510670209012034,0,0
510670209012035,70,57
510670209012036,27,18
510670209012037,31,22
510670209012038,109,89
510670209021000,10,10
510670209021001,117,89
510670209021002,8,8
510670209021003,37,33
510670209021004,11,11
510670209021005,25,20
510670209021006,17,15
510670209021007,9,9
510670209021008,15,11
510670209021009,108,88
510670209021010,12,10
510670209021011,0,0
510670209021012,174,139
510670209021013,18,13
510670209021014,6,6
510670209021015,0,0
510670209021016,28,22
510670209021017,17,14
510670209021018,8,6
510670209021019,19,18
510670209021020,65,53
510670209021021,15,10
510670209021022,0,0
510670209021023,6,6
510670209022000,0,0
510670209022001,67,53
510670209022002,9,8
510670209022003,8,8
510670209022004,12,9
510670209022005,18,15
510670209022006,0,0
510670209022007,26,19
510670209022008,45,32
510670209022009,0,0
510670209022010,86,67
510670209022011,17,10
510670209022012,23,16
510670209022013,18,15
510670209022014,23,23
510670209022015,26,23
510670209022016,13,11
510670209022017,9,9
510670209022018,0,0
510670209022019,19,11
510670209022020,1,0
510670209022021,14,14
510670209022022,25,18
510670209022023,15,15
510670209022024,18,14
510670209022025,83,78
510670209022026,153,125
510670209022027,51,39
510670209022028,43,36
510670209022029,95,80
510670209022030,5,3
510670209022031,0,0
510670209022032,41,32
510670209022033,24,24
510670209022034,7,3
510670209022035,15,15
510670209022036,40,35
510670209022037,5,3
510670209022038,27,17
510670209022039,0,0
510670209022040,40,35
510670209022041,18,12
510670209022042,0,0
510670209022043,21,15
510670209023000,23,12
510670209023001,0,0
510670209023002,11,10
510670209023003,11,7
510670209023004,0,0
510670209023005,33,29
510670209023006,21,21
510670209023007,8,4
510670209023008,23,22
510670209023009,115,92
510670209023010,0,0
510670209023011,8,4
510670209023012,20,13
510670209023013,22,19
510670209023014,4,2
510670209023015,20,17
510670209023016,0,0
510670209023017,30,20
510670209023018,42,37
510670209023019,0,0
510670209023020,60,48
510670209023021,0,0
510670209023022,9,8
510670209023023,7,7
510670209023024,25,22
510670209023025,24,17
510670209023026,6,6
510670209023027,2,0
510670209023028,6,0
510670209023029,38,32
510670209023030,60,42
510670209023031,16,10
510670209023032,0,0
510670209023033,15,11
510670209023034,16,10
510670209023035,50,46
510670209023036,11,6
510670209023037,46,42
510670209023038,7,7
510670209023039,0,0
510670209023040,6,5
510670209023041,21,21
510670209023042,7,5
510670209023043,9,8
510670209023044,11,9
510670209023045,0,0
510670209023046,10,9
510670209023047,11,8
510670209023048,9,9
510670209023049,1,1
510670209023050,5,4
510670209023051,12,10
510670209023052,11,9
510670209023053,10,10
510670209023054,8,3
510670209023055,3,3
510670209023056,18,17
510670209023057,7,6
510670209023058,8,6
510670209023059,23,22
510670209023060,1,1
510670209023061,8,8
510670209023062,34,29
510670209023063,3,3
510670209023064,11,4
510670209023065,20,19
510670209023066,15,11
510670209023067,0,0
510670209023068,0,0
510670209023069,0,0
510670209023070,0,0
510670209023071,0,0
510670209023072,0,0
510670209023073,15,10
510690501001000,72,63
510690501001001,158,130
510690501001002,55,43
510690501001003,143,121
510690501001004,0,0
510690501001005,0,0
510690501001006,31,25
510690501001007,163,129
510690501001008,73,63
510690501001009,0,0
510690501001010,0,0
510690501001011,0,0
510690501001012,0,0
510690501001013,16,15
510690501001014,12,6
510690501001015,0,0
510690501001016,0,0
510690501001017,75,53
510690501001018,81,64
510690501001019,67,58
510690501001020,69,57
510690501001021,115,107
510690501001022,0,0
510690501001023,21,14
510690501001024,8,4
510690501001025,0,0
510690501002000,40,29
510690501002001,3,2
510690501002002,12,9
510690501002003,70,50
510690501002004,1,1
510690501002005,16,12
510690501002006,15,11
510690501002007,52,37
510690501002008,33,19
510690501002009,4,1
510690501002010,4,2
510690501002011,0,0
510690501002012,0,0
510690501002013,0,0
510690501002014,76,67
510690501002015,27,26
510690501002016,1,0
510690501002017,0,0
510690501002018,3,3
510690501002019,5,1
510690501002020,27,27
510690501002021,0,0
510690501002022,0,0
510690501002023,126,111
510690501002024,3,0
510690501002025,0,0
510690501002026,0,0
510690501002027,0,0
510690501002028,120,95
510690501002029,28,20
510690501002030,43,26
510690501002031,15,15
510690501002032,76,65
510690501002033,91,83
510690501002034,35,33
510690501002035,35,30
510690501002036,12,7
510690501002037,0,0
510690501002038,0,0
510690501002039,7,7
510690501002040,12,12
510690501002041,0,0
510690501002042,0,0
510690501002043,0,0
510690501002044,0,0
510690501002045,19,16
510690501002046,3,2
510690501002047,43,29
510690501002048,0,0
510690501002049,0,0
510690501002050,0,0
510690501002051,0,0
510690501002052,101,78
510690501002053,0,0
510690501002054,0,0
510690501002055,0,0
510690501002056,8,6
510690501002057,21,12
510690501002058,8,8
510690501002059,25,21
510690501002060,31,25
510690501002061,12,8
510690501002062,38,34
510690501002063,0,0
510690501002064,5,3
510690501003000,181,155
510690501003001,46,42
510690501003002,44,38
510690501003003,14,7
510690501003004,139,116
510690501003005,0,0
510690501003006,21,19
510690501003007,69,50
510690501003008,92,77
510690501003009,19,18
510690501003010,0,0
510690501003011,138,122
510690501003012,83,73
510690501003013,33,26
510690501003014,0,0
510690501004000,5,1
510690501004001,90,73
510690501004002,13,5
510690501004003,0,0
510690501004004,194,170
510690501004005,32,11
510690501004006,59,37
510690501004007,0,0
510690501004008,0,0
510690501004009,0,0
510690501004010,0,0
510690501004011,9,1
510690501004012,13,11
510690501004013,74,63
510690501004014,25,12
510690501004015,56,37
510690501004016,154,145
510690501004017,0,0
510690501004018,0,0
510690501004019,1845,1302
510690501004020,91,54
510690501004021,48,38
510690501004022,53,33
510690501004023,42,35
510690501004024,71,29
510690501004025,56,45
510690501004026,21,17
510690501004027,49,30
510690501004028,63,37
510690501004029,81,57
510690501004030,87,56
510690501004031,46,36
510690501004032,28,25
510690501004033,0,0
510690501004034,7,7
510690501004035,33,26
510690501004036,44,42
510690501004037,25,24
510690501004038,0,0
510690502001000,71,52
510690502001001,332,230
510690502001002,54,44
510690502001003,141,108
510690502001004,13,9
510690502001005,241,205
510690502001006,3,1
510690502001007,103,89
510690502001008,29,22
510690502001009,27,20
510690502001010,44,43
510690502001011,67,55
510690502001012,25,21
510690502001013,92,81
510690502001014,27,22
510690502001015,113,79
510690502001016,24,18
510690502001017,27,24
510690502001018,72,54
510690502001019,27,24
510690502001020,82,76
510690502001021,0,0
510690502001022,24,14
510690502001023,0,0
510690502001024,0,0
510690502002000,15,12
510690502002001,25,19
510690502002002,37,29
510690502002003,57,48
510690502002004,21,12
510690502002005,11,11
510690502002006,0,0
510690502002007,171,140
510690502002008,32,28
510690502002009,11,10
510690502002010,14,12
510690502002011,12,10
510690502002012,84,62
510690502002013,137,115
510690502002014,0,0
510690502002015,17,14
510690502002016,12,10
510690502002017,124,107
510690502002018,0,0
510690502002019,17,9
510690502003000,8,4
510690502003001,79,65
510690502003002,13,13
510690502003003,68,52
510690502003004,26,23
510690502003005,79,62
510690502003006,24,19
510690502003007,94,73
510690502003008,14,13
510690502003009,175,155
510690502003010,62,47
510690502003011,184,155
510690502003012,122,101
510690502003013,12,12
510690502003014,60,47
510690502003015,0,0
510690502003016,118,92
510690502003017,4,2
510690502003018,59,56
510690502003019,80,60
510690502003020,263,215
510690502003021,0,0
510690502003022,0,0
510690502003023,24,23
510690502003024,41,36
510690502003025,0,0
510690502003026,0,0
510690502003027,0,0
510690502003028,0,0
510690503001000,0,0
510690503001001,99,86
510690503001002,114,94
510690503001003,6,3
510690503001004,8,8
510690503001005,0,0
510690503001006,0,0
510690503001007,0,0
510690503001008,57,49
510690503001009,12,11
510690503001010,120,95
510690503001011,15,12
510690503001012,0,0
510690503001013,64,58
510690503001014,18,17
510690503001015,30,22
510690503001016,29,23
510690503001017,10,6
510690503001018,5,4
510690503001019,54,43
510690503001020,0,0
510690503001021,14,13
510690503001022,0,0
510690503001023,0,0
510690503001024,32,28
510690503001025,16,13
510690503001026,0,0
510690503001027,94,78
510690503001028,6,5
510690503001029,6,3
510690503001030,20,18
510690503001031,65,54
510690503001032,20,11
510690503001033,37,32
510690503001034,0,0
510690503001035,0,0
510690503001036,13,9
510690503001037,23,19
510690503001038,9,7
510690503001039,32,24
510690503001040,112,89
510690503001041,49,40
510690503001042,24,19
510690503001043,0,0
510690503001044,0,0
510690503001045,43,38
510690503001046,8,4
510690503001047,0,0
510690503001048,65,56
510690503001049,0,0
510690503001050,127,115
510690503001051,24,15
510690503001052,17,16
510690503001053,48,36
510690503001054,5,4
510690503001055,11,8
510690503001056,22,10
510690503001057,44,39
510690503001058,19,18
510690503001059,0,0
510690503001060,43,36
510690503001061,9,9
510690503001062,36,33
510690503001063,9,1
510690503001064,63,51
510690503001065,66,56
510690503001066,8,6
510690503001067,23,20
510690503001068,0,0
510690503001069,23,23
510690503001070,24,16
510690503001071,14,12
510690503001072,0,0
510690503002000,83,68
510690503002001,0,0
510690503002002,93,53
510690503002003,16,15
510690503002004,0,0
510690503002005,79,69
510690503002006,5,0
510690503002007,0,0
510690503002008,96,85
510690503002009,0,0
510690503002010,0,0
510690503002011,0,0
510690503002012,2,0
510690503002013,12,12
510690503002014,27,22
510690503002015,26,23
510690503002016,27,22
510690503002017,128,105
510690503002018,0,0
510690503002019,45,36
510690503002020,74,65
510690503002021,22,13
510690503002022,79,63
510690503002023,0,0
510690503002024,115,92
510690503002025,20,15
510690503002026,0,0
510690503002027,4,0
510690503002028,21,18
510690503002029,52,40
510690503002030,7,1
510690503002031,0,0
510690503002032,0,0
510690503002033,11,5
510690503002034,29,29
510690503002035,4,4
510690503002036,81,72
510690503002037,13,10
510690503002038,0,0
510690503002039,0,0
510690503002040,0,0
510690503002041,0,0
510690503002042,6,5
510690503003000,0,0
510690503003001,88,70
510690503003002,0,0
510690503003003,5,1
510690503003004,0,0
510690503003005,0,0
510690503003006,0,0
510690503003007,94,67
510690503003008,0,0
510690503003009,7,6
510690503003010,0,0
510690503003011,0,0
510690503003012,11,8
510690503003013,0,0
510690503003014,33,28
510690503003015,0,0
510690503003016,0,0
510690503003017,0,0
510690503003018,0,0
510690503003019,20,17
510690503003020,0,0
510690503003021,17,17
510690503003022,6,6
510690503003023,21,18
510690503003024,61,46
510690503003025,30,24
510690503003026,6,4
510690503003027,0,0
510690503003028,0,0
510690503003029,7,1
510690503003030,0,0
510690503003031,0,0
510690503003032,0,0
510690503003033,0,0
510690503003034,0,0
510690503003035,15,15
510690503003036,4,4
510690503003037,19,16
510690503003038,0,0
510690503003039,6,5
510690503003040,20,12
510690503003041,146,123
510690503003042,32,26
510690503003043,52,46
510690503003044,32,32
510690503003045,95,72
510690503003046,67,54
510690503003047,17,12
510690503003048,13,8
510690503003049,48,37
510690503003050,0,0
510690503003051,0,0
510690503003052,0,0
510690503003053,23,16
510690503004000,37,33
510690503004001,107,89
510690503004002,92,78
510690503004003,0,0
510690503004004,78,61
510690503004005,48,31
510690503004006,248,189
510690503004007,243,199
510690503004008,36,32
510690503004009,35,24
510690503004010,32,27
510690503004011,270,204
510690503004012,236,208
510690503004013,22,13
510690503004014,63,50
510690503004015,0,0
510690503004016,226,173
510690503004017,0,0
510690503004018,16,13
510690503004019,60,41
510690503004020,0,0
510690503004021,22,21
510690503004022,13,12
510690503004023,0,0
510690503004024,29,21
510690503004025,35,29
510690503004026,43,33
510690503004027,38,27
510690503004028,0,0
510690503004029,0,0
510690503004030,49,35
510690503004031,36,27
510690503004032,0,0
510690503004033,37,30
510690503004034,0,0
510690503004035,0,0
510690503004036,44,28
510690503004037,14,9
510690503004038,0,0
510690504011000,20,8
510690504011001,42,30
510690504011002,21,18
510690504011003,0,0
510690504011004,13,13
510690504011005,14,13
510690504011006,0,0
510690504011007,7,6
510690504011008,32,26
510690504011009,0,0
510690504011010,27,21
510690504011011,8,8
510690504011012,14,7
510690504011013,12,10
510690504011014,22,20
510690504011015,26,21
510690504011016,14,8
510690504011017,24,18
510690504011018,17,14
510690504011019,10,10
510690504011020,11,11
510690504011021,1,1
510690504011022,0,0
510690504011023,10,8
510690504011024,57,56
510690504011025,33,21
510690504011026,0,0
510690504011027,5,4
510690504011028,0,0
510690504011029,7,5
510690504011030,0,0
510690504011031,6,1
510690504011032,47,32
510690504011033,46,35
510690504011034,0,0
510690504011035,0,0
510690504011036,12,7
510690504011037,19,19
510690504011038,0,0
510690504011039,0,0
510690504011040,0,0
510690504011041,0,0
510690504011042,0,0
510690504011043,0,0
510690504011044,12,11
510690504011045,13,11
510690504011046,40,31
510690504011047,10,7
510690504011048,4,3
510690504011049,0,0
510690504011050,6,4
510690504011051,0,0
510690504011052,47,39
510690504011053,10,10
510690504011054,0,0
510690504011055,19,16
510690504011056,9,5
510690504011057,0,0
510690504011058,3,2
510690504011059,16,16
510690504011060,0,0
510690504011061,0,0
510690504012000,172,142
510690504012001,54,40
510690504012002,37,29
510690504012003,23,11
510690504012004,12,11
510690504012005,55,44
510690504012006,42,35
510690504012007,64,45
510690504012008,13,10
510690504012009,25,19
510690504012010,21,17
510690504012011,16,7
510690504012012,27,22
510690504012013,149,111
510690504012014,0,0
510690504012015,241,192
510690504012016,5,4
510690504012017,0,0
510690504012018,147,126
510690504012019,1,0
510690504012020,9,5
510690504012021,4,2
510690504012022,16,11
510690504012023,50,43
510690504012024,0,0
510690504012025,0,0
510690504012026,0,0
510690504012027,108,82
510690504012028,12,10
510690504012029,0,0
510690504012030,18,12
510690504012031,23,15
510690504012032,2,2
510690504012033,0,0
510690504012034,0,0
510690504012035,48,37
510690504012036,0,0
510690504012037,36,35
510690504012038,11,11
510690504012039,12,10
510690504012040,112,88
510690504012041,19,17
510690504012042,25,23
510690504012043,31,22
510690504012044,39,25
510690504012045,48,33
510690504012046,37,25
510690504012047,32,25
510690504012048,32,21
510690504012049,10,3
510690504012050,11,11
510690504012051,17,9
510690504012052,17,11
510690504012053,18,16
510690504012054,16,4
510690504012055,26,26
510690504012056,27,18
510690504012057,126,104
510690504012058,16,8
510690504012059,7,7
510690504012060,64,53
510690504012061,22,10
510690504012062,20,18
510690504012063,0,0
510690504013000,11,7
510690504013001,192,134
510690504013002,25,18
510690504013003,16,14
510690504013004,1,1
510690504013005,10,10
510690504013006,28,22
510690504013007,11,9
510690504013008,41,27
510690504013009,23,17
510690504013010,35,17
510690504013011,20,14
510690504013012,19,13
510690504013013,21,15
510690504013014,13,10
510690504013015,8,0
510690504013016,51,43
510690504013017,16,16
510690504013018,16,12
510690504013019,6,4
510690504013020,22,13
510690504013021,7,6
510690504013022,14,14
510690504013023,15,14
510690504013024,11,10
510690504013025,2,0
510690504013026,7,7
510690504013027,15,10
510690504013028,0,0
510690504013029,16,12
510690504013030,6,0
510690504013031,6,5
510690504013032,5,2
510690504013033,11,11
510690504013034,7,7
510690504013035,5,5
510690504013036,2,2
510690504013037,0,0
510690504013038,8,4
510690504013039,3,3
510690504013040,3,2
510690504013041,4,1
510690504013042,16,16
510690504013043,8,8
510690504013044,16,7
510690504013045,6,6
510690504013046,2,1
510690504013047,9,6
510690504013048,51,38
510690504013049,6,6
510690504013050,8,8
510690504013051,4,4
510690504013052,4,3
510690504013053,16,10
510690504013054,7,4
510690504013055,2,2
510690504013056,43,39
510690504013057,12,5
510690504013058,0,0
510690504013059,0,0
510690504013060,0,0
510690504013061,8,8
510690504013062,10,10
510690504013063,7,7
510690504013064,9,6
510690504013065,14,12
510690504013066,11,11
510690504013067,7,3
510690504013068,0,0
510690504013069,15,9
510690504013070,53,41
510690504013071,8,7
510690504013072,29,20
510690504013073,14,11
510690504013074,15,12
510690504013075,4,4
510690504013076,8,5
510690504013077,6,4
510690504013078,5,3
510690504013079,8,8
510690504013080,29,20
510690504013081,17,14
510690504013082,5,5
510690504013083,17,12
510690504013084,0,0
510690504013085,13,9
510690504013086,15,14
510690504013087,10,8
510690504013088,11,3
510690504013089,8,3
510690504013090,32,20
510690504013091,36,24
510690504013092,32,23
510690504013093,53,38
510690504013094,8,8
510690504013095,12,10
510690504013096,11,11
510690504013097,10,5
510690504013098,7,6
510690504021000,18,10
510690504021001,32,23
510690504021002,3,1
510690504021003,0,0
510690504021004,150,109
510690504021005,39,35
510690504021006,82,59
510690504021007,125,103
510690504021008,78,65
510690504021009,19,12
510690504021010,15,14
510690504021011,8,6
510690504021012,19,19
510690504021013,90,83
510690504021014,9,7
510690504021015,39,35
510690504021016,16,13
510690504021017,4,4
510690504021018,54,38
510690504021019,45,33
510690504021020,37,35
510690504021021,57,48
510690504021022,2,2
510690504021023,20,20
510690504021024,112,89
510690504021025,10,9
510690504021026,0,0
510690504021027,8,7
510690504021028,0,0
510690504021029,0,0
510690504021030,10,4
510690504021031,20,17
510690504021032,13,12
510690504021033,0,0
510690504021034,12,6
510690504021035,7,3
510690504021036,0,0
510690504021037,0,0
510690504021038,0,0
510690504021039,14,14
510690504021040,30,29
510690504021041,4,4
510690504021042,21,18
510690504021043,11,6
510690504021044,14,6
510690504021045,20,15
510690504021046,13,12
510690504021047,0,0
510690504021048,0,0
510690504021049,21,20
510690504021050,82,67
510690504021051,14,10
510690504021052,8,8
510690504021053,2,1
510690504021054,13,13
510690504021055,1,1
510690504021056,5,5
510690504021057,0,0
510690504021058,39,29
510690504021059,13,6
510690504021060,0,0
510690504021061,0,0
510690504021062,17,17
510690504021063,14,10
510690504021064,0,0
510690504021065,0,0
510690504021066,0,0
510690504021067,23,22
510690504021068,2,1
510690504021069,11,5
510690504021070,149,125
510690504021071,17,11
510690504021072,35,30
510690504021073,25,21
510690504021074,42,37
510690504021075,8,5
510690504021076,28,26
510690504021077,0,0
510690504021078,4,2
510690504021079,7,2
510690504021080,8,8
510690504021081,0,0
510690504021082,28,24
510690504021083,2,0
510690504021084,1,1
510690504021085,17,14
510690504021086,0,0
510690504021087,0,0
510690504021088,13,13
510690504021089,3,2
510690504021090,6,6
510690504021091,0,0
510690504021092,1,1
510690504021093,11,6
510690504021094,61,51
510690504021095,0,0
510690504021096,8,8
510690504021097,0,0
510690504022000,4,1
510690504022001,12,12
510690504022002,6,2
510690504022003,57,43
510690504022004,1,1
510690504022005,0,0
510690504022006,0,0
510690504022007,0,0
510690504022008,9,9
510690504022009,6,6
510690504022010,228,185
510690504022011,67,62
510690504022012,10,7
510690504022013,11,10
510690504022014,15,12
510690504022015,7,7
510690504022016,10,10
510690504022017,26,9
510690504022018,31,25
510690504022019,254,209
510690504022020,9,9
510690504022021,0,0
510690504022022,0,0
510690504022023,0,0
510690504022024,0,0
510690504022025,32,28
510690504022026,12,6
510690505001000,209,169
510690505001001,227,179
510690505001002,9,6
510690505001003,65,60
510690505001004,29,19
510690505001005,122,109
510690505001006,14,9
510690505001007,0,0
510690505001008,91,76
510690505001009,0,0
510690505001010,46,40
510690505001011,0,0
510690505001012,21,20
510690505001013,23,18
510690505001014,6,3
510690505001015,86,64
510690505001016,36,21
510690505002000,177,157
510690505002001,41,32
510690505002002,0,0
510690505002003,0,0
510690505002004,393,326
510690505002005,5,4
510690505002006,15,14
510690505002007,207,172
510690505002008,18,13
510690505003000,65,61
510690505003001,147,130
510690505003002,25,15
510690505003003,599,569
510690505003004,21,18
510690505003005,0,0
510690505003006,0,0
510690505003007,23,23
510690505003008,31,27
510690505003009,135,87
510690505003010,0,0
510690505003011,33,27
510690505003012,21,14
510690505003013,0,0
510690505003014,0,0
510690505004000,168,140
510690505004001,0,0
510690505004002,0,0
510690505004003,5,3
510690505004004,27,21
510690505004005,85,66
510690505004006,5,4
510690505004007,23,15
510690505004008,13,11
510690505004009,26,25
510690505004010,23,20
510690505004011,22,16
510690505004012,0,0
510690505004013,0,0
510690505004014,0,0
510690505004015,420,341
510690505004016,27,19
510690505004017,13,13
510690505004018,18,10
510690505004019,9,9
510690505004020,90,64
510690505004021,10,7
510690505004022,15,14
510690505004023,7,3
510690505004024,0,0
510690505004025,13,8
510690505004026,0,0
510690505004027,0,0
510690505004028,0,0
510690505004029,27,21
510690505004030,67,66
510690505005000,8,7
510690505005001,0,0
510690505005002,50,41
510690505005003,15,13
510690505005004,4,4
510690505005005,22,12
510690505005006,510,413
510690505005007,19,14
510690505005008,139,110
510690505005009,185,156
510690505005010,30,29
510690505005011,15,12
510690505005012,91,84
510690505005013,27,15
510690505005014,91,83
510690505005015,22,19
510690505005016,20,18
510690505005017,16,11
510690505005018,0,0
510690505005019,11,11
510690506001000,764,617
510690506001001,27,24
510690506001002,0,0
510690506001003,50,41
510690506001004,92,72
510690506001005,32,28
510690506001006,17,11
510690506001007,23,17
510690506001008,203,153
510690506001009,47,38
510690506001010,69,57
510690506001011,33,26
510690506001012,100,85
510690506001013,35,29
510690506001014,1,1
510690506001015,28,22
510690506001016,35,25
510690506001017,34,20
510690506001018,16,13
510690506001019,11,4
510690506001020,7,6
510690506002000,0,0
510690506002001,71,58
510690506002002,49,42
510690506002003,9,1
510690506002004,53,47
510690506002005,8,6
510690506002006,32,22
510690506002007,100,69
510690506002008,21,9
510690506002009,11,8
510690506002010,15,11
510690506002011,0,0
510690506002012,17,15
510690506002013,16,13
510690506002014,14,8
510690506002015,6,6
510690506002016,23,15
510690506002017,3,2
510690506002018,63,54
510690506002019,0,0
510690506002020,24,23
510690506002021,33,19
510690506002022,134,97
510690506002023,16,8
510690506002024,133,107
510690506002025,38,32
510690506002026,5,4
510690506002027,35,35
510690506002028,4,4
510690506002029,20,20
510690506002030,0,0
510690506002031,7,7
510690506002032,0,0
510690506002033,186,142
510690506002034,23,11
510690506002035,120,88
510690506002036,18,16
510690506002037,32,29
510690506002038,18,17
510690506002039,0,0
510690506002040,18,16
510690506002041,88,60
510690506002042,16,10
510690506002043,28,23
510690506002044,0,0
510690506002045,0,0
510690506002046,1,1
510690506002047,1,0
510690506002048,5,4
510690506002049,7,7
510690506002050,1,1
510690506002051,29,29
510690506002052,0,0
510690506002053,3,0
510690506002054,28,28
510690506002055,1,0
510690506002056,5,5
510690506002057,12,12
510690506002058,17,16
510690506002059,8,6
510690506002060,0,0
510690506002061,6,3
510690506003000,13,12
510690506003001,0,0
510690506003002,5,3
510690506003003,620,435
510690506003004,13,12
510690506003005,63,39
510690506003006,25,19
510690506003007,13,13
510690506003008,247,188
510690506003009,20,17
510690506003010,24,21
510690506003011,0,0
510690506003012,31,25
510690506003013,25,24
510690506003014,32,21
510690506003015,60,49
510690506003016,25,25
510690506003017,66,51
510690506003018,18,13
510690506003019,4,1
510690506003020,0,0
510690506003021,16,15
510690506003022,44,32
510690506003023,15,12
510690506003024,16,16
510690506003025,29,23
510690506003026,20,17
510690506003027,0,0
510690507001000,65,57
510690507001001,189,139
510690507001002,52,34
510690507001003,26,20
510690507001004,0,0
510690507001005,0,0
510690507001006,55,44
510690507001007,0,0
510690507001008,24,16
510690507001009,9,8
510690507001010,0,0
510690507001011,17,17
510690507001012,8,8
510690507001013,0,0
510690507001014,17,12
510690507001015,13,12
510690507001016,9,9
510690507001017,55,45
510690507001018,20,20
510690507001019,42,34
510690507001020,312,239
510690507001021,27,19
510690507001022,18,9
510690507001023,8,5
510690507001024,34,24
510690507001025,19,10
510690507001026,17,9
510690507001027,24,23
510690507001028,19,16
510690507001029,20,15
510690507001030,86,71
510690507001031,0,0
510690507001032,8,4
