county_name,county_norm,estimate_base_2020_04_01,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Virginia,VIRGINIA,8631419,8637303,8660007,8681038,8732034,8819642,8880107,242804,2.811,60465,0.686
Accomack County,ACCOMACK COUNTY,33423,33400,33435,33221,33510,33747,33859,459,1.374,112,0.332
Albemarle County,ALBEMARLE COUNTY,112435,112578,113988,114871,115664,117312,118356,5778,5.132,1044,0.89
Alleghany County,ALLEGHANY COUNTY,15216,15187,15003,14757,14733,14674,14546,-641,-4.221,-128,-0.872
Amelia County,AMELIA COUNTY,13262,13268,13313,13418,13583,13707,13632,364,2.743,-75,-0.547
Amherst County,AMHERST COUNTY,31313,31312,31403,31525,31557,31653,31962,650,2.076,309,0.976
Appomattox County,APPOMATTOX COUNTY,16116,16155,16406,16695,16846,17003,17172,1017,6.295,169,0.994
Arlington County,ARLINGTON COUNTY,238647,238825,233485,233476,234369,239687,243931,5106,2.138,4244,1.771
Augusta County,AUGUSTA COUNTY,77490,77586,77804,77931,78325,78764,78940,1354,1.745,176,0.223
Bath County,BATH COUNTY,4205,4185,4093,4074,4062,4058,4076,-109,-2.605,18,0.444
Bedford County,BEDFORD COUNTY,79496,79590,80311,80832,81765,82467,83059,3469,4.359,592,0.718
Bland County,BLAND COUNTY,6272,6255,6180,6151,6228,6186,6151,-104,-1.663,-35,-0.566
Botetourt County,BOTETOURT COUNTY,33588,33636,34003,34088,34138,34057,34144,508,1.51,87,0.255
Brunswick County,BRUNSWICK COUNTY,15849,15824,15965,15846,15786,15763,15727,-97,-0.613,-36,-0.228
Buchanan County,BUCHANAN COUNTY,20343,20247,19883,19318,18981,18723,18492,-1755,-8.668,-231,-1.234
Buckingham County,BUCKINGHAM COUNTY,16828,16826,16953,16979,16985,17111,17137,311,1.848,26,0.152
Campbell County,CAMPBELL COUNTY,55654,55598,55326,55034,55308,55563,55629,31,0.056,66,0.119
Caroline County,CAROLINE COUNTY,30880,30922,31412,31973,32745,33586,34413,3491,11.29,827,2.462
Carroll County,CARROLL COUNTY,29154,29146,29105,29097,29197,29211,29299,153,0.525,88,0.301
Charles City County,CHARLES CITY COUNTY,6772,6747,6614,6582,6652,6582,6623,-124,-1.838,41,0.623
Charlotte County,CHARLOTTE COUNTY,11530,11538,11499,11422,11408,11323,11401,-137,-1.187,78,0.689
Chesterfield County,CHESTERFIELD COUNTY,364084,365330,371042,378739,385138,391243,397148,31818,8.709,5905,1.509
Clarke County,CLARKE COUNTY,14789,14817,14947,15311,15399,15631,15609,792,5.345,-22,-0.141
Craig County,CRAIG COUNTY,4893,4876,4890,4855,4822,4822,4800,-76,-1.559,-22,-0.456
Culpeper County,CULPEPER COUNTY,52548,52764,53778,54315,55263,56756,57666,4902,9.29,910,1.603
Cumberland County,CUMBERLAND COUNTY,9690,9680,9721,9758,9914,10203,10352,672,6.942,149,1.46
Dickenson County,DICKENSON COUNTY,14128,14075,13865,13711,13576,13388,13236,-839,-5.961,-152,-1.135
Dinwiddie County,DINWIDDIE COUNTY,27934,27886,27999,28137,28476,28787,28896,1010,3.622,109,0.379
Essex County,ESSEX COUNTY,10600,10597,10570,10635,10590,10677,10654,57,0.538,-23,-0.215
Fairfax County,FAIRFAX COUNTY,1150294,1148598,1142546,1138853,1143456,1159806,1167873,19275,1.678,8067,0.696
Fauquier County,FAUQUIER COUNTY,72971,73012,74079,74689,75256,75865,76503,3491,4.781,638,0.841
Floyd County,FLOYD COUNTY,15473,15469,15513,15616,15713,15713,15789,320,2.069,76,0.484
Fluvanna County,FLUVANNA COUNTY,27248,27289,27803,28126,28493,28789,28975,1686,6.178,186,0.646
Franklin County,FRANKLIN COUNTY,54457,54478,55037,55054,55475,55612,55526,1048,1.924,-86,-0.155
Frederick County,FREDERICK COUNTY,91445,91891,94000,94855,96248,98180,99955,8064,8.776,1775,1.808
Giles County,GILES COUNTY,16792,16786,16578,16434,16523,16636,16564,-222,-1.323,-72,-0.433
Gloucester County,GLOUCESTER COUNTY,38714,38723,39191,39554,40016,40067,40097,1374,3.548,30,0.075
Goochland County,GOOCHLAND COUNTY,24744,24866,25551,26212,27272,28263,29187,4321,17.377,924,3.269
Grayson County,GRAYSON COUNTY,15336,15282,15349,15320,15259,15333,15230,-52,-0.34,-103,-0.672
Greene County,GREENE COUNTY,20548,20601,20998,21021,21355,21702,21958,1357,6.587,256,1.18
Greensville County,GREENSVILLE COUNTY,11394,11387,11423,11217,11175,11175,11181,-206,-1.809,6,0.054
Halifax County,HALIFAX COUNTY,34035,33939,33798,33612,33470,33554,33447,-492,-1.45,-107,-0.319
Hanover County,HANOVER COUNTY,109982,110211,111827,112955,114263,115553,116423,6212,5.636,870,0.753
Henrico County,HENRICO COUNTY,334961,334929,334546,335033,336037,340024,342775,7846,2.343,2751,0.809
Henry County,HENRY COUNTY,50939,50845,50275,49772,49709,49523,49242,-1603,-3.153,-281,-0.567
Highland County,HIGHLAND COUNTY,2234,2242,2242,2306,2344,2336,2318,76,3.39,-18,-0.771
Isle of Wight County,ISLE OF WIGHT COUNTY,38612,38711,39405,40133,40627,40890,41321,2610,6.742,431,1.054
James City County,JAMES CITY COUNTY,78253,78486,80028,81458,82369,82896,83326,4840,6.167,430,0.519
