normalized_name,name,locality_type,countyfp,geoid,estimate_base_2020,estimate_2020,estimate_2021,estimate_2022,estimate_2023,estimate_2024,estimate_2025,change_base_to_2025,pct_change_base_to_2025,change_2020_to_2025,pct_change_2020_to_2025
ACCOMACK COUNTY,Accomack County,county,001,51001,33423,33400,33435,33221,33510,33747,33859,436,1.3,459,1.37
ALBEMARLE COUNTY,Albemarle County,county,003,51003,112435,112578,113988,114871,115664,117312,118356,5921,5.27,5778,5.13
ALEXANDRIA CITY,Alexandria city,city,510,51510,159470,159147,155116,154880,155798,159367,160662,1192,0.75,1515,0.95
ALLEGHANY COUNTY,Alleghany County,county,005,51005,15216,15187,15003,14757,14733,14674,14546,-670,-4.4,-641,-4.22
AMELIA COUNTY,Amelia County,county,007,51007,13262,13268,13313,13418,13583,13707,13632,370,2.79,364,2.74
AMHERST COUNTY,Amherst County,county,009,51009,31313,31312,31403,31525,31557,31653,31962,649,2.07,650,2.08
APPOMATTOX COUNTY,Appomattox County,county,011,51011,16116,16155,16406,16695,16846,17003,17172,1056,6.55,1017,6.3
ARLINGTON COUNTY,Arlington County,county,013,51013,238647,238825,233485,233476,234369,239687,243931,5284,2.21,5106,2.14
AUGUSTA COUNTY,Augusta County,county,015,51015,77490,77586,77804,77931,78325,78764,78940,1450,1.87,1354,1.75
BATH COUNTY,Bath County,county,017,51017,4205,4185,4093,4074,4062,4058,4076,-129,-3.07,-109,-2.6
BEDFORD COUNTY,Bedford County,county,019,51019,79496,79590,80311,80832,81765,82467,83059,3563,4.48,3469,4.36
BLAND COUNTY,Bland County,county,021,51021,6272,6255,6180,6151,6228,6186,6151,-121,-1.93,-104,-1.66
BOTETOURT COUNTY,Botetourt County,county,023,51023,33588,33636,34003,34088,34138,34057,34144,556,1.66,508,1.51
BRISTOL CITY,Bristol city,city,520,51520,17242,17321,17098,16906,16709,16454,16418,-824,-4.78,-903,-5.21
BRUNSWICK COUNTY,Brunswick County,county,025,51025,15849,15824,15965,15846,15786,15763,15727,-122,-0.77,-97,-0.61
BUCHANAN COUNTY,Buchanan County,county,027,51027,20343,20247,19883,19318,18981,18723,18492,-1851,-9.1,-1755,-8.67
BUCKINGHAM COUNTY,Buckingham County,county,029,51029,16828,16826,16953,16979,16985,17111,17137,309,1.84,311,1.85
BUENA VISTA CITY,Buena Vista city,city,530,51530,6633,6616,6617,6560,6578,6611,6672,39,0.59,56,0.85
CAMPBELL COUNTY,Campbell County,county,031,51031,55654,55598,55326,55034,55308,55563,55629,-25,-0.04,31,0.06
CAROLINE COUNTY,Caroline County,county,033,51033,30880,30922,31412,31973,32745,33586,34413,3533,11.44,3491,11.29
CARROLL COUNTY,Carroll County,county,035,51035,29154,29146,29105,29097,29197,29211,29299,145,0.5,153,0.52
CHARLES CITY COUNTY,Charles City County,county,036,51036,6772,6747,6614,6582,6652,6582,6623,-149,-2.2,-124,-1.84
CHARLOTTE COUNTY,Charlotte County,county,037,51037,11530,11538,11499,11422,11408,11323,11401,-129,-1.12,-137,-1.19
CHARLOTTESVILLE CITY,Charlottesville city,city,540,51540,46518,46433,45723,45104,44832,44609,44388,-2130,-4.58,-2045,-4.4
CHESAPEAKE CITY,Chesapeake city,city,550,51550,249251,249655,251846,252431,253782,254770,255332,6081,2.44,5677,2.27
CHESTERFIELD COUNTY,Chesterfield County,county,041,51041,364084,365330,371042,378739,385138,391243,397148,33064,9.08,31818,8.71
CLARKE COUNTY,Clarke County,county,043,51043,14789,14817,14947,15311,15399,15631,15609,820,5.54,792,5.35
COLONIAL HEIGHTS CITY,Colonial Heights city,city,570,51570,18145,18162,18199,18241,18409,18620,18738,593,3.27,576,3.17
COVINGTON CITY,Covington city,city,580,51580,5749,5747,5719,5671,5600,5688,5680,-69,-1.2,-67,-1.17
CRAIG COUNTY,Craig County,county,045,51045,4893,4876,4890,4855,4822,4822,4800,-93,-1.9,-76,-1.56
CULPEPER COUNTY,Culpeper County,county,047,51047,52548,52764,53778,54315,55263,56756,57666,5118,9.74,4902,9.29
CUMBERLAND COUNTY,Cumberland County,county,049,51049,9690,9680,9721,9758,9914,10203,10352,662,6.83,672,6.94
DANVILLE CITY,Danville city,city,590,51590,42581,42572,42280,42068,42060,41958,41647,-934,-2.19,-925,-2.17
DICKENSON COUNTY,Dickenson County,county,051,51051,14128,14075,13865,13711,13576,13388,13236,-892,-6.31,-839,-5.96
DINWIDDIE COUNTY,Dinwiddie County,county,053,51053,27934,27886,27999,28137,28476,28787,28896,962,3.44,1010,3.62
EMPORIA CITY,Emporia city,city,595,51595,5753,5697,5630,5524,5481,5410,5447,-306,-5.32,-250,-4.39
ESSEX COUNTY,Essex County,county,057,51057,10600,10597,10570,10635,10590,10677,10654,54,0.51,57,0.54
FAIRFAX CITY,Fairfax city,city,600,51600,24146,24174,24363,24657,25070,26038,26772,2626,10.88,2598,10.75
FAIRFAX COUNTY,Fairfax County,county,059,51059,1150294,1148598,1142546,1138853,1143456,1159806,1167873,17579,1.53,19275,1.68
FALLS CHURCH CITY,Falls Church city,city,610,51610,14657,14677,14517,14520,14808,15046,15159,502,3.42,482,3.28
FAUQUIER COUNTY,Fauquier County,county,061,51061,72971,73012,74079,74689,75256,75865,76503,3532,4.84,3491,4.78
FLOYD COUNTY,Floyd County,county,063,51063,15473,15469,15513,15616,15713,15713,15789,316,2.04,320,2.07
FLUVANNA COUNTY,Fluvanna County,county,065,51065,27248,27289,27803,28126,28493,28789,28975,1727,6.34,1686,6.18
FRANKLIN CITY,Franklin city,city,620,51620,8176,8147,8152,8251,8323,8404,8478,302,3.69,331,4.06
FRANKLIN COUNTY,Franklin County,county,067,51067,54457,54478,55037,55054,55475,55612,55526,1069,1.96,1048,1.92
FREDERICK COUNTY,Frederick County,county,069,51069,91445,91891,94000,94855,96248,98180,99955,8510,9.31,8064,8.78
FREDERICKSBURG CITY,Fredericksburg city,city,630,51630,27977,27997,28449,28708,29180,29985,30393,2416,8.64,2396,8.56
GALAX CITY,Galax city,city,640,51640,6725,6716,6656,6720,6777,6701,6670,-55,-0.82,-46,-0.68
GILES COUNTY,Giles County,county,071,51071,16792,16786,16578,16434,16523,16636,16564,-228,-1.36,-222,-1.32
GLOUCESTER COUNTY,Gloucester County,county,073,51073,38714,38723,39191,39554,40016,40067,40097,1383,3.57,1374,3.55
GOOCHLAND COUNTY,Goochland County,county,075,51075,24744,24866,25551,26212,27272,28263,29187,4443,17.96,4321,17.38
GRAYSON COUNTY,Grayson County,county,077,51077,15336,15282,15349,15320,15259,15333,15230,-106,-0.69,-52,-0.34
GREENE COUNTY,Greene County,county,079,51079,20548,20601,20998,21021,21355,21702,21958,1410,6.86,1357,6.59
GREENSVILLE COUNTY,Greensville County,county,081,51081,11394,11387,11423,11217,11175,11175,11181,-213,-1.87,-206,-1.81
HALIFAX COUNTY,Halifax County,county,083,51083,34035,33939,33798,33612,33470,33554,33447,-588,-1.73,-492,-1.45
HAMPTON CITY,Hampton city,city,650,51650,137160,137279,137771,137889,137043,137399,137315,155,0.11,36,0.03
HANOVER COUNTY,Hanover County,county,085,51085,109982,110211,111827,112955,114263,115553,116423,6441,5.86,6212,5.64
HARRISONBURG CITY,Harrisonburg city,city,660,51660,51808,51698,51451,51011,50976,50792,50839,-969,-1.87,-859,-1.66
HENRICO COUNTY,Henrico County,county,087,51087,334961,334929,334546,335033,336037,340024,342775,7814,2.33,7846,2.34
HENRY COUNTY,Henry County,county,089,51089,50939,50845,50275,49772,49709,49523,49242,-1697,-3.33,-1603,-3.15
HIGHLAND COUNTY,Highland County,county,091,51091,2234,2242,2242,2306,2344,2336,2318,84,3.76,76,3.39
