County/City,Ward,Pct,"Mark R. Warner","James Jim S. Gilmore, III","Glenda Gail Parker","William B. Redpath","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian
"Albemarle County",-,"305 - Country Green (CD 5)",907,394,4,11,1,"1,317"
"Albemarle County",-,"401 - Scottsville (CD 5)",625,425,4,6,0,"1,060"
"Albemarle County",-,"402 - Monticello (CD 5)",564,383,5,4,0,956
"Albemarle County",-,"403 - Porters (CD 5)",761,238,2,8,0,"1,009"
"Albemarle County",-,"405 - Cale (CD 5)","2,099",711,6,15,1,"2,832"
"Albemarle County",-,"406 - Stone Robinson (CD 5)","1,121",771,6,16,1,"1,915"
"Albemarle County",-,"501 - Keswick (CD 5)",648,273,2,2,1,926
"Albemarle County",-,"502 - Stony Point (CD 5)",641,392,5,3,0,"1,041"
"Albemarle County",-,"503 - Hollymead (CD 5)","2,009","1,155",13,19,7,"3,203"
"Albemarle County",-,"504 - Free Bridge (CD 5)","1,432",581,4,18,1,"2,036"
"Albemarle County",-,"505 - Burnley (CD 5)",659,357,1,2,1,"1,020"
"Albemarle County",-,"601 - Crozet (CD 5)","1,683",770,13,25,0,"2,491"
"Albemarle County",-,"602 - Free Union (CD 5)",606,355,3,6,2,972
"Albemarle County",-,"603 - Earlysville (CD 5)","1,296",836,8,10,3,"2,153"
"Albemarle County",-,"604 - Brownsville (CD 5)","1,480",689,7,22,3,"2,201"
"Albemarle County",-,"605 - Yellow Mountain (CD 5)",315,151,3,5,0,474
"Albemarle County",-,"Ab - Central Absentee Precinct (CD 5)","5,011","1,584",16,39,8,"6,658"
"Albemarle County",-,"Provisional Votes (CD 5)",31,15,1,0,0,47
"Alexandria City",-,"101 - Ladrey Senior Building (CD 8)",863,370,12,9,1,"1,255"
"Alexandria City",-,"102 - City Hall (CD 8)","1,025",410,3,10,4,"1,452"
"Alexandria City",-,"103 - Lyles Crouch School (CD 8)","1,064",437,6,15,5,"1,527"
"Alexandria City",-,"104 - Durant Center (CD 8)","1,694",477,13,29,2,"2,215"
"Alexandria City",-,"105 - Lee Center (CD 8)","1,849",650,18,22,8,"2,547"
"Alexandria City",-,"106 - Cora Kelly Center (CD 8)","2,374",427,15,26,5,"2,847"
"Alexandria City",-,"107 - Mt Vernon Recreation Center (CD 8)","1,914",481,15,14,3,"2,427"
"Alexandria City",-,"108 - George Washington Middle Sch (CD 8)","1,425",341,9,15,1,"1,791"
"Alexandria City",-,"109 - Fire Department Headquarters (CD 8)","1,704",527,20,25,1,"2,277"
