County/City,Ward,Pct,"Mark R. Warner","James Jim S. Gilmore, III","Glenda Gail Parker","William B. Redpath","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian
"Essex County",-,"301 - South (CD 1)",678,406,10,2,0,"1,096"
"Essex County",-,"401 - Central (CD 1)",806,487,6,7,0,"1,306"
"Essex County",-,"Ab - Central Absentee Precinct (CD 1)",419,167,2,2,0,590
"Essex County",-,"Provisional Votes (CD 1)",0,0,0,0,0,0
"Fairfax County",-,"102 - Bristow (CD 11)",937,400,9,6,0,"1,352"
"Fairfax County",-,"104 - Chapel (CD 11)",964,549,8,9,0,"1,530"
"Fairfax County",-,"105 - Fairview (CD 11)","1,988","1,012",16,21,5,"3,042"
"Fairfax County",-,"106 - Heritage (CD 11)","1,767",567,25,13,3,"2,375"
"Fairfax County",-,"108 - Kings Park (CD 11)","1,308",686,8,25,0,"2,027"
"Fairfax County",-,"109 - Olde Creek (CD 11)",936,554,8,9,4,"1,511"
"Fairfax County",-,"110 - North Springfield #1 (CD 11)","1,034",498,21,8,3,"1,564"
"Fairfax County",-,"111 - North Springfield #2 (CD 11)",719,364,11,6,1,"1,101"
"Fairfax County",-,"113 - Oak Hill (CD 11)",914,518,5,7,1,"1,445"
"Fairfax County",-,"115 - Ravensworth (CD 11)",696,405,3,5,3,"1,112"
"Fairfax County",-,"116 - Wakefield (CD 11)","1,030",486,5,9,1,"1,531"
"Fairfax County",-,"117 - Woodson (CD 11)","1,284",566,15,18,5,"1,888"
"Fairfax County",-,"118 - Lake Braddock (CD 11)","1,931",830,18,34,6,"2,819"
"Fairfax County",-,"119 - Laurel (CD 11)","1,668",875,17,20,8,"2,588"
"Fairfax County",-,"120 - Sideburn (CD 11)","1,303",889,3,9,10,"2,214"
"Fairfax County",-,"121 - Villa (CD 11)",802,491,5,10,1,"1,309"
"Fairfax County",-,"122 - Long Branch (CD 11)",682,361,4,9,1,"1,057"
"Fairfax County",-,"123 - Robinson (CD 11)","1,824",925,16,18,3,"2,786"
"Fairfax County",-,"124 - Olley (CD 11)",759,415,4,6,0,"1,184"
"Fairfax County",-,"125 - Signal Hill (CD 11)","1,302",715,5,24,1,"2,047"
"Fairfax County",-,"126 - Bonnie Brae (CD 11)","1,078",449,7,12,0,"1,546"
"Fairfax County",-,"127 - Burke Centre (CD 11)","1,860",879,10,33,3,"2,785"
"Fairfax County",-,"128 - Cardinal (CD 11)",979,437,9,12,1,"1,438"
"Fairfax County",-,"129 - Keene Mill (CD 11)",684,351,5,4,5,"1,049"
"Fairfax County",-,"130 - Terra Centre (CD 11)","1,050",539,4,8,3,"1,604"
"Fairfax County",-,"202 - Flint Hill (CD 11)","1,650",846,13,9,4,"2,522"
"Fairfax County",-,"203 - Floris (CD 10)","1,531",856,9,17,4,"2,417"
"Fairfax County",-,"208 - Reston #1 (CD 8)","1,310",375,22,20,1,"1,728"
"Fairfax County",-,"209 - Reston #2 (CD 8)","1,426",442,12,8,2,"1,890"
"Fairfax County",-,"213 - Vienna #1 (CD 11)","1,665",757,15,12,1,"2,450"
"Fairfax County",-,"214 - Vienna #2 (CD 11)","1,333",666,6,14,4,"2,023"
"Fairfax County",-,"216 - Vienna #4 (CD 11)",693,282,5,16,0,996
"Fairfax County",-,"218 - Vienna #6 (CD 11)",998,355,5,3,0,"1,361"
"Fairfax County",-,"219 - Westbriar (CD 8)","1,471",768,6,14,0,"2,259"
"Fairfax County",-,"220 - Dogwood (CD 8)","1,751",561,23,11,3,"2,349"
"Fairfax County",-,"221 - Hunters Woods (CD 8)","1,138",550,3,13,1,"1,705"
"Fairfax County",-,"222 - Reston #3 (CD 8)","1,111",286,9,6,1,"1,413"
"Fairfax County",-,"223 - Glade (CD 8)","1,755",619,21,23,2,"2,420"
"Fairfax County",-,"224 - South Lakes (CD 8)","1,968",662,6,24,1,"2,661"
"Fairfax County",-,"225 - Terraset (CD 8)","1,801",510,20,23,2,"2,356"
"Fairfax County",-,"226 - Wolftrap (CD 8)","1,446",802,10,13,3,"2,274"
"Fairfax County",-,"227 - Sunrise Valley (CD 8)",757,391,4,4,1,"1,157"
"Fairfax County",-,"229 - Fox Mill (CD 10)","1,919","1,076",7,14,1,"3,017"
"Fairfax County",-,"233 - North Point (CD 8)","2,089",985,16,8,4,"3,102"
"Fairfax County",-,"234 - Aldrin (CD 8)","2,020",953,17,16,1,"3,007"
"Fairfax County",-,"235 - Frying Pan (CD 10)","1,328",506,5,11,0,"1,850"
"Fairfax County",-,"236 - Stuart (CD 10)",611,277,6,3,1,898
"Fairfax County",-,"237 - Mcnair (CD 10)","2,705",948,34,34,4,"3,725"
"Fairfax County",-,"238 - Cameron Glen (CD 8)","1,085",572,8,12,4,"1,681"
"Fairfax County",-,"301 - Chain Bridge (CD 10)","1,153",664,1,17,1,"1,836"
"Fairfax County",-,"302 - Chesterbrook (CD 10)",902,486,4,4,1,"1,397"
"Fairfax County",-,"303 - Churchill (CD 10)",582,296,3,7,0,888
"Fairfax County",-,"304 - Cooper (CD 10)",776,502,5,3,1,"1,287"
"Fairfax County",-,"305 - El Nido (CD 10)",842,364,5,4,1,"1,216"
"Fairfax County",-,"306 - Great Falls (CD 10)",753,543,3,5,0,"1,304"
"Fairfax County",-,"307 - Haycock (CD 10)",964,481,4,9,2,"1,460"
"Fairfax County",-,"309 - Kenmore (CD 10)","1,263",824,7,12,3,"2,109"
"Fairfax County",-,"310 - Kirby (CD 10)",880,386,5,5,0,"1,276"
"Fairfax County",-,"311 - Langley (CD 10)",788,459,3,4,5,"1,259"
"Fairfax County",-,"312 - Longfellow (CD 10)","1,016",514,7,7,0,"1,544"
"Fairfax County",-,"314 - Mclean (CD 10)",845,469,8,8,0,"1,330"
"Fairfax County",-,"315 - Pimmit (CD 8)","1,401",630,26,21,5,"2,083"
"Fairfax County",-,"316 - Salona (CD 10)","1,010",467,6,9,4,"1,496"
"Fairfax County",-,"317 - Westhampton (CD 8)",909,402,7,10,3,"1,331"
"Fairfax County",-,"318 - Westmoreland (CD 10)",610,254,2,7,0,873
"Fairfax County",-,"319 - Herndon #1 (CD 10)","1,589",714,10,21,0,"2,334"
"Fairfax County",-,"320 - Herndon #2 (CD 10)","1,697",608,11,18,2,"2,336"
"Fairfax County",-,"321 - Clearview (CD 10)","1,897","1,016",11,13,2,"2,939"
"Fairfax County",-,"322 - Forestville (CD 10)","1,089",801,3,4,3,"1,900"
"Fairfax County",-,"323 - Shouse (CD 10)",931,508,6,4,1,"1,450"
"Fairfax County",-,"324 - Herndon #3 (CD 10)","1,508",553,13,19,1,"2,094"
"Fairfax County",-,"325 - Hutchison (CD 10)","1,139",327,12,7,4,"1,489"
"Fairfax County",-,"327 - Sugarland (CD 10)","1,279",732,7,15,4,"2,037"
"Fairfax County",-,"328 - Hickory (CD 10)","1,145",705,9,6,4,"1,869"
"Fairfax County",-,"329 - Seneca (CD 10)","1,234",914,5,7,2,"2,162"
"Fairfax County",-,"330 - Colvin (CD 10)",910,607,5,4,1,"1,527"
"Fairfax County",-,"331 - Spring Hill (CD 10)",756,484,3,4,0,"1,247"
"Fairfax County",-,"401 - Bush Hill (CD 8)","1,353",660,15,9,3,"2,040"
"Fairfax County",-,"402 - Cameron (CD 8)",471,206,5,3,3,688
"Fairfax County",-,"404 - Franconia (CD 8)","1,488",604,17,19,1,"2,129"
"Fairfax County",-,"405 - Groveton (CD 8)","2,490",497,21,21,1,"3,030"
"Fairfax County",-,"406 - Hayfield (CD 8)","1,157",713,12,8,1,"1,891"
"Fairfax County",-,"408 - Mount Eagle (CD 8)",676,182,6,8,2,874
"Fairfax County",-,"409 - Pioneer (CD 8)","2,036",775,29,15,3,"2,858"
"Fairfax County",-,"410 - Rose Hill (CD 8)","1,756",833,12,10,2,"2,613"
"Fairfax County",-,"411 - Virginia Hills (CD 8)",550,252,7,5,0,814
"Fairfax County",-,"413 - Fairfield (CD 8)","2,438",367,22,19,7,"2,853"
"Fairfax County",-,"415 - Crestwood (CD 11)",980,499,11,7,2,"1,499"
"Fairfax County",-,"417 - Garfield (CD 11)","1,487",602,11,13,1,"2,114"
"Fairfax County",-,"418 - Lynbrook (CD 11)",804,350,11,6,0,"1,171"
"Fairfax County",-,"419 - Lane (CD 8)","1,466",536,15,11,0,"2,028"
"Fairfax County",-,"420 - Villages (CD 8)","1,461",625,9,13,4,"2,112"
"Fairfax County",-,"421 - Kingstowne (CD 8)","1,576",660,14,11,2,"2,263"
"Fairfax County",-,"422 - Van Dorn (CD 8)","1,491",643,14,13,1,"2,162"
"Fairfax County",-,"423 - Clermont (CD 8)","1,116",512,9,11,2,"1,650"
"Fairfax County",-,"424 - Huntley (CD 8)","1,200",520,13,11,0,"1,744"
"Fairfax County",-,"425 - Wilton (CD 8)",900,306,6,3,0,"1,215"
"Fairfax County",-,"426 - Greenspring (CD 11)",913,419,2,4,0,"1,338"
"Fairfax County",-,"427 - Island Creek (CD 8)","1,167",532,4,3,3,"1,709"
"Fairfax County",-,"501 - Baileys (CD 8)","1,395",403,12,9,2,"1,821"
"Fairfax County",-,"502 - Barcroft (CD 11)","1,055",489,3,14,2,"1,563"
"Fairfax County",-,"503 - Belvedere (CD 11)",663,216,4,3,0,886
"Fairfax County",-,"505 - Glen Forest #1 (CD 8)",707,150,6,3,2,868
"Fairfax County",-,"506 - Holmes #1 (CD 11)",144,42,2,2,0,190
"Fairfax County",-,"506 - Holmes #1 (CD 8)",169,56,2,2,0,229
"Fairfax County",-,"507 - Lincolnia (CD 8)","1,342",421,10,8,3,"1,784"
"Fairfax County",-,"508 - Masonville (CD 11)",831,409,8,6,2,"1,256"
"Fairfax County",-,"510 - Parklawn (CD 8)",837,414,10,9,2,"1,272"
"Fairfax County",-,"511 - Ravenwood (CD 11)",687,296,7,7,3,"1,000"
"Fairfax County",-,"512 - Sleepy Hollow (CD 11)",612,293,5,12,4,926
"Fairfax County",-,"513 - Saint Albans (CD 11)","1,005",421,6,7,2,"1,441"
"Fairfax County",-,"515 - Westlawn (CD 8)",675,252,9,2,0,938
"Fairfax County",-,"516 - Weyanoke (CD 8)","1,100",290,6,11,4,"1,411"
"Fairfax County",-,"517 - Willston (CD 8)",819,278,7,9,0,"1,113"
"Fairfax County",-,"518 - Columbia (CD 11)","1,068",515,17,9,1,"1,610"
"Fairfax County",-,"519 - Hummer (CD 11)",766,415,5,2,3,"1,191"
"Fairfax County",-,"520 - Skyline (CD 8)","1,637",415,13,11,0,"2,076"
"Fairfax County",-,"521 - Brook Hill (CD 11)",873,457,7,6,0,"1,343"
"Fairfax County",-,"522 - Camelot (CD 11)",621,343,3,3,0,970
"Fairfax County",-,"523 - Poe (CD 11)","1,038",450,7,11,3,"1,509"
"Fairfax County",-,"524 - Whittier (CD 8)",782,325,13,6,1,"1,127"
"Fairfax County",-,"525 - Walnut Hill #1 (CD 8)",344,179,2,1,0,526
"Fairfax County",-,"526 - Bren Mar (CD 8)","1,472",503,11,10,7,"2,003"
"Fairfax County",-,"527 - Edsall (CD 8)",708,316,3,16,1,"1,044"
"Fairfax County",-,"528 - Ridgelea (CD 11)",537,308,0,4,0,849
"Fairfax County",-,"529 - Glen Forest #2 (CD 8)",747,260,7,5,0,"1,019"
"Fairfax County",-,"530 - Holmes #2 (CD 11)",744,211,14,5,0,974
"Fairfax County",-,"531 - Leewood (CD 11)",435,165,7,3,1,611
"Fairfax County",-,"601 - Belle Haven (CD 8)",963,475,8,9,2,"1,457"
"Fairfax County",-,"602 - Belleview (CD 8)","1,027",403,11,12,4,"1,457"
"Fairfax County",-,"604 - Bucknell (CD 8)","1,778",487,18,17,2,"2,302"
"Fairfax County",-,"605 - Fort Hunt (CD 11)",866,521,6,9,3,"1,405"
"Fairfax County",-,"606 - Hollin Hall (CD 8)",678,420,5,9,1,"1,113"
"Fairfax County",-,"607 - Huntington (CD 8)","1,488",531,32,26,1,"2,078"
"Fairfax County",-,"608 - Kirkside (CD 8)",885,278,5,7,1,"1,176"
"Fairfax County",-,"609 - Marlan (CD 8)",843,452,8,13,4,"1,320"
"Fairfax County",-,"610 - Sherwood (CD 8)","1,235",486,12,13,2,"1,748"
"Fairfax County",-,"611 - Stratford (CD 11)","1,235",720,12,12,2,"1,981"
"Fairfax County",-,"612 - Waynewood (CD 11)",581,343,4,3,2,933
"Fairfax County",-,"613 - Westgate (CD 11)","1,092",956,13,7,1,"2,069"
"Fairfax County",-,"614 - Whitman (CD 11)",701,553,7,5,0,"1,266"
"Fairfax County",-,"615 - Woodley (CD 11)","1,164",629,15,11,0,"1,819"
"Fairfax County",-,"616 - Gunston (CD 11)","1,264",771,22,13,1,"2,071"
"Fairfax County",-,"617 - Lorton (CD 11)","1,038",190,8,5,0,"1,241"
"Fairfax County",-,"618 - Newington (CD 11)","2,196",984,23,17,4,"3,224"
"Fairfax County",-,"619 - Belvoir (CD 8)","1,154",543,13,3,0,"1,713"
"Fairfax County",-,"621 - Grosvenor (CD 8)",817,275,6,6,1,"1,105"
"Fairfax County",-,"622 - Lorton Station (CD 11)","1,621",479,12,13,3,"2,128"
"Fairfax County",-,"623 - Alban (CD 11)",591,255,4,6,1,857
"Fairfax County",-,"624 - Hunt (CD 11)","1,488",926,9,5,1,"2,429"
"Fairfax County",-,"625 - Lorton Center (CD 11)",827,379,5,2,0,"1,213"
"Fairfax County",-,"626 - Saratoga (CD 11)","2,250","1,028",17,19,4,"3,318"
"Fairfax County",-,"627 - Woodlawn (CD 8)","1,941",496,18,8,0,"2,463"
"Fairfax County",-,"628 - Laurel Hill (CD 11)","2,476","1,145",22,10,4,"3,657"
"Fairfax County",-,"701 - Blake (CD 11)","1,914",797,5,16,4,"2,736"
"Fairfax County",-,"703 - Fort Buffalo (CD 8)",910,306,7,10,1,"1,234"
"Fairfax County",-,"704 - Freedom Hill (CD 11)",881,461,4,3,1,"1,350"
"Fairfax County",-,"705 - Graham (CD 8)",595,207,6,2,1,811
"Fairfax County",-,"706 - Greenway (CD 8)",842,308,7,9,0,"1,166"
"Fairfax County",-,"707 - Mantua (CD 11)",955,434,2,10,0,"1,401"
"Fairfax County",-,"708 - Marshall (CD 8)","2,047",799,16,16,3,"2,881"
"Fairfax County",-,"709 - Mosby (CD 11)","1,921",765,12,36,4,"2,738"
"Fairfax County",-,"710 - Pine Spring (CD 8)","1,198",395,10,12,1,"1,616"
"Fairfax County",-,"711 - Price (CD 11)",907,368,6,8,1,"1,290"
"Fairfax County",-,"712 - Shreve (CD 8)",669,320,1,6,1,997
"Fairfax County",-,"713 - Timber Lane (CD 8)","1,384",509,8,11,4,"1,916"
"Fairfax County",-,"714 - Walker (CD 11)","1,466",703,15,14,4,"2,202"
"Fairfax County",-,"717 - Woodburn (CD 8)",846,388,12,12,4,"1,262"
"Fairfax County",-,"718 - Pine Ridge (CD 11)","1,018",424,8,4,2,"1,456"
"Fairfax County",-,"719 - Stenwood (CD 11)",444,230,3,2,1,680
"Fairfax County",-,"720 - Thoreau (CD 11)",747,391,5,2,0,"1,145"
"Fairfax County",-,"721 - Merrifield (CD 11)","1,488",638,18,28,4,"2,176"
"Fairfax County",-,"726 - Magarity (CD 8)","1,541",659,16,14,3,"2,233"
"Fairfax County",-,"727 - Oakton (CD 11)",939,625,4,4,0,"1,572"
"Fairfax County",-,"728 - Walnut Hill #2 (CD 8)",391,177,6,6,1,581
"Fairfax County",-,"729 - Nottoway (CD 11)","1,529",816,14,16,7,"2,382"
"Fairfax County",-,"730 - Penderbrook (CD 11)","1,402",742,13,17,2,"2,176"
"Fairfax County",-,"731 - Tysons (CD 8)","1,060",548,10,15,1,"1,634"
"Fairfax County",-,"732 - Oak Marr (CD 11)","1,271",803,8,12,0,"2,094"
"Fairfax County",-,"733 - Kilmer (CD 11)","1,562",699,4,11,1,"2,277"
"Fairfax County",-,"801 - Burke (CD 11)","1,882",820,15,36,4,"2,757"
"Fairfax County",-,"803 - Clifton (CD 11)","1,340","1,306",17,8,0,"2,671"
"Fairfax County",-,"805 - Fairfax Station (CD 11)","1,240","1,022",5,10,5,"2,282"
"Fairfax County",-,"811 - Pohick (CD 11)","1,524",811,18,12,0,"2,365"
"Fairfax County",-,"812 - Valley (CD 11)","1,166",616,10,13,4,"1,809"
"Fairfax County",-,"815 - Woodyard (CD 11)",826,670,7,9,3,"1,515"
"Fairfax County",-,"824 - Orange (CD 11)","1,596",989,9,17,4,"2,615"
"Fairfax County",-,"825 - Cherry Run (CD 11)","1,177",691,5,11,2,"1,886"
"Fairfax County",-,"827 - Irving (CD 11)","1,012",600,14,10,3,"1,639"
"Fairfax County",-,"833 - White Oaks (CD 11)","1,318",630,10,18,2,"1,978"
"Fairfax County",-,"838 - Sangster (CD 11)",846,643,2,12,1,"1,504"
"Fairfax County",-,"839 - Silverbrook (CD 11)","1,326",914,5,5,5,"2,255"
"Fairfax County",-,"840 - West Springfield (CD 11)","1,201",687,4,9,1,"1,902"
"Fairfax County",-,"841 - Popes Head (CD 11)","1,101",990,10,11,6,"2,118"
"Fairfax County",-,"842 - Parkway (CD 11)",866,591,9,15,1,"1,482"
"Fairfax County",-,"843 - Fair Lakes (CD 10)","1,311",660,8,13,1,"1,993"
"Fairfax County",-,"844 - Centerpointe (CD 10)","1,597",718,12,21,1,"2,349"
"Fairfax County",-,"845 - Fountainhead (CD 11)","1,382","1,094",1,6,3,"2,486"
"Fairfax County",-,"846 - Greenbriar East (CD 10)","1,400",731,10,18,2,"2,161"
"Fairfax County",-,"847 - Greenbriar West (CD 10)",964,612,15,13,0,"1,604"
"Fairfax County",-,"848 - Fair Oaks (CD 11)",689,316,5,11,3,"1,024"
"Fairfax County",-,"849 - Newgate (CD 11)","1,656","1,429",12,5,2,"3,104"
"Fairfax County",-,"850 - South Run (CD 11)",510,392,3,6,0,911
"Fairfax County",-,"851 - Willow Springs (CD 11)","1,733","1,103",12,6,2,"2,856"
"Fairfax County",-,"852 - Monument (CD 11)","1,303",648,15,10,0,"1,976"
"Fairfax County",-,"853 - Eagle View (CD 11)","1,259",744,15,13,1,"2,032"
"Fairfax County",-,"901 - Centre Ridge (CD 10)","1,533",645,10,14,0,"2,202"
"Fairfax County",-,"902 - Brookfield (CD 10)","1,686",712,16,9,4,"2,427"
"Fairfax County",-,"903 - Cub Run (CD 10)","1,451",862,13,17,2,"2,345"
"Fairfax County",-,"904 - Dulles (CD 10)",713,462,8,7,1,"1,191"
"Fairfax County",-,"905 - Franklin (CD 10)","1,555",798,13,13,2,"2,381"
"Fairfax County",-,"908 - Kinross (CD 10)","1,931","1,154",13,10,2,"3,110"
"Fairfax County",-,"910 - London Towne East (CD 10)",652,303,9,0,1,965
"Fairfax County",-,"911 - Navy (CD 10)","1,332",683,9,12,1,"2,037"
"Fairfax County",-,"913 - Rocky Run (CD 10)","1,554","1,058",14,10,3,"2,639"
"Fairfax County",-,"914 - Vale (CD 11)","1,191",811,9,10,2,"2,023"
"Fairfax County",-,"915 - Virginia Run (CD 10)",953,835,7,8,2,"1,805"
"Fairfax County",-,"916 - Waples Mill (CD 11)","1,602","1,134",10,14,4,"2,764"
"Fairfax County",-,"917 - Stone (CD 10)","1,497",754,15,23,2,"2,291"
"Fairfax County",-,"918 - Centreville (CD 11)","1,948",858,26,22,3,"2,857"
"Fairfax County",-,"919 - Green Trails (CD 11)","2,064",949,15,17,8,"3,053"
"Fairfax County",-,"920 - Lees Corner East (CD 10)","1,126",576,9,1,1,"1,713"
"Fairfax County",-,"921 - Deer Park (CD 10)","1,243",848,16,11,1,"2,119"
"Fairfax County",-,"923 - Bull Run (CD 10)",746,647,4,3,0,"1,400"
"Fairfax County",-,"924 - London Towne West (CD 10)","1,276",398,17,7,0,"1,698"
"Fairfax County",-,"925 - Old Mill (CD 10)","1,010",487,8,2,3,"1,510"
"Fairfax County",-,"926 - Powell (CD 11)","1,624",688,15,11,1,"2,339"
"Fairfax County",-,"927 - Lees Corner West (CD 10)","1,387",772,9,20,1,"2,189"
"Fairfax County",-,"928 - Poplar Tree (CD 10)","1,139",691,12,15,4,"1,861"
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 10)","17,986","6,799",122,113,27,"25,047"
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 11)","32,049","12,356",230,191,62,"44,888"
"Fairfax County",-,"Ab - Central Absentee Precinct (CD 8)","22,329","6,095",143,128,26,"28,721"
"Fairfax County",-,"Provisional Votes (CD 10)",61,29,1,3,1,95
"Fairfax County",-,"Provisional Votes (CD 11)",138,72,2,3,0,215
"Fairfax County",-,"Provisional Votes (CD 8)",134,45,3,0,0,182
"Fairfax City",-,"1 - One (CD 11)",894,401,12,3,0,"1,310"
"Fairfax City",-,"2 - Two (CD 11)",879,480,4,12,0,"1,375"
"Fairfax City",-,"3 - Three (CD 11)","1,233",620,20,24,0,"1,897"
"Fairfax City",-,"4 - Four (CD 11)","1,055",490,11,12,1,"1,569"
"Fairfax City",-,"5 - Five (CD 11)",908,409,13,4,1,"1,335"
"Fairfax City",-,"6 - Six (CD 11)",921,460,10,9,5,"1,405"
"Fairfax City",-,"Ab - Central Absentee Precinct (CD 11)","1,631",652,16,16,3,"2,318"
"Fairfax City",-,"Provisional Votes (CD 11)",6,3,0,0,0,9
"Falls Church City",-,"1 - First Ward (CD 8)",990,340,6,11,0,"1,347"
"Falls Church City",-,"2 - Second Ward (CD 8)",571,201,4,6,2,784
"Falls Church City",-,"3 - Third Ward (CD 8)",566,221,8,8,1,804
"Falls Church City",-,"4 - Fourth Ward (CD 8)",628,265,3,11,6,913
"Falls Church City",-,"5 - Fifth Ward (CD 8)",572,229,4,4,2,811
"Falls Church City",-,"Ab - Central Absentee Precinct (CD 8)","1,692",293,17,7,2,"2,011"
"Falls Church City",-,"Provisional Votes (CD 8)",3,1,0,0,0,4
"Fauquier County",-,"101 - Kettle Run (CD 1)",616,622,7,2,0,"1,247"
"Fauquier County",-,"102 - Catlett (CD 1)",921,949,12,20,2,"1,904"
"Fauquier County",-,"103 - Casanova (CD 1)",538,350,2,1,0,891
"Fauquier County",-,"104 - Lois (CD 1)",396,412,2,4,0,814
"Fauquier County",-,"105 - Opal (CD 1)",447,443,4,1,1,896
"Fauquier County",-,"201 - Courthouse (CD 10)","1,089",634,7,15,2,"1,747"
"Fauquier County",-,"202 - Airlie (CD 10)",677,550,5,8,0,"1,240"
"Fauquier County",-,"203 - Baldwin Ridge (CD 1)","1,091",903,11,9,2,"2,016"
"Fauquier County",-,"204 - Warrenton (CD 10)",998,607,9,3,1,"1,618"
"Fauquier County",-,"301 - Morrisville (CD 1)",593,568,8,6,0,"1,175"
"Fauquier County",-,"302 - Remington (CD 1)","1,086",883,9,6,4,"1,988"
"Fauquier County",-,"303 - Bealeton (CD 1)","1,086",846,16,8,1,"1,957"
"Fauquier County",-,"401 - Marshall (CD 10)","1,059",767,11,9,2,"1,848"
"Fauquier County",-,"402 - Leeds (CD 10)","1,014",604,7,13,2,"1,640"
"Fauquier County",-,"403 - Waterloo (CD 1)","1,525","1,319",8,12,3,"2,867"
"Fauquier County",-,"501 - The Plains (CD 10)",955,556,6,8,1,"1,526"
"Fauquier County",-,"502 - New Baltimore (CD 10)","1,524","1,540",21,9,2,"3,096"
"Fauquier County",-,"503 - Broad Run (CD 10)",761,724,2,3,0,"1,490"
"Fauquier County",-,"Ab - Central Absentee Precinct (CD 1)","1,028",677,13,10,6,"1,734"
"Fauquier County",-,"Ab - Central Absentee Precinct (CD 10)","1,317",750,11,16,1,"2,095"
"Fauquier County",-,"Provisional Votes (CD 1)",1,0,0,0,0,1
"Fauquier County",-,"Provisional Votes (CD 10)",3,3,0,0,0,6
"Floyd County",-,"101 - Locust Grove (CD 9)",823,437,12,15,1,"1,288"
"Floyd County",-,"201 - Little River (CD 9)",954,495,13,11,2,"1,475"
"Floyd County",-,"301 - Courthouse (CD 9)",882,434,3,7,1,"1,327"
"Floyd County",-,"401 - Burks Fork (CD 9)",751,492,9,12,1,"1,265"
"Floyd County",-,"501 - Indian Valley (CD 9)",660,552,7,11,1,"1,231"
"Floyd County",-,"Ab - Central Absentee Precinct (CD 9)",527,239,3,9,0,778
"Floyd County",-,"Provisional Votes (CD 9)",0,0,1,0,0,1
"Fluvanna County",-,"101 - Palmyra (CD 5)",805,496,4,7,0,"1,312"
"Fluvanna County",-,"201 - Columbia (CD 5)","1,036",553,4,7,0,"1,600"
"Fluvanna County",-,"301 - Fork Union (CD 5)",962,396,7,6,1,"1,372"
"Fluvanna County",-,"401 - Cunningham (CD 5)",849,937,4,12,0,"1,802"
"Fluvanna County",-,"501 - Rivanna (CD 5)","1,495","1,048",8,14,3,"2,568"
"Fluvanna County",-,"502 - Rivanna 2 (CD 5)","1,457",825,6,11,4,"2,303"
"Fluvanna County",-,"Ab - Central Absentee Precinct (CD 5)","1,022",554,12,7,2,"1,597"
"Fluvanna County",-,"Provisional Votes (CD 5)",9,2,0,0,0,11
"Franklin County",-,"102 - Burnt Chimney (CD 5)","1,164",867,11,13,3,"2,058"
"Franklin County",-,"103 - Scruggs (CD 5)","1,229","1,173",18,11,0,"2,431"
"Franklin County",-,"201 - Glade Hill (CD 5)",957,466,9,2,0,"1,434"
"Franklin County",-,"202 - Penhook (CD 5)",606,421,6,8,0,"1,041"
"Franklin County",-,"203 - Hodgesville (CD 5)",301,113,0,1,0,415
"Franklin County",-,"204 - Dudley (CD 5)",392,247,4,2,0,645
"Franklin County",-,"301 - Snow Creek (CD 5)",471,215,2,4,0,692
"Franklin County",-,"302 - Fork Mountain (CD 5)",482,229,7,2,0,720
"Franklin County",-,"303 - Sontag (CD 5)",786,278,7,5,0,"1,076"
"Franklin County",-,"304 - Dickinson (CD 5)",347,127,1,2,0,477
"Franklin County",-,"401 - Henry (CD 5)",567,394,9,5,0,975
"Franklin County",-,"402 - Ferrum (CD 5)",470,263,5,1,0,739
"Franklin County",-,"403 - Endicott (CD 5)",390,272,4,2,0,668
"Franklin County",-,"501 - Waidsboro (CD 5)",433,212,8,4,0,657
"Franklin County",-,"502 - Callaway (CD 5)",613,473,9,5,0,"1,100"
"Franklin County",-,"503 - Bowmans (CD 5)",360,253,2,3,0,618
"Franklin County",-,"504 - Gogginsville (CD 5)",513,339,12,5,0,869
"Franklin County",-,"601 - Boones Mill (CD 5)",798,516,5,11,0,"1,330"
"Franklin County",-,"602 - Bonbrook (CD 5)",705,433,6,7,0,"1,151"
"Franklin County",-,"603 - Coopers Cove (CD 5)",501,426,0,6,0,933
"Franklin County",-,"701 - Rocky Mount East (CD 5)",801,330,7,4,0,"1,142"
"Franklin County",-,"702 - Rocky Mount West (CD 5)",740,258,1,6,0,"1,005"
"Franklin County",-,"703 - Rocky Mount South (CD 5)",569,230,5,3,0,807
"Franklin County",-,"Ab - Central Absentee Precinct (CD 5)","1,196",757,9,8,0,"1,970"
"Franklin County",-,"Provisional Votes (CD 5)",0,0,0,0,0,0
"Franklin City",-,"101 - Precinct 1-1 (CD 4)",407,276,0,2,0,685
"Franklin City",-,"201 - Precinct 2-1 (CD 4)",485,275,3,4,0,767
"Franklin City",-,"301 - Precinct 3-1 (CD 4)",494,27,4,2,0,527
"Franklin City",-,"401 - Precinct 4-1 (CD 4)",599,37,4,1,0,641
"Franklin City",-,"501 - Precinct 5-1 (CD 4)",399,21,9,1,0,430
"Franklin City",-,"601 - Precinct 6-1 (CD 4)",432,190,5,3,0,630
"Franklin City",-,"Ab - Central Absentee Precinct (CD 4)",398,132,4,1,2,537
"Franklin City",-,"Provisional Votes (CD 4)",3,0,0,0,0,3
"Frederick County",-,"101 - Russells (CD 10)",641,685,10,6,2,"1,344"
"Frederick County",-,"102 - Gore (CD 10)",853,744,7,11,0,"1,615"
"Frederick County",-,"103 - Kernstown (CD 10)",742,709,5,8,1,"1,465"
