County/City,Ward,Pct,"William Bill T. Bolling","Jody M. Wagner","All Others","Total Votes Cast"
,,,Republican,Democratic
"Accomack County",-,"101 - Chincoteague (CD 2)",713,300,0,"1,013"
"Accomack County",-,"201 - Atlantic (CD 2)",220,93,0,313
"Accomack County",-,"202 - Greenbackville (CD 2)",233,111,1,345
"Accomack County",-,"203 - Hallwood (CD 2)",143,54,1,198
"Accomack County",-,"204 - Saxis (CD 2)",68,15,0,83
"Accomack County",-,"205 - Tangier (CD 2)",203,10,0,213
"Accomack County",-,"301 - New Church (CD 2)",142,129,0,271
"Accomack County",-,"302 - Oak Hall (CD 2)",210,160,0,370
"Accomack County",-,"401 - Bloxom (CD 2)",187,72,0,259
"Accomack County",-,"402 - Parksley (CD 2)",328,193,0,521
"Accomack County",-,"501 - Mappsville (CD 2)",171,159,0,330
"Accomack County",-,"502 - Rue (CD 2)",115,151,0,266
"Accomack County",-,"601 - Accomac (CD 2)",430,342,0,772
"Accomack County",-,"701 - Onancock (CD 2)",522,371,0,893
"Accomack County",-,"702 - Onley (CD 2)",177,99,0,276
"Accomack County",-,"801 - Bobtown (CD 2)",167,92,0,259
"Accomack County",-,"802 - Keller (CD 2)",78,70,0,148
"Accomack County",-,"803 - Melfa (CD 2)",185,171,1,357
"Accomack County",-,"804 - Quinby (CD 2)",86,41,0,127
"Accomack County",-,"805 - Wachapreague (CD 2)",135,62,0,197
"Accomack County",-,"901 - Painter (CD 2)",441,501,0,942
"Accomack County",-,"Ab - Central Absentee Precinct (CD 2)",178,124,0,302
"Accomack County",-,"Provisional Votes (CD 2)",1,1,0,2
"Albemarle County",-,"101 - Woodbrook (CD 5)",704,675,0,"1,379"
"Albemarle County",-,"103 - Branchlands (CD 5)",170,268,0,438
"Albemarle County",-,"104 - Agnor-hurt (CD 5)",322,566,2,890
"Albemarle County",-,"105 - Dunlora (CD 5)",447,597,0,"1,044"
"Albemarle County",-,"106 - Northside (CD 5)",578,449,0,"1,027"
"Albemarle County",-,"201 - Jack Jouett (CD 5)",487,559,1,"1,047"
"Albemarle County",-,"202 - University Hall (CD 5)",138,299,0,437
"Albemarle County",-,"203 - Georgetown (CD 5)",300,606,0,906
"Albemarle County",-,"204 - Belfield (CD 5)",337,315,0,652
"Albemarle County",-,"301 - Ivy (CD 5)",924,"1,119",1,"2,044"
"Albemarle County",-,"302 - Red Hill (CD 5)",566,712,2,"1,280"
"Albemarle County",-,"304 - East Ivy (CD 5)",307,327,1,635
"Albemarle County",-,"305 - Country Green (CD 5)",414,508,0,922
"Albemarle County",-,"401 - Scottsville (CD 5)",390,320,2,712
"Albemarle County",-,"402 - Monticello (CD 5)",368,230,0,598
"Albemarle County",-,"403 - Porters (CD 5)",238,362,0,600
"Albemarle County",-,"405 - Cale (CD 5)",600,"1,067",1,"1,668"
"Albemarle County",-,"406 - Stone Robinson (CD 5)",929,536,0,"1,465"
"Albemarle County",-,"501 - Keswick (CD 5)",302,359,0,661
"Albemarle County",-,"502 - Stony Point (CD 5)",370,349,0,719
"Albemarle County",-,"503 - Hollymead (CD 5)","1,220","1,043",0,"2,263"
"Albemarle County",-,"504 - Free Bridge (CD 5)",642,818,0,"1,460"
"Albemarle County",-,"505 - Burnley (CD 5)",360,292,0,652
"Albemarle County",-,"601 - Crozet (CD 5)",810,916,0,"1,726"
"Albemarle County",-,"602 - Free Union (CD 5)",358,328,0,686
"Albemarle County",-,"603 - Earlysville (CD 5)",875,696,2,"1,573"
"Albemarle County",-,"604 - Brownsville (CD 5)",729,687,0,"1,416"
"Albemarle County",-,"605 - Yellow Mountain (CD 5)",160,167,0,327
"Albemarle County",-,"Ab - Central Absentee Precinct (CD 5)",859,854,1,"1,714"
"Albemarle County",-,"Provisional Votes (CD 5)",4,7,0,11
"Alexandria City",-,"101 - Ladrey Senior Building (CD 8)",390,544,2,936
"Alexandria City",-,"102 - City Hall (CD 8)",558,693,4,"1,255"
"Alexandria City",-,"103 - Lyles Crouch School (CD 8)",486,652,1,"1,139"
"Alexandria City",-,"104 - Durant Center (CD 8)",440,977,2,"1,419"
"Alexandria City",-,"105 - Lee Center (CD 8)",538,993,3,"1,534"
"Alexandria City",-,"106 - Cora Kelly Center (CD 8)",366,"1,216",3,"1,585"
"Alexandria City",-,"107 - Mt Vernon Recreation Center (CD 8)",440,"1,088",1,"1,529"
"Alexandria City",-,"108 - George Washington Middle Sch (CD 8)",327,948,1,"1,276"
"Alexandria City",-,"109 - Fire Department Headquarters (CD 8)",521,800,1,"1,322"
"Alexandria City",-,"201 - Maury School (CD 8)",472,974,2,"1,448"
"Alexandria City",-,"202 - George Mason School (CD 8)",610,915,2,"1,527"
"Alexandria City",-,"203 - Agudas Achim Synagogue (CD 8)",391,931,1,"1,323"
"Alexandria City",-,"204 - Blessed Sacrament Church (CD 8)",513,817,2,"1,332"
"Alexandria City",-,"205 - Douglas Macarthur School (CD 8)",605,935,1,"1,541"
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr (CD 8)",372,696,0,"1,068"
"Alexandria City",-,"207 - Temple Beth El Synagogue (CD 8)",607,896,0,"1,503"
"Alexandria City",-,"208 - Nova Arts Center (CD 8)",372,572,1,945
"Alexandria City",-,"209 - James K Polk School (CD 8)",431,905,1,"1,337"
"Alexandria City",-,"210 - St James Church (CD 8)",271,454,0,725
"Alexandria City",-,"302 - Patrick Henry Rec Center (CD 8)",259,580,1,840
"Alexandria City",-,"303 - Charles E Beatley Library (CD 8)",304,751,1,"1,056"
"Alexandria City",-,"304 - Samuel Tucker School (CD 8)",287,766,0,"1,053"
"Alexandria City",-,"305 - John Adams School (CD 8)",281,764,0,"1,045"
"Alexandria City",-,"306 - William Ramsay School (CD 8)",237,681,0,918
"Alexandria City",-,"307 - South Port (CD 8)",342,691,0,"1,033"
"Alexandria City",-,"308 - Cameron Station Community Ctr (CD 8)",599,820,2,"1,421"
"Alexandria City",-,"Ab - Central Absentee Precinct (CD 8)","1,128","1,619",3,"2,750"
"Alexandria City",-,"Provisional Votes (CD 8)",11,19,0,30
"Alleghany County",-,"101 - Arritt (CD 9)",193,263,0,456
"Alleghany County",-,"103 - Dameron (CD 9)",111,85,0,196
"Alleghany County",-,"201 - Humpback Bridge (CD 6)",135,152,1,288
"Alleghany County",-,"202 - Dolly Ann (CD 6)",203,246,0,449
"Alleghany County",-,"301 - Callaghan (CD 6)",141,132,0,273
"Alleghany County",-,"302 - Griffith (CD 6)",266,322,0,588
"Alleghany County",-,"401 - Low Moor (CD 9)",202,246,2,450
"Alleghany County",-,"402 - Jackson Heights (CD 9)",176,192,0,368
"Alleghany County",-,"501 - Iron Gate (CD 9)",93,113,0,206
"Alleghany County",-,"502 - Peters Switch (CD 9)",234,293,0,527
"Alleghany County",-,"601 - District 1 (CD 9)",237,402,1,640
"Alleghany County",-,"701 - District 2 (CD 9)",139,311,0,450
"Alleghany County",-,"Ab - Central Absentee Precinct (CD 6)",31,40,0,71
"Alleghany County",-,"Ab - Central Absentee Precinct (CD 9)",48,59,0,107
"Alleghany County",-,"Provisional Votes (CD 6)",1,0,0,1
"Alleghany County",-,"Provisional Votes (CD 9)",0,0,0,0
"Amelia County",-,"101 - Number One (CD 4)",420,202,0,622
"Amelia County",-,"201 - Number Two (CD 4)",542,256,0,798
"Amelia County",-,"301 - Number Three (CD 4)",577,153,0,730
"Amelia County",-,"401 - Number Four (CD 4)",600,221,0,821
"Amelia County",-,"501 - Number Five (CD 4)",496,323,1,820
"Amelia County",-,"Ab - Central Absentee Precinct (CD 4)",159,52,0,211
"Amelia County",-,"Provisional Votes (CD 4)",0,0,0,0
"Amherst County",-,"101 - Wright Shop (CD 6)",244,318,1,563
"Amherst County",-,"102 - New Glasgow (CD 6)",380,240,0,620
"Amherst County",-,"103 - Coolwell (CD 6)",224,77,0,301
"Amherst County",-,"201 - Court House (CD 6)",823,417,1,"1,241"
"Amherst County",-,"202 - Temperance (CD 6)",347,144,0,491
"Amherst County",-,"301 - Monroe (CD 6)",353,164,2,519
"Amherst County",-,"302 - Elon (CD 6)",895,273,0,"1,168"
"Amherst County",-,"303 - Pleasant View (CD 6)",222,82,0,304
"Amherst County",-,"401 - Amelon (CD 6)",880,383,1,"1,264"
"Amherst County",-,"402 - Lonco (CD 6)",193,74,0,267
"Amherst County",-,"501 - Madison (CD 6)",816,449,0,"1,265"
"Amherst County",-,"Ab - Central Absentee Precinct (CD 6)",179,112,0,291
"Amherst County",-,"Provisional Votes (CD 6)",0,0,0,0
"Appomattox County",-,"101 - Vera (CD 5)",234,67,0,301
"Appomattox County",-,"102 - Pamplin (CD 5)",395,162,0,557
"Appomattox County",-,"201 - Chap (CD 5)",199,99,1,299
"Appomattox County",-,"202 - Spout Spring (CD 5)",442,121,0,563
"Appomattox County",-,"301 - 460 (CD 5)",394,117,0,511
"Appomattox County",-,"302 - Stonewall (CD 5)",358,131,0,489
"Appomattox County",-,"401 - Courthouse (CD 5)",529,190,0,719
"Appomattox County",-,"501 - Oakville (CD 5)",457,173,0,630
"Appomattox County",-,"502 - Agee (CD 5)",160,89,0,249
"Appomattox County",-,"Ab - Central Absentee Precinct (CD 5)",129,56,0,185
"Appomattox County",-,"Provisional Votes (CD 5)",0,0,0,0
"Arlington County",-,"1 - Arlington (CD 8)",172,505,2,679
"Arlington County",-,"2 - Ashton Heights (CD 8)",300,890,0,"1,190"
"Arlington County",-,"3 - Aurora Hills (CD 8)",338,534,2,874
"Arlington County",-,"4 - Ballston (CD 8)",292,611,1,904
"Arlington County",-,"5 - Barcroft (CD 8)",289,652,0,941
"Arlington County",-,"6 - Crystal City (CD 8)",313,460,0,773
"Arlington County",-,"7 - Cherrydale (CD 8)",400,860,1,"1,261"
"Arlington County",-,"8 - Hume (CD 8)",451,690,2,"1,143"
"Arlington County",-,"9 - Columbia (CD 8)",244,800,2,"1,046"
