county,precinct,office,district,party,candidate,votes
ACCOMACK,101 - CHINCOTEAGUE,Attorney General,,REP,Jason S. Miyares,1075
ACCOMACK,101 - CHINCOTEAGUE,Attorney General,,DEM,Jay C. Jones,574
ACCOMACK,101 - CHINCOTEAGUE,Governor,,DEM,Abigail D. Spanberger,630
ACCOMACK,101 - CHINCOTEAGUE,Governor,,REP,Winsome Earle-Sears,1033
ACCOMACK,101 - CHINCOTEAGUE,Lieutenant Governor,,DEM,Ghazala F. Hashmi,597
ACCOMACK,101 - CHINCOTEAGUE,Lieutenant Governor,,REP,"John J. Reid, II",1059
ACCOMACK,101 - CHINCOTEAGUE,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,554
ACCOMACK,101 - CHINCOTEAGUE,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,1105
ACCOMACK,201 - ATLANTIC,Attorney General,,REP,Jason S. Miyares,439
ACCOMACK,201 - ATLANTIC,Attorney General,,DEM,Jay C. Jones,161
ACCOMACK,201 - ATLANTIC,Governor,,DEM,Abigail D. Spanberger,174
ACCOMACK,201 - ATLANTIC,Governor,,REP,Winsome Earle-Sears,427
ACCOMACK,201 - ATLANTIC,Lieutenant Governor,,DEM,Ghazala F. Hashmi,169
ACCOMACK,201 - ATLANTIC,Lieutenant Governor,,REP,"John J. Reid, II",428
ACCOMACK,201 - ATLANTIC,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,152
ACCOMACK,201 - ATLANTIC,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,449
ACCOMACK,202 - GREENBACKVILLE,Attorney General,,REP,Jason S. Miyares,755
ACCOMACK,202 - GREENBACKVILLE,Attorney General,,DEM,Jay C. Jones,293
ACCOMACK,202 - GREENBACKVILLE,Governor,,DEM,Abigail D. Spanberger,329
ACCOMACK,202 - GREENBACKVILLE,Governor,,REP,Winsome Earle-Sears,732
ACCOMACK,202 - GREENBACKVILLE,Lieutenant Governor,,DEM,Ghazala F. Hashmi,322
ACCOMACK,202 - GREENBACKVILLE,Lieutenant Governor,,REP,"John J. Reid, II",735
ACCOMACK,202 - GREENBACKVILLE,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,315
ACCOMACK,202 - GREENBACKVILLE,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,745
ACCOMACK,301 - NEW CHURCH,Attorney General,,REP,Jason S. Miyares,539
ACCOMACK,301 - NEW CHURCH,Attorney General,,DEM,Jay C. Jones,572
ACCOMACK,301 - NEW CHURCH,Governor,,DEM,Abigail D. Spanberger,608
ACCOMACK,301 - NEW CHURCH,Governor,,REP,Winsome Earle-Sears,509
ACCOMACK,301 - NEW CHURCH,Lieutenant Governor,,DEM,Ghazala F. Hashmi,580
ACCOMACK,301 - NEW CHURCH,Lieutenant Governor,,REP,"John J. Reid, II",528
ACCOMACK,301 - NEW CHURCH,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,562
ACCOMACK,301 - NEW CHURCH,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,547
ACCOMACK,401 - BLOXOM,Attorney General,,REP,Jason S. Miyares,343
ACCOMACK,401 - BLOXOM,Attorney General,,DEM,Jay C. Jones,153
ACCOMACK,401 - BLOXOM,Governor,,DEM,Abigail D. Spanberger,158
ACCOMACK,401 - BLOXOM,Governor,,REP,Winsome Earle-Sears,341
ACCOMACK,401 - BLOXOM,Lieutenant Governor,,DEM,Ghazala F. Hashmi,150
ACCOMACK,401 - BLOXOM,Lieutenant Governor,,REP,"John J. Reid, II",343
ACCOMACK,401 - BLOXOM,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,145
ACCOMACK,401 - BLOXOM,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,354
ACCOMACK,402 - PARKSLEY,Attorney General,,REP,Jason S. Miyares,408
ACCOMACK,402 - PARKSLEY,Attorney General,,DEM,Jay C. Jones,198
ACCOMACK,402 - PARKSLEY,Governor,,DEM,Abigail D. Spanberger,225
ACCOMACK,402 - PARKSLEY,Governor,,REP,Winsome Earle-Sears,385
ACCOMACK,402 - PARKSLEY,Lieutenant Governor,,DEM,Ghazala F. Hashmi,208
ACCOMACK,402 - PARKSLEY,Lieutenant Governor,,REP,"John J. Reid, II",392
ACCOMACK,402 - PARKSLEY,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,183
ACCOMACK,402 - PARKSLEY,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,424
ACCOMACK,403 - SAXIS,Attorney General,,REP,Jason S. Miyares,125
ACCOMACK,403 - SAXIS,Attorney General,,DEM,Jay C. Jones,37
ACCOMACK,403 - SAXIS,Governor,,DEM,Abigail D. Spanberger,42
ACCOMACK,403 - SAXIS,Governor,,REP,Winsome Earle-Sears,121
ACCOMACK,403 - SAXIS,Lieutenant Governor,,DEM,Ghazala F. Hashmi,42
ACCOMACK,403 - SAXIS,Lieutenant Governor,,REP,"John J. Reid, II",120
ACCOMACK,403 - SAXIS,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,33
ACCOMACK,403 - SAXIS,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,129
ACCOMACK,501 - MAPPSVILLE,Attorney General,,REP,Jason S. Miyares,224
ACCOMACK,501 - MAPPSVILLE,Attorney General,,DEM,Jay C. Jones,274
ACCOMACK,501 - MAPPSVILLE,Governor,,DEM,Abigail D. Spanberger,298
ACCOMACK,501 - MAPPSVILLE,Governor,,REP,Winsome Earle-Sears,207
ACCOMACK,501 - MAPPSVILLE,Lieutenant Governor,,DEM,Ghazala F. Hashmi,281
ACCOMACK,501 - MAPPSVILLE,Lieutenant Governor,,REP,"John J. Reid, II",218
ACCOMACK,501 - MAPPSVILLE,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,264
ACCOMACK,501 - MAPPSVILLE,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,241
ACCOMACK,502 - RUE,Attorney General,,REP,Jason S. Miyares,129
ACCOMACK,502 - RUE,Attorney General,,DEM,Jay C. Jones,325
ACCOMACK,502 - RUE,Governor,,DEM,Abigail D. Spanberger,339
ACCOMACK,502 - RUE,Governor,,REP,Winsome Earle-Sears,120
ACCOMACK,502 - RUE,Lieutenant Governor,,DEM,Ghazala F. Hashmi,320
ACCOMACK,502 - RUE,Lieutenant Governor,,REP,"John J. Reid, II",134
ACCOMACK,502 - RUE,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,314
ACCOMACK,502 - RUE,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,141
ACCOMACK,601 - ACCOMAC,Attorney General,,REP,Jason S. Miyares,654
ACCOMACK,601 - ACCOMAC,Attorney General,,DEM,Jay C. Jones,465
ACCOMACK,601 - ACCOMAC,Governor,,DEM,Abigail D. Spanberger,511
ACCOMACK,601 - ACCOMAC,Governor,,REP,Winsome Earle-Sears,621
ACCOMACK,601 - ACCOMAC,Lieutenant Governor,,DEM,Ghazala F. Hashmi,474
ACCOMACK,601 - ACCOMAC,Lieutenant Governor,,REP,"John J. Reid, II",647
ACCOMACK,601 - ACCOMAC,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,439
ACCOMACK,601 - ACCOMAC,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,686
ACCOMACK,602 - TANGIER,Attorney General,,REP,Jason S. Miyares,129
ACCOMACK,602 - TANGIER,Attorney General,,DEM,Jay C. Jones,9
ACCOMACK,602 - TANGIER,Governor,,DEM,Abigail D. Spanberger,10
ACCOMACK,602 - TANGIER,Governor,,REP,Winsome Earle-Sears,129
ACCOMACK,602 - TANGIER,Lieutenant Governor,,DEM,Ghazala F. Hashmi,12
ACCOMACK,602 - TANGIER,Lieutenant Governor,,REP,"John J. Reid, II",125
ACCOMACK,602 - TANGIER,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,9
ACCOMACK,602 - TANGIER,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,131
ACCOMACK,701 - NANDUA,Attorney General,,REP,Jason S. Miyares,970
ACCOMACK,701 - NANDUA,Attorney General,,DEM,Jay C. Jones,788
ACCOMACK,701 - NANDUA,Governor,,DEM,Abigail D. Spanberger,874
ACCOMACK,701 - NANDUA,Governor,,REP,Winsome Earle-Sears,905
ACCOMACK,701 - NANDUA,Lieutenant Governor,,DEM,Ghazala F. Hashmi,837
ACCOMACK,701 - NANDUA,Lieutenant Governor,,REP,"John J. Reid, II",934
ACCOMACK,701 - NANDUA,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,766
ACCOMACK,701 - NANDUA,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,1007
ACCOMACK,801 - BOBTOWN,Attorney General,,REP,Jason S. Miyares,393
ACCOMACK,801 - BOBTOWN,Attorney General,,DEM,Jay C. Jones,180
ACCOMACK,801 - BOBTOWN,Governor,,DEM,Abigail D. Spanberger,205
ACCOMACK,801 - BOBTOWN,Governor,,REP,Winsome Earle-Sears,375
ACCOMACK,801 - BOBTOWN,Lieutenant Governor,,DEM,Ghazala F. Hashmi,190
ACCOMACK,801 - BOBTOWN,Lieutenant Governor,,REP,"John J. Reid, II",388
ACCOMACK,801 - BOBTOWN,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,166
ACCOMACK,801 - BOBTOWN,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,416
ACCOMACK,802 - MELFA,Attorney General,,REP,Jason S. Miyares,314
ACCOMACK,802 - MELFA,Attorney General,,DEM,Jay C. Jones,352
ACCOMACK,802 - MELFA,Governor,,DEM,Abigail D. Spanberger,368
ACCOMACK,802 - MELFA,Governor,,REP,Winsome Earle-Sears,302
ACCOMACK,802 - MELFA,Lieutenant Governor,,DEM,Ghazala F. Hashmi,358
ACCOMACK,802 - MELFA,Lieutenant Governor,,REP,"John J. Reid, II",310
ACCOMACK,802 - MELFA,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,341
ACCOMACK,802 - MELFA,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,329
ACCOMACK,803 - WACHAPREAGUE,Attorney General,,REP,Jason S. Miyares,324
ACCOMACK,803 - WACHAPREAGUE,Attorney General,,DEM,Jay C. Jones,155
ACCOMACK,803 - WACHAPREAGUE,Governor,,DEM,Abigail D. Spanberger,171
ACCOMACK,803 - WACHAPREAGUE,Governor,,REP,Winsome Earle-Sears,309
ACCOMACK,803 - WACHAPREAGUE,Lieutenant Governor,,DEM,Ghazala F. Hashmi,163
ACCOMACK,803 - WACHAPREAGUE,Lieutenant Governor,,REP,"John J. Reid, II",315
ACCOMACK,803 - WACHAPREAGUE,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,147
ACCOMACK,803 - WACHAPREAGUE,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,332
ACCOMACK,901 - PAINTER,Attorney General,,REP,Jason S. Miyares,641
ACCOMACK,901 - PAINTER,Attorney General,,DEM,Jay C. Jones,943
ACCOMACK,901 - PAINTER,Governor,,DEM,Abigail D. Spanberger,983
ACCOMACK,901 - PAINTER,Governor,,REP,Winsome Earle-Sears,613
ACCOMACK,901 - PAINTER,Lieutenant Governor,,DEM,Ghazala F. Hashmi,955
ACCOMACK,901 - PAINTER,Lieutenant Governor,,REP,"John J. Reid, II",627
ACCOMACK,901 - PAINTER,"Member, House of Delegates (100th District)",100,DEM,Liz W. Richardson,926
ACCOMACK,901 - PAINTER,"Member, House of Delegates (100th District)",100,REP,Robert S. Bloxom Jr.,660
ALBEMARLE,101 - WOODBROOK,Attorney General,,REP,Jason S. Miyares,656
ALBEMARLE,101 - WOODBROOK,Attorney General,,DEM,Jay C. Jones,1289
ALBEMARLE,101 - WOODBROOK,Governor,,DEM,Abigail D. Spanberger,1421
ALBEMARLE,101 - WOODBROOK,Governor,,REP,Winsome Earle-Sears,585
ALBEMARLE,101 - WOODBROOK,Lieutenant Governor,,DEM,Ghazala F. Hashmi,1367
ALBEMARLE,101 - WOODBROOK,Lieutenant Governor,,REP,"John J. Reid, II",616
ALBEMARLE,101 - WOODBROOK,Member Board of Supervisors (Rio District),RIO DISTRICT,,Ned L. Gallaway,1436
ALBEMARLE,101 - WOODBROOK,Member School Board (Rio District),RIO DISTRICT,,Jim E. Dillenbeck,997
ALBEMARLE,101 - WOODBROOK,Member School Board (Rio District),RIO DISTRICT,,Leslie A. Pryor,802
ALBEMARLE,101 - WOODBROOK,"Member, House of Delegates (54th District)",054,DEM,Katrina E. Callsen,1477
ALBEMARLE,103 - BRANCHLANDS,Attorney General,,REP,Jason S. Miyares,190
ALBEMARLE,103 - BRANCHLANDS,Attorney General,,DEM,Jay C. Jones,468
ALBEMARLE,103 - BRANCHLANDS,Governor,,DEM,Abigail D. Spanberger,514
ALBEMARLE,103 - BRANCHLANDS,Governor,,REP,Winsome Earle-Sears,168
ALBEMARLE,103 - BRANCHLANDS,Lieutenant Governor,,DEM,Ghazala F. Hashmi,493
ALBEMARLE,103 - BRANCHLANDS,Lieutenant Governor,,REP,"John J. Reid, II",180
ALBEMARLE,103 - BRANCHLANDS,Member Board of Supervisors (Rio District),RIO DISTRICT,,Ned L. Gallaway,496
ALBEMARLE,103 - BRANCHLANDS,Member School Board (Rio District),RIO DISTRICT,,Jim E. Dillenbeck,281
ALBEMARLE,103 - BRANCHLANDS,Member School Board (Rio District),RIO DISTRICT,,Leslie A. Pryor,265
ALBEMARLE,103 - BRANCHLANDS,"Member, House of Delegates (54th District)",054,DEM,Katrina E. Callsen,521
ALBEMARLE,104 - AGNOR-HURT,Attorney General,,REP,Jason S. Miyares,365
ALBEMARLE,104 - AGNOR-HURT,Attorney General,,DEM,Jay C. Jones,1052
ALBEMARLE,104 - AGNOR-HURT,Governor,,DEM,Abigail D. Spanberger,1131
ALBEMARLE,104 - AGNOR-HURT,Governor,,REP,Winsome Earle-Sears,319
ALBEMARLE,104 - AGNOR-HURT,Lieutenant Governor,,DEM,Ghazala F. Hashmi,1098
ALBEMARLE,104 - AGNOR-HURT,Lieutenant Governor,,REP,"John J. Reid, II",332
ALBEMARLE,104 - AGNOR-HURT,Member Board of Supervisors (Rio District),RIO DISTRICT,,Ned L. Gallaway,1072
ALBEMARLE,104 - AGNOR-HURT,Member School Board (Rio District),RIO DISTRICT,,Jim E. Dillenbeck,617
ALBEMARLE,104 - AGNOR-HURT,Member School Board (Rio District),RIO DISTRICT,,Leslie A. Pryor,643
ALBEMARLE,104 - AGNOR-HURT,"Member, House of Delegates (54th District)",054,DEM,Katrina E. Callsen,1173
ALBEMARLE,105 - DUNLORA,Attorney General,,REP,Jason S. Miyares,596
ALBEMARLE,105 - DUNLORA,Attorney General,,DEM,Jay C. Jones,1964
ALBEMARLE,105 - DUNLORA,Governor,,DEM,Abigail D. Spanberger,2123
ALBEMARLE,105 - DUNLORA,Governor,,REP,Winsome Earle-Sears,499
ALBEMARLE,105 - DUNLORA,Lieutenant Governor,,DEM,Ghazala F. Hashmi,2049
ALBEMARLE,105 - DUNLORA,Lieutenant Governor,,REP,"John J. Reid, II",559
ALBEMARLE,105 - DUNLORA,Member Board of Supervisors (Rio District),RIO DISTRICT,,Ned L. Gallaway,2020
ALBEMARLE,105 - DUNLORA,Member School Board (Rio District),RIO DISTRICT,,Jim E. Dillenbeck,1117
ALBEMARLE,105 - DUNLORA,Member School Board (Rio District),RIO DISTRICT,,Leslie A. Pryor,1114
ALBEMARLE,105 - DUNLORA,"Member, House of Delegates (54th District)",054,DEM,Katrina E. Callsen,2162
ALBEMARLE,106 - NORTHSIDE,Attorney General,,REP,Jason S. Miyares,768
ALBEMARLE,106 - NORTHSIDE,Attorney General,,DEM,Jay C. Jones,1120
ALBEMARLE,106 - NORTHSIDE,Governor,,DEM,Abigail D. Spanberger,1240
ALBEMARLE,106 - NORTHSIDE,Governor,,REP,Winsome Earle-Sears,698
ALBEMARLE,106 - NORTHSIDE,Lieutenant Governor,,DEM,Ghazala F. Hashmi,1197
ALBEMARLE,106 - NORTHSIDE,Lieutenant Governor,,REP,"John J. Reid, II",725
ALBEMARLE,106 - NORTHSIDE,Member Board of Supervisors (Rio District),RIO DISTRICT,,Ned L. Gallaway,1277
ALBEMARLE,106 - NORTHSIDE,Member School Board (Rio District),RIO DISTRICT,,Jim E. Dillenbeck,825
ALBEMARLE,106 - NORTHSIDE,Member School Board (Rio District),RIO DISTRICT,,Leslie A. Pryor,749
ALBEMARLE,106 - NORTHSIDE,"Member, House of Delegates (55th District)",055,DEM,Amy J. Laufer,1355
ALBEMARLE,201 - JACK JOUETT,Attorney General,,REP,Jason S. Miyares,873
ALBEMARLE,201 - JACK JOUETT,Attorney General,,DEM,Jay C. Jones,1524
ALBEMARLE,201 - JACK JOUETT,Governor,,DEM,Abigail D. Spanberger,1712
ALBEMARLE,201 - JACK JOUETT,Governor,,REP,Winsome Earle-Sears,757
ALBEMARLE,201 - JACK JOUETT,Lieutenant Governor,,DEM,Ghazala F. Hashmi,1633
ALBEMARLE,201 - JACK JOUETT,Lieutenant Governor,,REP,"John J. Reid, II",812
ALBEMARLE,201 - JACK JOUETT,Member Board of Supervisors (Jack Jouett District),JACK JOUETT DISTRICT,,Sally A. Duncan,1739
ALBEMARLE,201 - JACK JOUETT,Member School Board (Jack Jouett District),JACK JOUETT DISTRICT,,Kate L. Acuff,1721
ALBEMARLE,201 - JACK JOUETT,"Member, House of Delegates (55th District)",055,DEM,Amy J. Laufer,1816
ALBEMARLE,202 - UNIVERSITY,Attorney General,,REP,Jason S. Miyares,334
ALBEMARLE,202 - UNIVERSITY,Attorney General,,DEM,Jay C. Jones,1511
ALBEMARLE,202 - UNIVERSITY,Governor,,DEM,Abigail D. Spanberger,1686
ALBEMARLE,202 - UNIVERSITY,Governor,,REP,Winsome Earle-Sears,214
ALBEMARLE,202 - UNIVERSITY,Lieutenant Governor,,DEM,Ghazala F. Hashmi,1622
ALBEMARLE,202 - UNIVERSITY,Lieutenant Governor,,REP,"John J. Reid, II",251
ALBEMARLE,202 - UNIVERSITY,Member Board of Supervisors (Jack Jouett District),JACK JOUETT DISTRICT,,Sally A. Duncan,1595
ALBEMARLE,202 - UNIVERSITY,Member School Board (Jack Jouett District),JACK JOUETT DISTRICT,,Kate L. Acuff,1588
ALBEMARLE,202 - UNIVERSITY,"Member, House of Delegates (54th District)",054,DEM,Katrina E. Callsen,1721
ALBEMARLE,203 - GEORGETOWN,Attorney General,,REP,Jason S. Miyares,360
ALBEMARLE,203 - GEORGETOWN,Attorney General,,DEM,Jay C. Jones,1358
ALBEMARLE,203 - GEORGETOWN,Governor,,DEM,Abigail D. Spanberger,1452
ALBEMARLE,203 - GEORGETOWN,Governor,,REP,Winsome Earle-Sears,302
ALBEMARLE,203 - GEORGETOWN,Lieutenant Governor,,DEM,Ghazala F. Hashmi,1425
ALBEMARLE,203 - GEORGETOWN,Lieutenant Governor,,REP,"John J. Reid, II",316
ALBEMARLE,203 - GEORGETOWN,Member Board of Supervisors (Jack Jouett District),JACK JOUETT DISTRICT,,Sally A. Duncan,1356
ALBEMARLE,203 - GEORGETOWN,Member School Board (Jack Jouett District),JACK JOUETT DISTRICT,,Kate L. Acuff,1322
ALBEMARLE,203 - GEORGETOWN,"Member, House of Delegates (54th District)",054,DEM,Katrina E. Callsen,1481
ALBEMARLE,301 - IVY,Attorney General,,REP,Jason S. Miyares,908
ALBEMARLE,301 - IVY,Attorney General,,DEM,Jay C. Jones,1904
ALBEMARLE,301 - IVY,Governor,,DEM,Abigail D. Spanberger,2137
ALBEMARLE,301 - IVY,Governor,,REP,Winsome Earle-Sears,760
ALBEMARLE,301 - IVY,Lieutenant Governor,,DEM,Ghazala F. Hashmi,2050
ALBEMARLE,301 - IVY,Lieutenant Governor,,REP,"John J. Reid, II",833
ALBEMARLE,301 - IVY,Member Board of Supervisors (Samuel Miller District),SAMUEL MILLER DISTRICT,,"Frederick A ""Fred"" Missel",1812
ALBEMARLE,301 - IVY,Member Board of Supervisors (Samuel Miller District),SAMUEL MILLER DISTRICT,,Scott A. Smith,798
ALBEMARLE,301 - IVY,Member School Board (Samuel Miller District),SAMUEL MILLER DISTRICT,,"Robert E. ""Bob"" Beard",2049
ALBEMARLE,301 - IVY,"Member, House of Delegates (55th District)",055,DEM,Amy J. Laufer,2195
ALBEMARLE,302 - RED HILL,Attorney General,,REP,Jason S. Miyares,797
