county,precinct,office,district,party,candidate,votes
ACCOMACK,101 - CHINCOTEAGUE,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",566
ACCOMACK,101 - CHINCOTEAGUE,Lieutenant Governor,,DEM,Ralph Shearer Northam,491
ACCOMACK,201 - ATLANTIC,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",255
ACCOMACK,201 - ATLANTIC,Lieutenant Governor,,DEM,Ralph Shearer Northam,216
ACCOMACK,202 - GREENBACKVILLE,Lieutenant Governor,,OTH,All Others,1
ACCOMACK,202 - GREENBACKVILLE,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",323
ACCOMACK,202 - GREENBACKVILLE,Lieutenant Governor,,DEM,Ralph Shearer Northam,218
ACCOMACK,301 - OAK HALL,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",261
ACCOMACK,301 - OAK HALL,Lieutenant Governor,,DEM,Ralph Shearer Northam,382
ACCOMACK,401 - BLOXOM,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",177
ACCOMACK,401 - BLOXOM,Lieutenant Governor,,DEM,Ralph Shearer Northam,128
ACCOMACK,402 - PARKSLEY,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",250
ACCOMACK,402 - PARKSLEY,Lieutenant Governor,,DEM,Ralph Shearer Northam,214
ACCOMACK,403 - SAXIS,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",48
ACCOMACK,403 - SAXIS,Lieutenant Governor,,DEM,Ralph Shearer Northam,49
ACCOMACK,501 - MAPPSVILLE,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",115
ACCOMACK,501 - MAPPSVILLE,Lieutenant Governor,,DEM,Ralph Shearer Northam,215
ACCOMACK,502 - RUE,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",70
ACCOMACK,502 - RUE,Lieutenant Governor,,DEM,Ralph Shearer Northam,226
ACCOMACK,601 - ACCOMAC,Lieutenant Governor,,OTH,All Others,2
ACCOMACK,601 - ACCOMAC,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",305
ACCOMACK,601 - ACCOMAC,Lieutenant Governor,,DEM,Ralph Shearer Northam,416
ACCOMACK,602 - TANGIER,Lieutenant Governor,,OTH,All Others,1
ACCOMACK,602 - TANGIER,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",118
ACCOMACK,602 - TANGIER,Lieutenant Governor,,DEM,Ralph Shearer Northam,44
ACCOMACK,701 - ONANCOCK,Lieutenant Governor,,REP,"Earl Walker Jackson, Sr.",333
ACCOMACK,701 - ONANCOCK,Lieutenant Governor,,DEM,Ralph Shearer Northam,555
ACCOMACK,702 - ONLEY,Lieutenant Governor,,OTH,All Others,1
