county,precinct,office,district,party,candidate,votes
ACCOMACK COUNTY,901 - PAINTER,Governor,,REP,"Kenneth Thomas Cuccinelli, II",382
ACCOMACK COUNTY,901 - PAINTER,Governor,,LIB,Robert Christopher Sarvis,44
ACCOMACK COUNTY,901 - PAINTER,Governor,,DEM,Terence Richard McAuliffe,609
ACCOMACK COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,OTH,All Others,1
ACCOMACK COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,REP,"Kenneth Thomas Cuccinelli, II",159
ACCOMACK COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,LIB,Robert Christopher Sarvis,25
ACCOMACK COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,DEM,Terence Richard McAuliffe,166
ALBEMARLE COUNTY,101 - WOODBROOK,Governor,,OTH,All Others,17
ALBEMARLE COUNTY,101 - WOODBROOK,Governor,,REP,"Kenneth Thomas Cuccinelli, II",561
ALBEMARLE COUNTY,101 - WOODBROOK,Governor,,LIB,Robert Christopher Sarvis,137
ALBEMARLE COUNTY,101 - WOODBROOK,Governor,,DEM,Terence Richard McAuliffe,767
ALBEMARLE COUNTY,103 - BRANCHLANDS,Governor,,OTH,All Others,3
ALBEMARLE COUNTY,103 - BRANCHLANDS,Governor,,REP,"Kenneth Thomas Cuccinelli, II",138
ALBEMARLE COUNTY,103 - BRANCHLANDS,Governor,,LIB,Robert Christopher Sarvis,47
ALBEMARLE COUNTY,103 - BRANCHLANDS,Governor,,DEM,Terence Richard McAuliffe,341
ALBEMARLE COUNTY,104 - AGNOR-HURT,Governor,,OTH,All Others,8
ALBEMARLE COUNTY,104 - AGNOR-HURT,Governor,,REP,"Kenneth Thomas Cuccinelli, II",290
ALBEMARLE COUNTY,104 - AGNOR-HURT,Governor,,LIB,Robert Christopher Sarvis,87
ALBEMARLE COUNTY,104 - AGNOR-HURT,Governor,,DEM,Terence Richard McAuliffe,680
ALBEMARLE COUNTY,105 - DUNLORA,Governor,,OTH,All Others,8
ALBEMARLE COUNTY,105 - DUNLORA,Governor,,REP,"Kenneth Thomas Cuccinelli, II",438
ALBEMARLE COUNTY,105 - DUNLORA,Governor,,LIB,Robert Christopher Sarvis,130
ALBEMARLE COUNTY,105 - DUNLORA,Governor,,DEM,Terence Richard McAuliffe,775
ALBEMARLE COUNTY,106 - NORTHSIDE,Governor,,OTH,All Others,11
ALBEMARLE COUNTY,106 - NORTHSIDE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",631
ALBEMARLE COUNTY,106 - NORTHSIDE,Governor,,LIB,Robert Christopher Sarvis,133
ALBEMARLE COUNTY,106 - NORTHSIDE,Governor,,DEM,Terence Richard McAuliffe,688
ALBEMARLE COUNTY,201 - JACK JOUETT,Governor,,OTH,All Others,11
ALBEMARLE COUNTY,201 - JACK JOUETT,Governor,,REP,"Kenneth Thomas Cuccinelli, II",424
ALBEMARLE COUNTY,201 - JACK JOUETT,Governor,,LIB,Robert Christopher Sarvis,94
ALBEMARLE COUNTY,201 - JACK JOUETT,Governor,,DEM,Terence Richard McAuliffe,556
ALBEMARLE COUNTY,202 - UNIVERSITY HALL,Governor,,OTH,All Others,10
ALBEMARLE COUNTY,202 - UNIVERSITY HALL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",240
ALBEMARLE COUNTY,202 - UNIVERSITY HALL,Governor,,LIB,Robert Christopher Sarvis,95
ALBEMARLE COUNTY,202 - UNIVERSITY HALL,Governor,,DEM,Terence Richard McAuliffe,719
ALBEMARLE COUNTY,203 - GEORGETOWN,Governor,,OTH,All Others,8
