county,precinct,office,district,party,candidate,votes
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,LIB,Clifford Daniel Hyra,10
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,REP,Edward Walter Gillespie,746
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,DEM,Ralph Shearer Northam,411
ACCOMACK COUNTY,201 - ATLANTIC,Governor,,LIB,Clifford Daniel Hyra,1
ACCOMACK COUNTY,201 - ATLANTIC,Governor,,REP,Edward Walter Gillespie,394
ACCOMACK COUNTY,201 - ATLANTIC,Governor,,DEM,Ralph Shearer Northam,130
ACCOMACK COUNTY,202 - GREENBACKVILLE,Governor,,LIB,Clifford Daniel Hyra,7
ACCOMACK COUNTY,202 - GREENBACKVILLE,Governor,,REP,Edward Walter Gillespie,445
ACCOMACK COUNTY,202 - GREENBACKVILLE,Governor,,DEM,Ralph Shearer Northam,203
ACCOMACK COUNTY,301 - NEW CHURCH,Governor,,LIB,Clifford Daniel Hyra,4
ACCOMACK COUNTY,301 - NEW CHURCH,Governor,,REP,Edward Walter Gillespie,365
ACCOMACK COUNTY,301 - NEW CHURCH,Governor,,DEM,Ralph Shearer Northam,357
ACCOMACK COUNTY,401 - BLOXOM,Governor,,LIB,Clifford Daniel Hyra,1
ACCOMACK COUNTY,401 - BLOXOM,Governor,,REP,Edward Walter Gillespie,221
ACCOMACK COUNTY,401 - BLOXOM,Governor,,DEM,Ralph Shearer Northam,93
ACCOMACK COUNTY,402 - PARKSLEY,Governor,,LIB,Clifford Daniel Hyra,2
ACCOMACK COUNTY,402 - PARKSLEY,Governor,,REP,Edward Walter Gillespie,327
ACCOMACK COUNTY,402 - PARKSLEY,Governor,,DEM,Ralph Shearer Northam,192
ACCOMACK COUNTY,403 - SAXIS,Governor,,REP,Edward Walter Gillespie,107
ACCOMACK COUNTY,403 - SAXIS,Governor,,DEM,Ralph Shearer Northam,29
ACCOMACK COUNTY,501 - MAPPSVILLE,Governor,,LIB,Clifford Daniel Hyra,2
ACCOMACK COUNTY,501 - MAPPSVILLE,Governor,,REP,Edward Walter Gillespie,169
ACCOMACK COUNTY,501 - MAPPSVILLE,Governor,,DEM,Ralph Shearer Northam,235
ACCOMACK COUNTY,502 - RUE,Governor,,LIB,Clifford Daniel Hyra,2
ACCOMACK COUNTY,502 - RUE,Governor,,REP,Edward Walter Gillespie,92
ACCOMACK COUNTY,502 - RUE,Governor,,DEM,Ralph Shearer Northam,240
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,LIB,Clifford Daniel Hyra,4
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,REP,Edward Walter Gillespie,460
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,DEM,Ralph Shearer Northam,365
ACCOMACK COUNTY,602 - TANGIER,Governor,,REP,Edward Walter Gillespie,156
ACCOMACK COUNTY,602 - TANGIER,Governor,,DEM,Ralph Shearer Northam,18
ACCOMACK COUNTY,701 - NANDUA,Governor,,LIB,Clifford Daniel Hyra,7
ACCOMACK COUNTY,701 - NANDUA,Governor,,REP,Edward Walter Gillespie,714
ACCOMACK COUNTY,701 - NANDUA,Governor,,DEM,Ralph Shearer Northam,729
ACCOMACK COUNTY,801 - BOBTOWN,Governor,,LIB,Clifford Daniel Hyra,3
ACCOMACK COUNTY,801 - BOBTOWN,Governor,,REP,Edward Walter Gillespie,291
ACCOMACK COUNTY,801 - BOBTOWN,Governor,,DEM,Ralph Shearer Northam,186
ACCOMACK COUNTY,802 - MELFA,Governor,,LIB,Clifford Daniel Hyra,1
ACCOMACK COUNTY,802 - MELFA,Governor,,REP,Edward Walter Gillespie,249
ACCOMACK COUNTY,802 - MELFA,Governor,,DEM,Ralph Shearer Northam,323
ACCOMACK COUNTY,803 - WACHAPREAGUE,Governor,,REP,Edward Walter Gillespie,266
ACCOMACK COUNTY,803 - WACHAPREAGUE,Governor,,DEM,Ralph Shearer Northam,142
ACCOMACK COUNTY,901 - PAINTER,Governor,,LIB,Clifford Daniel Hyra,5
ACCOMACK COUNTY,901 - PAINTER,Governor,,REP,Edward Walter Gillespie,457
ACCOMACK COUNTY,901 - PAINTER,Governor,,DEM,Ralph Shearer Northam,754
ACCOMACK COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,LIB,Clifford Daniel Hyra,5
ACCOMACK COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,REP,Edward Walter Gillespie,277
ACCOMACK COUNTY,AB - CENTRAL ABSENTEE PRECINCT,Governor,,DEM,Ralph Shearer Northam,469
ALBEMARLE COUNTY,101 - WOODBROOK,Governor,,LIB,Clifford Daniel Hyra,20
ALBEMARLE COUNTY,101 - WOODBROOK,Governor,,REP,Edward Walter Gillespie,574
ALBEMARLE COUNTY,101 - WOODBROOK,Governor,,DEM,Ralph Shearer Northam,1020
ALBEMARLE COUNTY,103 - BRANCHLANDS,Governor,,LIB,Clifford Daniel Hyra,4
ALBEMARLE COUNTY,103 - BRANCHLANDS,Governor,,REP,Edward Walter Gillespie,156
ALBEMARLE COUNTY,103 - BRANCHLANDS,Governor,,DEM,Ralph Shearer Northam,415
ALBEMARLE COUNTY,104 - AGNOR-HURT,Governor,,OTH,All Others,1
ALBEMARLE COUNTY,104 - AGNOR-HURT,Governor,,LIB,Clifford Daniel Hyra,22
ALBEMARLE COUNTY,104 - AGNOR-HURT,Governor,,REP,Edward Walter Gillespie,285
ALBEMARLE COUNTY,104 - AGNOR-HURT,Governor,,DEM,Ralph Shearer Northam,835
ALBEMARLE COUNTY,105 - DUNLORA,Governor,,LIB,Clifford Daniel Hyra,21
ALBEMARLE COUNTY,105 - DUNLORA,Governor,,REP,Edward Walter Gillespie,487
ALBEMARLE COUNTY,105 - DUNLORA,Governor,,DEM,Ralph Shearer Northam,1265
ALBEMARLE COUNTY,106 - NORTHSIDE,Governor,,LIB,Clifford Daniel Hyra,21
ALBEMARLE COUNTY,106 - NORTHSIDE,Governor,,REP,Edward Walter Gillespie,704
ALBEMARLE COUNTY,106 - NORTHSIDE,Governor,,DEM,Ralph Shearer Northam,968
ALBEMARLE COUNTY,201 - JACK JOUETT,Governor,,OTH,All Others,1
ALBEMARLE COUNTY,201 - JACK JOUETT,Governor,,LIB,Clifford Daniel Hyra,15
ALBEMARLE COUNTY,201 - JACK JOUETT,Governor,,REP,Edward Walter Gillespie,467
ALBEMARLE COUNTY,201 - JACK JOUETT,Governor,,DEM,Ralph Shearer Northam,772
ALBEMARLE COUNTY,202 - UNIVERSITY HALL,Governor,,OTH,All Others,2
ALBEMARLE COUNTY,202 - UNIVERSITY HALL,Governor,,LIB,Clifford Daniel Hyra,14
ALBEMARLE COUNTY,202 - UNIVERSITY HALL,Governor,,REP,Edward Walter Gillespie,318
ALBEMARLE COUNTY,202 - UNIVERSITY HALL,Governor,,DEM,Ralph Shearer Northam,1368
ALBEMARLE COUNTY,203 - GEORGETOWN,Governor,,LIB,Clifford Daniel Hyra,14
ALBEMARLE COUNTY,203 - GEORGETOWN,Governor,,REP,Edward Walter Gillespie,262
ALBEMARLE COUNTY,203 - GEORGETOWN,Governor,,DEM,Ralph Shearer Northam,989
ALBEMARLE COUNTY,204 - BELFIELD,Governor,,LIB,Clifford Daniel Hyra,3
ALBEMARLE COUNTY,204 - BELFIELD,Governor,,REP,Edward Walter Gillespie,290
ALBEMARLE COUNTY,204 - BELFIELD,Governor,,DEM,Ralph Shearer Northam,438
ALBEMARLE COUNTY,301 - IVY,Governor,,OTH,All Others,3
ALBEMARLE COUNTY,301 - IVY,Governor,,LIB,Clifford Daniel Hyra,22
ALBEMARLE COUNTY,301 - IVY,Governor,,REP,Edward Walter Gillespie,788
ALBEMARLE COUNTY,301 - IVY,Governor,,DEM,Ralph Shearer Northam,1563
ALBEMARLE COUNTY,302 - RED HILL,Governor,,LIB,Clifford Daniel Hyra,10
ALBEMARLE COUNTY,302 - RED HILL,Governor,,REP,Edward Walter Gillespie,571
ALBEMARLE COUNTY,302 - RED HILL,Governor,,DEM,Ralph Shearer Northam,1008
ALBEMARLE COUNTY,304 - EAST IVY,Governor,,LIB,Clifford Daniel Hyra,6
ALBEMARLE COUNTY,304 - EAST IVY,Governor,,REP,Edward Walter Gillespie,237
ALBEMARLE COUNTY,304 - EAST IVY,Governor,,DEM,Ralph Shearer Northam,385
ALBEMARLE COUNTY,305 - COUNTRY GREEN,Governor,,OTH,All Others,2
ALBEMARLE COUNTY,305 - COUNTRY GREEN,Governor,,LIB,Clifford Daniel Hyra,15
ALBEMARLE COUNTY,305 - COUNTRY GREEN,Governor,,REP,Edward Walter Gillespie,403
ALBEMARLE COUNTY,305 - COUNTRY GREEN,Governor,,DEM,Ralph Shearer Northam,939
ALBEMARLE COUNTY,306 - PORTERS,Governor,,LIB,Clifford Daniel Hyra,6
ALBEMARLE COUNTY,306 - PORTERS,Governor,,REP,Edward Walter Gillespie,253
ALBEMARLE COUNTY,306 - PORTERS,Governor,,DEM,Ralph Shearer Northam,485
ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,Governor,,OTH,All Others,1
ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,Governor,,LIB,Clifford Daniel Hyra,5
ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,Governor,,REP,Edward Walter Gillespie,160
ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,Governor,,DEM,Ralph Shearer Northam,218
ALBEMARLE COUNTY,401 - SCOTTSVILLE,Governor,,OTH,All Others,1
ALBEMARLE COUNTY,401 - SCOTTSVILLE,Governor,,LIB,Clifford Daniel Hyra,9
ALBEMARLE COUNTY,401 - SCOTTSVILLE,Governor,,REP,Edward Walter Gillespie,420
ALBEMARLE COUNTY,401 - SCOTTSVILLE,Governor,,DEM,Ralph Shearer Northam,371
ALBEMARLE COUNTY,402 - MONTICELLO,Governor,,LIB,Clifford Daniel Hyra,7
ALBEMARLE COUNTY,402 - MONTICELLO,Governor,,REP,Edward Walter Gillespie,384
ALBEMARLE COUNTY,402 - MONTICELLO,Governor,,DEM,Ralph Shearer Northam,351
ALBEMARLE COUNTY,405 - CALE,Governor,,OTH,All Others,2
ALBEMARLE COUNTY,405 - CALE,Governor,,LIB,Clifford Daniel Hyra,32
ALBEMARLE COUNTY,405 - CALE,Governor,,REP,Edward Walter Gillespie,560
ALBEMARLE COUNTY,405 - CALE,Governor,,DEM,Ralph Shearer Northam,1882
ALBEMARLE COUNTY,406 - STONE ROBINSON,Governor,,OTH,All Others,1
ALBEMARLE COUNTY,406 - STONE ROBINSON,Governor,,LIB,Clifford Daniel Hyra,10
ALBEMARLE COUNTY,406 - STONE ROBINSON,Governor,,REP,Edward Walter Gillespie,897
ALBEMARLE COUNTY,406 - STONE ROBINSON,Governor,,DEM,Ralph Shearer Northam,821
ALBEMARLE COUNTY,501 - KESWICK,Governor,,OTH,All Others,1
ALBEMARLE COUNTY,501 - KESWICK,Governor,,LIB,Clifford Daniel Hyra,9
ALBEMARLE COUNTY,501 - KESWICK,Governor,,REP,Edward Walter Gillespie,316
ALBEMARLE COUNTY,501 - KESWICK,Governor,,DEM,Ralph Shearer Northam,442
ALBEMARLE COUNTY,502 - STONY POINT,Governor,,OTH,All Others,1
ALBEMARLE COUNTY,502 - STONY POINT,Governor,,LIB,Clifford Daniel Hyra,10
ALBEMARLE COUNTY,502 - STONY POINT,Governor,,REP,Edward Walter Gillespie,413
ALBEMARLE COUNTY,502 - STONY POINT,Governor,,DEM,Ralph Shearer Northam,484
ALBEMARLE COUNTY,503 - HOLLYMEAD,Governor,,LIB,Clifford Daniel Hyra,21
ALBEMARLE COUNTY,503 - HOLLYMEAD,Governor,,REP,Edward Walter Gillespie,505
ALBEMARLE COUNTY,503 - HOLLYMEAD,Governor,,DEM,Ralph Shearer Northam,859
