county,precinct,office,district,party,candidate,votes
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,OTH,All Others,2
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,DEM,Barack Obama,507
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,LIB,Gary Johnson,15
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,GRN,Jill Stein,2
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,,"Virgil Hamlin Goode, Jr.",1
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,REP,Willard M. Romney,1138
ACCOMACK COUNTY,201 - ATLANTIC,President,,DEM,Barack Obama,250
ACCOMACK COUNTY,201 - ATLANTIC,President,,LIB,Gary Johnson,5
ACCOMACK COUNTY,201 - ATLANTIC,President,,GRN,Jill Stein,1
ACCOMACK COUNTY,201 - ATLANTIC,President,,,"Virgil Hamlin Goode, Jr.",1
ACCOMACK COUNTY,201 - ATLANTIC,President,,REP,Willard M. Romney,517
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,DEM,Barack Obama,307
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,LIB,Gary Johnson,12
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,GRN,Jill Stein,3
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,REP,Willard M. Romney,614
ACCOMACK COUNTY,301 - OAK HALL,President,,OTH,All Others,1
ACCOMACK COUNTY,301 - OAK HALL,President,,DEM,Barack Obama,988
ACCOMACK COUNTY,301 - OAK HALL,President,,LIB,Gary Johnson,5
ACCOMACK COUNTY,301 - OAK HALL,President,,GRN,Jill Stein,5
ACCOMACK COUNTY,301 - OAK HALL,President,,,"Virgil Hamlin Goode, Jr.",3
ACCOMACK COUNTY,301 - OAK HALL,President,,REP,Willard M. Romney,544
ACCOMACK COUNTY,401 - BLOXOM,President,,OTH,All Others,2
ACCOMACK COUNTY,401 - BLOXOM,President,,DEM,Barack Obama,191
ACCOMACK COUNTY,401 - BLOXOM,President,,LIB,Gary Johnson,3
ACCOMACK COUNTY,401 - BLOXOM,President,,GRN,Jill Stein,4
ACCOMACK COUNTY,401 - BLOXOM,President,,,"Virgil Hamlin Goode, Jr.",4
ACCOMACK COUNTY,401 - BLOXOM,President,,REP,Willard M. Romney,331
ACCOMACK COUNTY,402 - PARKSLEY,President,,OTH,All Others,2
ACCOMACK COUNTY,402 - PARKSLEY,President,,DEM,Barack Obama,300
ACCOMACK COUNTY,402 - PARKSLEY,President,,LIB,Gary Johnson,4
ACCOMACK COUNTY,402 - PARKSLEY,President,,GRN,Jill Stein,3
ACCOMACK COUNTY,402 - PARKSLEY,President,,,"Virgil Hamlin Goode, Jr.",4
ACCOMACK COUNTY,402 - PARKSLEY,President,,REP,Willard M. Romney,461
ACCOMACK COUNTY,403 - SAXIS,President,,DEM,Barack Obama,71
