county,precinct,office,district,party,candidate,votes
ACCOMACK,101 - CHINCOTEAGUE,Lieutenant Governor,,DEM,Jody M. Wagner,300
ACCOMACK,101 - CHINCOTEAGUE,Lieutenant Governor,,REP,William Bill T. Bolling,713
ACCOMACK,201 - ATLANTIC,Lieutenant Governor,,DEM,Jody M. Wagner,93
ACCOMACK,201 - ATLANTIC,Lieutenant Governor,,REP,William Bill T. Bolling,220
ACCOMACK,202 - GREENBACKVILLE,Lieutenant Governor,,OTH,All Others,1
ACCOMACK,202 - GREENBACKVILLE,Lieutenant Governor,,DEM,Jody M. Wagner,111
ACCOMACK,202 - GREENBACKVILLE,Lieutenant Governor,,REP,William Bill T. Bolling,233
ACCOMACK,203 - HALLWOOD,Lieutenant Governor,,OTH,All Others,1
ACCOMACK,203 - HALLWOOD,Lieutenant Governor,,DEM,Jody M. Wagner,54
ACCOMACK,203 - HALLWOOD,Lieutenant Governor,,REP,William Bill T. Bolling,143
ACCOMACK,204 - SAXIS,Lieutenant Governor,,DEM,Jody M. Wagner,15
ACCOMACK,204 - SAXIS,Lieutenant Governor,,REP,William Bill T. Bolling,68
ACCOMACK,205 - TANGIER,Lieutenant Governor,,DEM,Jody M. Wagner,10
ACCOMACK,205 - TANGIER,Lieutenant Governor,,REP,William Bill T. Bolling,203
ACCOMACK,301 - NEW CHURCH,Lieutenant Governor,,DEM,Jody M. Wagner,129
ACCOMACK,301 - NEW CHURCH,Lieutenant Governor,,REP,William Bill T. Bolling,142
ACCOMACK,302 - OAK HALL,Lieutenant Governor,,DEM,Jody M. Wagner,160
ACCOMACK,302 - OAK HALL,Lieutenant Governor,,REP,William Bill T. Bolling,210
ACCOMACK,401 - BLOXOM,Lieutenant Governor,,DEM,Jody M. Wagner,72
ACCOMACK,401 - BLOXOM,Lieutenant Governor,,REP,William Bill T. Bolling,187
ACCOMACK,402 - PARKSLEY,Lieutenant Governor,,DEM,Jody M. Wagner,193
ACCOMACK,402 - PARKSLEY,Lieutenant Governor,,REP,William Bill T. Bolling,328
ACCOMACK,501 - MAPPSVILLE,Lieutenant Governor,,DEM,Jody M. Wagner,159
ACCOMACK,501 - MAPPSVILLE,Lieutenant Governor,,REP,William Bill T. Bolling,171
ACCOMACK,502 - RUE,Lieutenant Governor,,DEM,Jody M. Wagner,151
ACCOMACK,502 - RUE,Lieutenant Governor,,REP,William Bill T. Bolling,115
ACCOMACK,601 - ACCOMAC,Lieutenant Governor,,DEM,Jody M. Wagner,342
ACCOMACK,601 - ACCOMAC,Lieutenant Governor,,REP,William Bill T. Bolling,430
ACCOMACK,701 - ONANCOCK,Lieutenant Governor,,DEM,Jody M. Wagner,371
ACCOMACK,701 - ONANCOCK,Lieutenant Governor,,REP,William Bill T. Bolling,522
ACCOMACK,702 - ONLEY,Lieutenant Governor,,DEM,Jody M. Wagner,99
ACCOMACK,702 - ONLEY,Lieutenant Governor,,REP,William Bill T. Bolling,177
ACCOMACK,801 - BOBTOWN,Lieutenant Governor,,DEM,Jody M. Wagner,92
ACCOMACK,801 - BOBTOWN,Lieutenant Governor,,REP,William Bill T. Bolling,167
ACCOMACK,802 - KELLER,Lieutenant Governor,,DEM,Jody M. Wagner,70
ACCOMACK,802 - KELLER,Lieutenant Governor,,REP,William Bill T. Bolling,78
ACCOMACK,803 - MELFA,Lieutenant Governor,,OTH,All Others,1
ACCOMACK,803 - MELFA,Lieutenant Governor,,DEM,Jody M. Wagner,171
ACCOMACK,803 - MELFA,Lieutenant Governor,,REP,William Bill T. Bolling,185
ACCOMACK,804 - QUINBY,Lieutenant Governor,,DEM,Jody M. Wagner,41
ACCOMACK,804 - QUINBY,Lieutenant Governor,,REP,William Bill T. Bolling,86
ACCOMACK,805 - WACHAPREAGUE,Lieutenant Governor,,DEM,Jody M. Wagner,62
ACCOMACK,805 - WACHAPREAGUE,Lieutenant Governor,,REP,William Bill T. Bolling,135
ACCOMACK,901 - PAINTER,Lieutenant Governor,,DEM,Jody M. Wagner,501
ACCOMACK,901 - PAINTER,Lieutenant Governor,,REP,William Bill T. Bolling,441
ACCOMACK,AB - CENTRAL ABSENTEE PRECINCT,Lieutenant Governor,,DEM,Jody M. Wagner,124
